-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2020 through 03/18/2020 
Location: Latitude  31.8257   Longitude 117.2264 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 40.51 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
QV2M MERRA2 1/2x1/2 Specific Humidity at 2 Meters (kg kg-1) 
-END HEADER-
LAT,LON,YEAR,MO,DY,RH2M,QV2M,T2M_RANGE,T2M_MAX,T2M_MIN,T2M
31.82571,117.22641,2020,01,01,   71.11,  0.003229,   12.35,    9.10,   -3.25,    2.79
31.82571,117.22641,2020,01,02,   81.74,  0.004711,    8.49,   11.17,    2.68,    6.16
31.82571,117.22641,2020,01,03,   85.76,  0.005151,    7.22,   10.84,    3.62,    6.74
31.82571,117.22641,2020,01,04,   85.59,  0.005608,    7.32,   12.02,    4.70,    7.98
31.82571,117.22641,2020,01,05,   91.53,  0.006618,    6.35,   13.05,    6.70,    9.37
31.82571,117.22641,2020,01,06,   92.14,  0.006498,    4.06,   10.92,    6.86,    8.96
31.82571,117.22641,2020,01,07,   89.21,  0.004459,    5.76,    6.68,    0.91,    3.98
31.82571,117.22641,2020,01,08,   74.48,  0.003297,    9.37,    7.77,   -1.60,    2.41
31.82571,117.22641,2020,01,09,   89.32,  0.003673,    3.74,    3.53,   -0.22,    1.34
31.82571,117.22641,2020,01,10,   94.78,  0.004281,    3.27,    4.40,    1.13,    2.61
31.82571,117.22641,2020,01,11,   88.04,  0.004107,    6.72,    6.55,   -0.17,    3.07
31.82571,117.22641,2020,01,12,   83.13,  0.003727,    9.01,    7.55,   -1.46,    2.53
31.82571,117.22641,2020,01,13,   85.14,  0.003994,    9.49,    8.29,   -1.20,    3.15
31.82571,117.22641,2020,01,14,   73.76,  0.003019,   10.20,    7.23,   -2.97,    1.31
31.82571,117.22641,2020,01,15,   87.90,  0.003298,    5.98,    3.42,   -2.56,    0.08
31.82571,117.22641,2020,01,16,   91.64,  0.003826,    4.23,    4.19,   -0.04,    1.56
31.82571,117.22641,2020,01,17,   81.17,  0.003504,    8.18,    6.20,   -1.98,    2.05
31.82571,117.22641,2020,01,18,   74.74,  0.003452,    7.64,    6.90,   -0.75,    2.97
31.82571,117.22641,2020,01,19,   73.98,  0.003483,   12.21,   10.22,   -1.98,    3.22
31.82571,117.22641,2020,01,20,   58.43,  0.002994,   12.67,   12.23,   -0.44,    4.44
31.82571,117.22641,2020,01,21,   81.84,  0.004127,   10.15,    9.47,   -0.68,    4.18
