-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2020 through 03/18/2020 
Location: Latitude  40.1824   Longitude 116.4142 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 411.75 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
QV2M MERRA2 1/2x1/2 Specific Humidity at 2 Meters (kg kg-1) 
-END HEADER-
LAT,LON,YEAR,MO,DY,RH2M,QV2M,T2M_RANGE,T2M_MAX,T2M_MIN,T2M
40.18241,116.41421,2020,01,01,   51.47,  0.001058,   13.71,   -0.28,  -13.99,   -8.46
40.18241,116.41421,2020,01,02,   55.63,  0.001522,   16.06,    3.95,  -12.11,   -4.74
40.18241,116.41421,2020,01,03,   56.49,  0.001779,   15.34,    6.05,   -9.30,   -2.88
40.18241,116.41421,2020,01,04,   55.53,  0.001849,   13.56,    5.99,   -7.57,   -2.13
40.18241,116.41421,2020,01,05,   72.60,  0.002258,    6.27,    0.04,   -6.23,   -3.03
40.18241,116.41421,2020,01,06,   75.01,  0.002500,   10.11,    4.02,   -6.09,   -2.17
40.18241,116.41421,2020,01,07,   55.74,  0.001657,    7.97,    0.80,   -7.17,   -3.69
40.18241,116.41421,2020,01,08,   53.79,  0.001424,   13.70,    2.83,  -10.86,   -5.19
40.18241,116.41421,2020,01,09,   58.78,  0.001641,   12.29,    2.53,   -9.75,   -4.51
40.18241,116.41421,2020,01,10,   54.68,  0.001476,   12.44,    2.47,   -9.98,   -4.97
40.18241,116.41421,2020,01,11,   52.54,  0.001247,    7.25,   -3.34,  -10.60,   -6.65
40.18241,116.41421,2020,01,12,   55.89,  0.001457,   10.75,    0.09,  -10.66,   -5.45
40.18241,116.41421,2020,01,13,   49.45,  0.001002,   12.28,   -1.37,  -13.65,   -8.70
40.18241,116.41421,2020,01,14,   51.76,  0.001059,   13.23,   -1.00,  -14.24,   -8.53
40.18241,116.41421,2020,01,15,   53.36,  0.001269,   14.60,    1.71,  -12.89,   -6.59
40.18241,116.41421,2020,01,16,   52.69,  0.001281,   10.24,   -1.11,  -11.35,   -6.28
40.18241,116.41421,2020,01,17,   54.13,  0.001551,   11.91,    3.05,   -8.86,   -4.17
40.18241,116.41421,2020,01,18,   64.82,  0.001707,   11.16,    0.73,  -10.42,   -5.34
40.18241,116.41421,2020,01,19,   48.03,  0.001281,   14.42,    2.90,  -11.52,   -5.20
40.18241,116.41421,2020,01,20,   48.00,  0.001244,   13.90,    2.37,  -11.53,   -5.50
40.18241,116.41421,2020,01,21,   54.21,  0.001570,   11.13,    2.61,   -8.52,   -4.05
40.18241,116.41421,2020,01,22,   61.61,  0.002001,   13.70,    5.23,   -8.47,   -2.55
40.18241,116.41421,2020,01,23,   51.78,  0.001759,   13.77,    6.02,   -7.75,   -1.86
40.18241,116.41421,2020,01,24,   66.07,  0.001890,    9.26,    1.62,   -7.63,   -4.06
40.18241,116.41421,2020,01,25,   63.06,  0.002029,   14.83,    5.58,   -9.25,   -2.55
40.18241,116.41421,2020,01,26,   65.29,  0.001976,    9.79,    1.63,   -8.16,   -3.37
40.18241,116.41421,2020,01,27,   63.99,  0.002248,    6.71,    2.60,   -4.11,   -1.45
40.18241,116.41421,2020,01,28,   64.52,  0.002394,    5.81,    2.20,   -3.62,   -0.72
40.18241,116.41421,2020,01,29,   60.98,  0.002329,   11.10,    6.39,   -4.71,   -0.30
40.18241,116.41421,2020,01,30,   54.25,  0.001935,   10.55,    5.60,   -4.96,   -1.25
40.18241,116.41421,2020,01,31,   53.40,  0.001865,   15.14,    7.54,   -7.60,   -1.57
40.18241,116.41421,2020,02,01,   48.86,  0.001514,   11.90,    3.07,   -8.83,   -3.10
40.18241,116.41421,2020,02,02,   58.45,  0.001777,   10.44,    2.10,   -8.35,   -3.37
40.18241,116.41421,2020,02,03,   49.41,  0.001275,   14.11,    2.60,  -11.51,   -5.56
40.18241,116.41421,2020,02,04,   46.34,  0.001121,   12.37,    0.81,  -11.57,   -6.36
40.18241,116.41421,2020,02,05,   52.69,  0.001018,    8.30,   -4.48,  -12.78,   -9.18
40.18241,116.41421,2020,02,06,   78.77,  0.001596,    7.05,   -4.51,  -11.56,   -8.62
40.18241,116.41421,2020,02,07,   61.83,  0.001724,   17.31,    5.30,  -12.01,   -4.50
40.18241,116.41421,2020,02,08,   50.77,  0.001665,   16.35,    6.43,   -9.92,   -2.32
40.18241,116.41421,2020,02,09,   56.45,  0.002218,   17.53,   10.14,   -7.39,    0.05
40.18241,116.41421,2020,02,10,   56.17,  0.002523,   16.51,   11.95,   -4.56,    1.84
40.18241,116.41421,2020,02,11,   72.66,  0.003443,   12.12,   10.64,   -1.48,    2.58
40.18241,116.41421,2020,02,12,   75.34,  0.003741,   13.53,   12.26,   -1.27,    3.19
40.18241,116.41421,2020,02,13,   78.30,  0.004151,   13.71,   12.77,   -0.94,    4.09
40.18241,116.41421,2020,02,14,   85.25,  0.002692,    7.32,    0.72,   -6.61,   -2.90
40.18241,116.41421,2020,02,15,   63.53,  0.001313,    7.02,   -4.72,  -11.74,   -8.40
40.18241,116.41421,2020,02,16,   62.46,  0.001441,    9.08,   -1.97,  -11.05,   -7.00
40.18241,116.41421,2020,02,17,   67.10,  0.001916,   14.17,    3.65,  -10.51,   -4.19
40.18241,116.41421,2020,02,18,   59.81,  0.002135,   16.58,    7.80,   -8.78,   -1.23
40.18241,116.41421,2020,02,19,   69.77,  0.002634,   10.13,    5.61,   -4.52,   -0.46
40.18241,116.41421,2020,02,20,   80.90,  0.002834,    7.79,    2.56,   -5.22,   -1.43
40.18241,116.41421,2020,02,21,   54.12,  0.002045,   11.92,    6.37,   -5.55,   -0.44
40.18241,116.41421,2020,02,22,   42.55,  0.001617,   11.10,    5.88,   -5.22,   -0.32
40.18241,116.41421,2020,02,23,   51.94,  0.002287,   14.94,   10.81,   -4.13,    1.60
40.18241,116.41421,2020,02,24,   67.20,  0.003072,    8.84,    7.35,   -1.49,    2.11
40.18241,116.41421,2020,02,25,   58.27,  0.002732,   10.55,    9.19,   -1.36,    2.51
40.18241,116.41421,2020,02,26,   64.27,  0.002714,   10.51,    7.87,   -2.64,    1.15
40.18241,116.41421,2020,02,27,   71.71,  0.002669,    6.07,    3.08,   -2.99,   -0.61
40.18241,116.41421,2020,02,28,   77.87,  0.003366,   14.22,   10.49,   -3.73,    1.30
40.18241,116.41421,2020,02,29,   91.34,  0.003511,    4.33,    2.24,   -2.10,   -0.32
40.18241,116.41421,2020,03,01,   56.17,  0.002240,    9.17,    5.38,   -3.80,    0.27
40.18241,116.41421,2020,03,02,   57.78,  0.002324,   12.32,    7.02,   -5.30,    0.38
40.18241,116.41421,2020,03,03,   47.98,  0.001654,   10.19,    4.15,   -6.04,   -1.72
40.18241,116.41421,2020,03,04,   43.34,  0.001354,   12.65,    4.11,   -8.55,   -2.96
40.18241,116.41421,2020,03,05,   53.79,  0.002038,   14.10,    7.70,   -6.41,   -0.46
40.18241,116.41421,2020,03,06,   80.00,  0.003506,    9.80,    6.62,   -3.18,    1.44
40.18241,116.41421,2020,03,07,   56.48,  0.002923,   15.46,   13.00,   -2.46,    3.81
40.18241,116.41421,2020,03,08,   87.18,  0.004186,    9.34,    8.76,   -0.58,    2.72
40.18241,116.41421,2020,03,09,   62.05,  0.003260,   13.83,   11.01,   -2.83,    4.05
40.18241,116.41421,2020,03,10,   38.65,  0.001685,   12.02,    8.16,   -3.86,    1.42
40.18241,116.41421,2020,03,11,   39.77,  0.002271,   18.33,   15.07,   -3.26,    5.17
40.18241,116.41421,2020,03,12,   43.74,  0.002197,   13.00,   10.19,   -2.81,    3.43
40.18241,116.41421,2020,03,13,   36.63,  0.001578,   13.55,    8.82,   -4.73,    1.38
40.18241,116.41421,2020,03,14,   41.67,  0.002143,   14.51,   11.68,   -2.82,    3.74
40.18241,116.41421,2020,03,15,   47.68,  0.002793,   16.11,   14.56,   -1.55,    5.63
40.18241,116.41421,2020,03,16,   53.02,  0.003009,   21.04,   17.48,   -3.56,    5.16
40.18241,116.41421,2020,03,17,   40.51,  0.003095,   20.46,   19.89,   -0.57,    9.43
40.18241,116.41421,2020,03,18,   34.06,  0.002597,   21.52,   22.86,    1.35,    9.28
