-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2020 through 03/18/2020 
Location: Latitude  30.0572   Longitude 107.874 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 605.0 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
QV2M MERRA2 1/2x1/2 Specific Humidity at 2 Meters (kg kg-1) 
-END HEADER-
LAT,LON,YEAR,MO,DY,RH2M,QV2M,T2M_RANGE,T2M_MAX,T2M_MIN,T2M
30.05721,107.87401,2020,01,01,   85.30,  0.005228,    6.82,   10.17,    3.35,    6.00
30.05721,107.87401,2020,01,02,   84.15,  0.005786,    6.35,   10.98,    4.64,    7.68
30.05721,107.87401,2020,01,03,   81.05,  0.005895,    6.02,   11.70,    5.69,    8.51
30.05721,107.87401,2020,01,04,   89.56,  0.006140,    4.70,   10.31,    5.60,    7.58
30.05721,107.87401,2020,01,05,   90.33,  0.006433,    5.11,   10.94,    5.83,    8.06
30.05721,107.87401,2020,01,06,   92.81,  0.006393,    3.99,    9.72,    5.73,    7.57
30.05721,107.87401,2020,01,07,   78.09,  0.004897,    9.34,   11.67,    2.33,    6.31
30.05721,107.87401,2020,01,08,   84.95,  0.004952,    4.24,    7.57,    3.32,    5.23
30.05721,107.87401,2020,01,09,   85.62,  0.004813,    6.30,    8.57,    2.27,    4.70
30.05721,107.87401,2020,01,10,   84.34,  0.004768,    6.78,    8.47,    1.69,    4.79
30.05721,107.87401,2020,01,11,   80.47,  0.004863,    8.73,   10.90,    2.17,    5.78
30.05721,107.87401,2020,01,12,   76.78,  0.004387,   13.13,   12.06,   -1.07,    4.93
30.05721,107.87401,2020,01,13,   78.94,  0.004711,   12.04,   11.89,   -0.15,    5.54
30.05721,107.87401,2020,01,14,   82.12,  0.004531,    7.34,    8.30,    0.97,    4.45
30.05721,107.87401,2020,01,15,   82.38,  0.004534,    5.41,    7.45,    2.04,    4.40
30.05721,107.87401,2020,01,16,   80.29,  0.004544,    8.37,    9.59,    1.22,    4.86
30.05721,107.87401,2020,01,17,   77.36,  0.004381,   10.06,   10.14,    0.08,    4.88
30.05721,107.87401,2020,01,18,   83.10,  0.004617,    8.84,    9.14,    0.30,    4.58
