-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2020 through 03/18/2020 
Location: Latitude  26.0789   Longitude 117.9874 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 533.78 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
QV2M MERRA2 1/2x1/2 Specific Humidity at 2 Meters (kg kg-1) 
-END HEADER-
LAT,LON,YEAR,MO,DY,RH2M,QV2M,T2M_RANGE,T2M_MAX,T2M_MIN,T2M
26.07891,117.98741,2020,01,01,   79.44,  0.006051,   16.11,   18.49,    2.38,    9.36
26.07891,117.98741,2020,01,02,   84.80,  0.007533,   13.67,   19.49,    5.82,   11.63
26.07891,117.98741,2020,01,03,   86.29,  0.008770,   11.11,   20.20,    9.08,   13.64
26.07891,117.98741,2020,01,04,   85.86,  0.009316,   11.43,   21.42,    9.99,   14.62
26.07891,117.98741,2020,01,05,   84.48,  0.009313,   10.64,   21.37,   10.73,   14.86
26.07891,117.98741,2020,01,06,   79.60,  0.009031,   13.46,   23.61,   10.15,   15.28
26.07891,117.98741,2020,01,07,   84.79,  0.008820,   16.49,   22.95,    6.46,   13.92
26.07891,117.98741,2020,01,08,   69.84,  0.005117,   16.72,   18.48,    1.76,    8.72
26.07891,117.98741,2020,01,09,   74.63,  0.006462,   17.71,   21.38,    3.67,   11.15
26.07891,117.98741,2020,01,10,   82.29,  0.008048,   14.59,   21.99,    7.41,   12.96
26.07891,117.98741,2020,01,11,   86.66,  0.006133,    7.19,   11.82,    4.63,    8.14
26.07891,117.98741,2020,01,12,   76.83,  0.004925,   11.00,   13.99,    3.00,    6.73
26.07891,117.98741,2020,01,13,   73.46,  0.005195,   15.38,   17.25,    1.87,    8.15
26.07891,117.98741,2020,01,14,   76.80,  0.006110,   13.45,   17.84,    4.40,    9.92
26.07891,117.98741,2020,01,15,   84.82,  0.006840,   12.17,   18.04,    5.87,   10.10
26.07891,117.98741,2020,01,16,   93.22,  0.006600,    7.91,   12.04,    4.13,    8.17
26.07891,117.98741,2020,01,17,   80.50,  0.004817,   11.19,   13.24,    2.05,    5.77
26.07891,117.98741,2020,01,18,   81.29,  0.005283,   13.12,   14.67,    1.55,    6.94
26.07891,117.98741,2020,01,19,   82.87,  0.005309,    9.80,   12.52,    2.72,    6.75
26.07891,117.98741,2020,01,20,   73.73,  0.004837,   15.04,   16.12,    1.08,    7.11
26.07891,117.98741,2020,01,21,   84.45,  0.006622,   13.97,   17.07,    3.10,    9.72
26.07891,117.98741,2020,01,22,   84.31,  0.009298,   16.92,   23.55,    6.63,   14.83
26.07891,117.98741,2020,01,23,   84.28,  0.010986,   12.19,   24.26,   12.07,   17.41
26.07891,117.98741,2020,01,24,   92.27,  0.010421,    8.65,   20.61,   11.96,   15.20
26.07891,117.98741,2020,01,25,   95.32,  0.008799,    5.32,   15.48,   10.17,   12.10
26.07891,117.98741,2020,01,26,   93.67,  0.006833,    7.84,   10.79,    2.95,    8.55
26.07891,117.98741,2020,01,27,   78.76,  0.004496,   12.04,   12.80,    0.76,    5.02
26.07891,117.98741,2020,01,28,   78.27,  0.004375,   12.71,   11.97,   -0.74,    4.75
26.07891,117.98741,2020,01,29,   73.47,  0.003540,   12.70,   10.72,   -1.98,    2.68
26.07891,117.98741,2020,01,30,   69.61,  0.003398,   14.34,   11.11,   -3.23,    2.88
26.07891,117.98741,2020,01,31,   62.08,  0.003448,   16.31,   13.35,   -2.96,    4.72
26.07891,117.98741,2020,02,01,   68.63,  0.004110,   16.43,   15.04,   -1.39,    5.80
26.07891,117.98741,2020,02,02,   85.41,  0.005434,   12.37,   12.43,    0.06,    6.66
26.07891,117.98741,2020,02,03,   95.35,  0.006173,    5.53,   10.02,    4.49,    6.90
26.07891,117.98741,2020,02,04,   94.04,  0.006951,    8.77,   13.53,    4.76,    8.83
