-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2020 through 03/18/2020 
Location: Latitude  36.0611   Longitude 103.8343 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 2022.85 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
QV2M MERRA2 1/2x1/2 Specific Humidity at 2 Meters (kg kg-1) 
-END HEADER-
LAT,LON,YEAR,MO,DY,RH2M,QV2M,T2M_RANGE,T2M_MAX,T2M_MIN,T2M
36.06111,103.83431,2020,01,01,   70.13,  0.002432,   10.61,    1.92,   -8.69,   -4.33
36.06111,103.83431,2020,01,02,   68.70,  0.002501,   11.26,    2.72,   -8.54,   -3.60
36.06111,103.83431,2020,01,03,   55.61,  0.002402,   10.20,    4.95,   -5.25,   -1.31
36.06111,103.83431,2020,01,04,   74.21,  0.003196,    8.77,    4.48,   -4.28,   -1.47
36.06111,103.83431,2020,01,05,   55.70,  0.002163,    7.87,    1.72,   -6.15,   -2.84
36.06111,103.83431,2020,01,06,   67.05,  0.002142,    6.28,   -1.63,   -7.91,   -5.39
36.06111,103.83431,2020,01,07,   67.49,  0.002342,   12.70,    3.22,   -9.49,   -4.32
36.06111,103.83431,2020,01,08,   74.56,  0.002853,   10.10,    2.74,   -7.36,   -3.04
36.06111,103.83431,2020,01,09,   75.49,  0.002515,    6.58,   -0.74,   -7.33,   -4.87
36.06111,103.83431,2020,01,10,   78.19,  0.002218,    5.24,   -4.09,   -9.33,   -6.94
36.06111,103.83431,2020,01,11,   52.90,  0.001706,   15.40,    3.96,  -11.45,   -5.30
36.06111,103.83431,2020,01,12,   58.75,  0.001731,   10.09,   -0.43,  -10.52,   -6.49
36.06111,103.83431,2020,01,13,   68.60,  0.001942,   13.54,    0.83,  -12.71,   -7.01
36.06111,103.83431,2020,01,14,   77.00,  0.002598,   12.49,    2.28,  -10.21,   -4.78
36.06111,103.83431,2020,01,15,   78.73,  0.002523,    7.39,   -1.12,   -8.51,   -5.38
36.06111,103.83431,2020,01,16,   73.37,  0.002273,   12.22,    1.93,  -10.29,   -5.79
36.06111,103.83431,2020,01,17,   73.63,  0.002368,   12.59,    1.48,  -11.11,   -5.30
36.06111,103.83431,2020,01,18,   64.75,  0.001881,    5.32,   -3.34,   -8.66,   -6.58
36.06111,103.83431,2020,01,19,   61.08,  0.001910,    8.77,   -0.59,   -9.36,   -5.66
36.06111,103.83431,2020,01,20,   68.73,  0.002259,   10.40,    0.60,   -9.81,   -5.07
