-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2020 through 03/18/2020 
Location: Latitude  23.3417   Longitude 113.4244 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 64.29 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
QV2M MERRA2 1/2x1/2 Specific Humidity at 2 Meters (kg kg-1) 
-END HEADER-
LAT,LON,YEAR,MO,DY,RH2M,QV2M,T2M_RANGE,T2M_MAX,T2M_MIN,T2M
23.34171,113.42441,2020,01,01,   60.41,  0.007380,   13.96,   25.11,   11.14,   17.41
23.34171,113.42441,2020,01,02,   67.36,  0.008976,   13.15,   25.94,   12.79,   18.77
23.34171,113.42441,2020,01,03,   62.63,  0.009090,   13.64,   27.67,   14.03,   20.11
23.34171,113.42441,2020,01,04,   58.85,  0.008593,   14.73,   28.03,   13.30,   20.18
23.34171,113.42441,2020,01,05,   65.01,  0.009833,   12.95,   27.78,   14.84,   20.73
23.34171,113.42441,2020,01,06,   68.69,  0.010903,   12.85,   28.78,   15.93,   21.48
23.34171,113.42441,2020,01,07,   65.40,  0.011051,   13.18,   30.34,   17.15,   22.49
23.34171,113.42441,2020,01,08,   45.23,  0.006624,   14.80,   28.75,   13.95,   20.22
23.34171,113.42441,2020,01,09,   66.28,  0.009588,   12.66,   27.07,   14.42,   19.97
23.34171,113.42441,2020,01,10,   63.96,  0.010196,   11.94,   28.40,   16.46,   21.51
23.34171,113.42441,2020,01,11,   62.39,  0.007026,    9.09,   20.34,   11.25,   16.01
23.34171,113.42441,2020,01,12,   49.52,  0.004690,   10.93,   19.89,    8.96,   13.37
23.34171,113.42441,2020,01,13,   53.10,  0.005943,   16.95,   24.96,    8.01,   15.93
23.34171,113.42441,2020,01,14,   60.74,  0.006762,   10.32,   22.09,   11.77,   15.86
23.34171,113.42441,2020,01,15,   65.20,  0.008375,   15.99,   26.88,   10.89,   18.08
23.34171,113.42441,2020,01,16,   73.03,  0.008472,    9.66,   20.70,   11.04,   16.49
23.34171,113.42441,2020,01,17,   57.88,  0.005239,    8.24,   17.25,    9.00,   12.72
23.34171,113.42441,2020,01,18,   53.39,  0.005162,   10.32,   19.84,    9.52,   13.71
23.34171,113.42441,2020,01,19,   62.34,  0.006009,   10.08,   19.74,    9.66,   13.67
23.34171,113.42441,2020,01,20,   56.03,  0.006021,   15.04,   23.10,    8.06,   15.36
23.34171,113.42441,2020,01,21,   61.55,  0.007841,   10.17,   23.87,   13.70,   18.01
23.34171,113.42441,2020,01,22,   72.67,  0.010826,   15.15,   28.83,   13.67,   20.45
23.34171,113.42441,2020,01,23,   67.10,  0.011784,   13.68,   31.10,   17.42,   23.10
23.34171,113.42441,2020,01,24,   66.76,  0.011734,   12.64,   30.08,   17.44,   23.13
23.34171,113.42441,2020,01,25,   72.58,  0.008752,    8.74,   20.60,   11.86,   17.06
23.34171,113.42441,2020,01,26,   68.95,  0.005923,   11.68,   18.78,    7.10,   11.84
23.34171,113.42441,2020,01,27,   57.60,  0.004386,   13.68,   18.05,    4.38,   10.05
23.34171,113.42441,2020,01,28,   56.03,  0.004241,   12.30,   17.65,    5.35,   10.00
23.34171,113.42441,2020,01,29,   49.72,  0.003841,   13.43,   18.40,    4.97,   10.34
23.34171,113.42441,2020,01,30,   46.43,  0.003596,   16.21,   19.59,    3.38,   10.38
23.34171,113.42441,2020,01,31,   41.48,  0.003566,   17.33,   20.82,    3.49,   11.96
23.34171,113.42441,2020,02,01,   52.20,  0.004980,   15.60,   22.12,    6.52,   13.52
23.34171,113.42441,2020,02,02,   78.45,  0.008259,   11.69,   21.39,    9.70,   15.01
23.34171,113.42441,2020,02,03,   84.92,  0.008736,    6.47,   18.37,   11.90,   14.63
23.34171,113.42441,2020,02,04,   82.70,  0.007969,    8.06,   17.96,    9.90,   13.64
23.34171,113.42441,2020,02,05,   81.37,  0.008945,    9.85,   21.17,   11.32,   15.66
23.34171,113.42441,2020,02,06,   84.13,  0.010180,    9.78,   22.54,   12.77,   17.13
23.34171,113.42441,2020,02,07,   73.05,  0.008408,   10.39,   22.39,   12.00,   16.41
23.34171,113.42441,2020,02,08,   65.31,  0.006575,   10.66,   20.97,   10.32,   14.38
23.34171,113.42441,2020,02,09,   67.80,  0.006423,    9.36,   19.13,    9.77,   13.47
23.34171,113.42441,2020,02,10,   71.93,  0.007513,   12.71,   21.11,    8.41,   14.91
23.34171,113.42441,2020,02,11,   76.69,  0.010220,   12.25,   25.67,   13.42,   18.68
23.34171,113.42441,2020,02,12,   74.98,  0.011838,   12.64,   28.69,   16.05,   21.36
23.34171,113.42441,2020,02,13,   86.89,  0.012635,    8.08,   24.29,   16.21,   19.98
23.34171,113.42441,2020,02,14,   89.52,  0.014218,    6.81,   25.08,   18.27,   21.36
23.34171,113.42441,2020,02,15,   84.22,  0.012322,   18.55,   28.30,    9.75,   20.07
23.34171,113.42441,2020,02,16,   60.43,  0.004503,    7.98,   14.31,    6.33,    9.80
23.34171,113.42441,2020,02,17,   49.91,  0.003768,   12.49,   17.62,    5.14,   10.07
23.34171,113.42441,2020,02,18,   49.55,  0.004276,   15.30,   19.68,    4.38,   12.06
23.34171,113.42441,2020,02,19,   57.67,  0.006092,   15.39,   22.33,    6.94,   15.12
23.34171,113.42441,2020,02,20,   63.75,  0.007753,   12.99,   24.49,   11.49,   17.32
23.34171,113.42441,2020,02,21,   62.52,  0.008389,   15.13,   26.73,   11.60,   18.91
23.34171,113.42441,2020,02,22,   67.44,  0.009381,   15.00,   27.36,   12.37,   19.47
23.34171,113.42441,2020,02,23,   65.45,  0.009651,   13.54,   27.77,   14.23,   20.37
23.34171,113.42441,2020,02,24,   73.26,  0.010662,   13.40,   27.21,   13.81,   20.10
23.34171,113.42441,2020,02,25,   75.95,  0.012561,   12.56,   28.96,   16.39,   22.12
23.34171,113.42441,2020,02,26,   66.42,  0.012164,   13.31,   30.66,   17.35,   23.82
23.34171,113.42441,2020,02,27,   68.90,  0.011958,   11.58,   29.35,   17.77,   22.93
23.34171,113.42441,2020,02,28,   73.08,  0.011532,   12.11,   27.52,   15.41,   21.36
23.34171,113.42441,2020,02,29,   69.58,  0.012318,   12.46,   30.36,   17.90,   23.19
23.34171,113.42441,2020,03,01,   72.94,  0.012432,   11.05,   28.98,   17.93,   22.56
23.34171,113.42441,2020,03,02,   79.32,  0.010565,    7.12,   22.55,   15.43,   18.63
23.34171,113.42441,2020,03,03,   83.24,  0.012064,    7.75,   24.55,   16.80,   19.97
23.34171,113.42441,2020,03,04,   76.93,  0.008931,    7.65,   21.23,   13.58,   16.49
23.34171,113.42441,2020,03,05,   77.92,  0.008747,    8.48,   20.53,   12.05,   15.98
23.34171,113.42441,2020,03,06,   75.13,  0.010772,   12.40,   26.82,   14.42,   19.80
23.34171,113.42441,2020,03,07,   79.33,  0.013547,   11.96,   29.31,   17.35,   22.56
23.34171,113.42441,2020,03,08,   80.94,  0.014559,    9.72,   29.14,   19.42,   23.35
23.34171,113.42441,2020,03,09,   77.31,  0.015238,   12.90,   31.18,   18.28,   24.84
23.34171,113.42441,2020,03,10,   61.30,  0.008670,   10.36,   25.62,   15.26,   19.57
23.34171,113.42441,2020,03,11,   73.85,  0.009482,   10.69,   23.85,   13.16,   18.05
23.34171,113.42441,2020,03,12,   83.15,  0.013791,   11.18,   28.54,   17.35,   22.10
23.34171,113.42441,2020,03,13,   80.45,  0.014858,   11.80,   30.44,   18.65,   23.88
23.34171,113.42441,2020,03,14,   67.53,  0.009600,   10.17,   25.40,   15.23,   19.71
23.34171,113.42441,2020,03,15,   55.07,  0.007602,   12.33,   25.51,   13.17,   19.26
23.34171,113.42441,2020,03,16,   70.76,  0.010061,    8.04,   23.86,   15.82,   19.71
23.34171,113.42441,2020,03,17,   80.36,  0.012023,    9.20,   25.67,   16.47,   20.49
23.34171,113.42441,2020,03,18,   81.45,  0.012971,    7.89,   26.01,   18.12,   21.46
