-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2020 through 03/18/2020 
Location: Latitude  23.8298   Longitude 108.7881 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 282.03 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
QV2M MERRA2 1/2x1/2 Specific Humidity at 2 Meters (kg kg-1) 
-END HEADER-
LAT,LON,YEAR,MO,DY,RH2M,QV2M,T2M_RANGE,T2M_MAX,T2M_MIN,T2M
23.82981,108.78811,2020,01,01,   74.35,  0.007609,   13.14,   21.72,    8.57,   14.23
23.82981,108.78811,2020,01,02,   83.41,  0.010802,   12.11,   24.55,   12.44,   17.85
23.82981,108.78811,2020,01,03,   82.02,  0.010740,    9.51,   23.65,   14.14,   18.02
23.82981,108.78811,2020,01,04,   78.00,  0.009545,   12.71,   24.02,   11.32,   16.93
23.82981,108.78811,2020,01,05,   72.83,  0.010065,   13.17,   26.28,   13.11,   18.82
23.82981,108.78811,2020,01,06,   76.06,  0.011522,   11.60,   27.07,   15.47,   20.26
23.82981,108.78811,2020,01,07,   73.43,  0.010857,   11.89,   26.92,   15.03,   19.89
23.82981,108.78811,2020,01,08,   66.95,  0.008971,   15.80,   26.62,   10.82,   18.33
23.82981,108.78811,2020,01,09,   78.43,  0.011532,   12.58,   26.70,   14.12,   19.77
23.82981,108.78811,2020,01,10,   78.40,  0.011458,   15.01,   27.06,   12.04,   19.65
23.82981,108.78811,2020,01,11,   71.44,  0.005340,    4.79,   11.85,    7.06,    9.42
23.82981,108.78811,2020,01,12,   63.80,  0.004985,   10.90,   16.89,    5.98,   10.07
23.82981,108.78811,2020,01,13,   71.63,  0.006476,   15.89,   20.02,    4.13,   12.22
23.82981,108.78811,2020,01,14,   85.43,  0.006807,    3.07,   11.75,    8.68,   10.34
23.82981,108.78811,2020,01,15,   88.58,  0.008732,   11.59,   19.86,    8.27,   13.51
23.82981,108.78811,2020,01,16,   80.28,  0.006047,    7.42,   13.61,    6.19,    9.54
23.82981,108.78811,2020,01,17,   69.17,  0.004816,    9.01,   13.50,    4.49,    8.42
23.82981,108.78811,2020,01,18,   78.34,  0.005565,    7.36,   13.21,    5.85,    8.68
23.82981,108.78811,2020,01,19,   69.22,  0.005329,   11.48,   16.72,    5.24,    9.90
23.82981,108.78811,2020,01,20,   79.46,  0.006910,   10.07,   17.01,    6.93,   11.69
23.82981,108.78811,2020,01,21,   86.13,  0.010737,   12.52,   24.16,   11.65,   17.19
23.82981,108.78811,2020,01,22,   81.57,  0.011822,   11.29,   26.07,   14.78,   19.54
23.82981,108.78811,2020,01,23,   79.59,  0.012262,   11.76,   27.37,   15.62,   20.50
23.82981,108.78811,2020,01,24,   84.71,  0.008569,    8.76,   16.96,    8.20,   13.94
23.82981,108.78811,2020,01,25,   81.73,  0.005071,    5.80,    9.62,    3.82,    6.69
23.82981,108.78811,2020,01,26,   69.19,  0.004421,   11.32,   13.86,    2.54,    7.12
23.82981,108.78811,2020,01,27,   66.82,  0.004014,   12.90,   13.64,    0.74,    6.22
23.82981,108.78811,2020,01,28,   65.84,  0.003968,   12.15,   12.89,    0.74,    6.29
23.82981,108.78811,2020,01,29,   58.00,  0.004110,   12.57,   15.85,    3.28,    8.69
23.82981,108.78811,2020,01,30,   53.49,  0.004080,   14.95,   17.59,    2.64,    9.77
23.82981,108.78811,2020,01,31,   62.32,  0.005000,   14.29,   17.86,    3.57,   10.49
23.82981,108.78811,2020,02,01,   81.10,  0.007317,    9.30,   16.95,    7.65,   12.23
23.82981,108.78811,2020,02,02,   90.73,  0.009260,   11.11,   20.87,    9.76,   14.10
23.82981,108.78811,2020,02,03,   86.63,  0.006431,    4.24,   11.64,    7.40,    9.33
23.82981,108.78811,2020,02,04,   88.52,  0.006593,    6.32,   12.80,    6.48,    9.38
23.82981,108.78811,2020,02,05,   90.88,  0.007768,    6.66,   14.79,    8.14,   11.40
23.82981,108.78811,2020,02,06,   91.90,  0.009418,   12.42,   21.00,    8.57,   14.13
23.82981,108.78811,2020,02,07,   81.64,  0.007154,   10.18,   17.78,    7.60,   11.83
23.82981,108.78811,2020,02,08,   86.58,  0.006393,    4.25,   11.79,    7.55,    9.32
23.82981,108.78811,2020,02,09,   82.18,  0.006369,    7.90,   14.69,    6.79,   10.05
23.82981,108.78811,2020,02,10,   87.34,  0.007691,   10.22,   17.03,    6.81,   11.88
23.82981,108.78811,2020,02,11,   92.90,  0.010708,    9.99,   21.19,   11.20,   15.95
