-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2020 through 03/18/2020 
Location: Latitude  26.8154   Longitude 106.8748 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 1200.5 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
QV2M MERRA2 1/2x1/2 Specific Humidity at 2 Meters (kg kg-1) 
-END HEADER-
LAT,LON,YEAR,MO,DY,RH2M,QV2M,T2M_RANGE,T2M_MAX,T2M_MIN,T2M
26.81541,106.87481,2020,01,01,   85.87,  0.008007,   13.16,   18.69,    5.52,   11.08
26.81541,106.87481,2020,01,02,   88.35,  0.008566,   11.05,   18.74,    7.69,   11.67
26.81541,106.87481,2020,01,03,   92.78,  0.007578,    5.83,   12.34,    6.51,    9.13
26.81541,106.87481,2020,01,04,   92.56,  0.008115,    8.98,   14.40,    5.42,   10.12
26.81541,106.87481,2020,01,05,   87.90,  0.010459,    8.21,   19.68,   11.47,   14.68
26.81541,106.87481,2020,01,06,   88.88,  0.010275,   11.40,   18.52,    7.12,   14.21
26.81541,106.87481,2020,01,07,   72.49,  0.005972,   14.40,   17.57,    3.17,    9.21
26.81541,106.87481,2020,01,08,   91.41,  0.009306,    8.36,   16.88,    8.52,   12.31
26.81541,106.87481,2020,01,09,   88.98,  0.008059,   10.25,   16.65,    6.40,   10.55
26.81541,106.87481,2020,01,10,   89.79,  0.006306,    9.08,   11.14,    2.07,    6.82
26.81541,106.87481,2020,01,11,   81.67,  0.004797,   10.43,   10.85,    0.42,    4.33
26.81541,106.87481,2020,01,12,   78.64,  0.004954,   14.14,   13.84,   -0.29,    5.28
