-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2020 through 03/18/2020 
Location: Latitude  19.1959   Longitude 109.7453 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 236.23 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
QV2M MERRA2 1/2x1/2 Specific Humidity at 2 Meters (kg kg-1) 
-END HEADER-
LAT,LON,YEAR,MO,DY,RH2M,QV2M,T2M_RANGE,T2M_MAX,T2M_MIN,T2M
19.19591,109.74531,2020,01,01,   84.74,  0.012854,    7.98,   25.62,   17.64,   20.47
19.19591,109.74531,2020,01,02,   83.96,  0.012567,    9.00,   26.06,   17.06,   20.25
19.19591,109.74531,2020,01,03,   83.38,  0.012655,    9.56,   26.34,   16.79,   20.44
19.19591,109.74531,2020,01,04,   84.41,  0.012558,    8.00,   25.13,   17.13,   20.09
19.19591,109.74531,2020,01,05,   82.91,  0.012631,   10.20,   26.42,   16.22,   20.46
19.19591,109.74531,2020,01,06,   81.91,  0.013562,   10.69,   28.44,   17.75,   21.79
19.19591,109.74531,2020,01,07,   77.74,  0.013206,   11.57,   29.30,   17.73,   22.21
19.19591,109.74531,2020,01,08,   81.36,  0.012670,   11.03,   27.27,   16.23,   20.80
19.19591,109.74531,2020,01,09,   80.19,  0.012928,   11.65,   28.02,   16.37,   21.34
19.19591,109.74531,2020,01,10,   81.10,  0.013133,   11.25,   28.04,   16.79,   21.39
19.19591,109.74531,2020,01,11,   80.42,  0.013176,   11.00,   27.91,   16.91,   21.58
19.19591,109.74531,2020,01,12,   78.04,  0.010842,    8.73,   24.33,   15.61,   18.96
19.19591,109.74531,2020,01,13,   78.22,  0.011225,   12.06,   26.34,   14.28,   19.47
19.19591,109.74531,2020,01,14,   78.11,  0.011576,   11.68,   26.98,   15.30,   20.00
19.19591,109.74531,2020,01,15,   76.47,  0.010991,   12.47,   26.80,   14.34,   19.50
19.19591,109.74531,2020,01,16,   74.76,  0.011459,   13.59,   28.20,   14.61,   20.54
19.19591,109.74531,2020,01,17,   81.00,  0.011918,   10.34,   26.28,   15.95,   19.91
19.19591,109.74531,2020,01,18,   77.88,  0.012100,   11.17,   27.51,   16.34,   20.77
19.19591,109.74531,2020,01,19,   81.82,  0.012432,    7.86,   25.33,   17.48,   20.43
19.19591,109.74531,2020,01,20,   79.82,  0.011932,    9.50,   26.12,   16.62,   20.18
19.19591,109.74531,2020,01,21,   78.56,  0.011823,   10.97,   26.56,   15.58,   20.29
19.19591,109.74531,2020,01,22,   77.25,  0.012673,   12.23,   28.76,   16.53,   21.65
19.19591,109.74531,2020,01,23,   74.83,  0.012773,   13.52,   29.91,   16.39,   22.27
19.19591,109.74531,2020,01,24,   76.46,  0.012927,   12.39,   29.25,   16.87,   22.12
19.19591,109.74531,2020,01,25,   76.20,  0.012576,    9.60,   27.57,   17.97,   21.69
19.19591,109.74531,2020,01,26,   84.55,  0.009552,    5.31,   18.82,   13.51,   15.68
19.19591,109.74531,2020,01,27,   83.77,  0.008673,    6.08,   18.15,   12.06,   14.34
19.19591,109.74531,2020,01,28,   84.39,  0.008441,    5.53,   17.08,   11.56,   13.85
19.19591,109.74531,2020,01,29,   71.75,  0.007597,   10.28,   21.05,   10.76,   14.76
19.19591,109.74531,2020,01,30,   66.08,  0.006599,   11.64,   20.78,    9.14,   13.87
19.19591,109.74531,2020,01,31,   73.39,  0.008052,   13.99,   23.07,    9.08,   15.31
19.19591,109.74531,2020,02,01,   81.05,  0.009939,   12.31,   24.03,   11.72,   17.03
19.19591,109.74531,2020,02,02,   82.10,  0.011442,   12.09,   26.16,   14.08,   19.05
19.19591,109.74531,2020,02,03,   80.25,  0.011770,   11.90,   26.83,   14.93,   19.85
19.19591,109.74531,2020,02,04,   80.46,  0.011898,   11.59,   26.77,   15.18,   19.98
19.19591,109.74531,2020,02,05,   83.20,  0.012401,   10.38,   26.45,   16.07,   20.10
19.19591,109.74531,2020,02,06,   78.97,  0.012426,   10.47,   27.43,   16.95,   20.97
19.19591,109.74531,2020,02,07,   78.73,  0.012467,   11.81,   28.06,   16.24,   21.10
19.19591,109.74531,2020,02,08,   81.70,  0.012201,   10.07,   26.02,   15.96,   20.19
19.19591,109.74531,2020,02,09,   82.63,  0.010469,    7.90,   22.15,   14.26,   17.60
19.19591,109.74531,2020,02,10,   82.23,  0.010949,   10.45,   24.49,   14.04,   18.35
19.19591,109.74531,2020,02,11,   79.79,  0.012571,   12.50,   28.19,   15.69,   21.01
19.19591,109.74531,2020,02,12,   75.89,  0.012896,   13.08,   29.77,   16.68,   22.21
19.19591,109.74531,2020,02,13,   78.85,  0.014669,   11.82,   30.79,   18.97,   23.64
19.19591,109.74531,2020,02,14,   80.27,  0.014646,    7.23,   28.30,   21.07,   23.28
19.19591,109.74531,2020,02,15,   77.25,  0.015286,   12.27,   31.38,   19.11,   24.65
19.19591,109.74531,2020,02,16,   74.31,  0.007921,    5.43,   18.20,   12.77,   14.87
19.19591,109.74531,2020,02,17,   73.91,  0.007534,    7.23,   18.47,   11.24,   14.25
19.19591,109.74531,2020,02,18,   70.79,  0.008236,   13.11,   23.38,   10.27,   16.28
19.19591,109.74531,2020,02,19,   79.00,  0.011166,   12.55,   26.31,   13.76,   19.32
19.19591,109.74531,2020,02,20,   82.36,  0.012120,    9.67,   25.94,   16.28,   19.96
19.19591,109.74531,2020,02,21,   80.87,  0.012010,    9.38,   26.16,   16.78,   20.15
19.19591,109.74531,2020,02,22,   79.04,  0.011291,   11.03,   25.64,   14.62,   19.53
19.19591,109.74531,2020,02,23,   79.13,  0.011146,   12.46,   26.38,   13.93,   19.27
19.19591,109.74531,2020,02,24,   76.42,  0.012056,   12.80,   28.42,   15.62,   21.04
19.19591,109.74531,2020,02,25,   76.15,  0.012705,   13.55,   29.52,   15.97,   21.92
19.19591,109.74531,2020,02,26,   77.46,  0.013448,   12.31,   29.66,   17.34,   22.58
19.19591,109.74531,2020,02,27,   77.09,  0.013049,   11.58,   28.88,   17.30,   22.16
19.19591,109.74531,2020,02,28,   82.59,  0.014027,   10.46,   28.41,   17.95,   22.18
19.19591,109.74531,2020,02,29,   78.80,  0.014214,   10.95,   29.71,   18.76,   23.14
19.19591,109.74531,2020,03,01,   73.50,  0.013452,   13.22,   31.04,   17.82,   23.39
19.19591,109.74531,2020,03,02,   76.68,  0.013580,   12.24,   29.89,   17.65,   22.86
19.19591,109.74531,2020,03,03,   78.41,  0.013786,    9.01,   28.51,   19.50,   22.74
19.19591,109.74531,2020,03,04,   78.77,  0.013897,    9.69,   28.91,   19.22,   22.80
19.19591,109.74531,2020,03,05,   82.21,  0.013728,    9.01,   27.61,   18.60,   21.92
19.19591,109.74531,2020,03,06,   80.48,  0.014660,   10.15,   29.57,   19.42,   23.32
19.19591,109.74531,2020,03,07,   73.02,  0.014554,   14.03,   32.99,   18.96,   24.78
