-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2020 through 03/18/2020 
Location: Latitude  38.0428   Longitude 114.5149 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 130.71 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
QV2M MERRA2 1/2x1/2 Specific Humidity at 2 Meters (kg kg-1) 
-END HEADER-
LAT,LON,YEAR,MO,DY,RH2M,QV2M,T2M_RANGE,T2M_MAX,T2M_MIN,T2M
38.04281,114.51491,2020,01,01,   52.45,  0.001466,    9.39,    1.00,   -8.39,   -3.98
38.04281,114.51491,2020,01,02,   50.93,  0.001720,    9.60,    3.82,   -5.78,   -1.43
38.04281,114.51491,2020,01,03,   50.85,  0.002044,    8.18,    6.14,   -2.04,    0.93
38.04281,114.51491,2020,01,04,   54.91,  0.002241,    8.76,    6.09,   -2.67,    1.13
38.04281,114.51491,2020,01,05,   82.84,  0.002914,    2.63,    0.84,   -1.79,   -0.91
38.04281,114.51491,2020,01,06,   82.54,  0.003047,    6.98,    3.78,   -3.20,   -0.31
38.04281,114.51491,2020,01,07,   60.52,  0.002170,    5.38,    1.20,   -4.18,   -0.69
38.04281,114.51491,2020,01,08,   58.29,  0.001781,   10.48,    3.27,   -7.20,   -2.81
38.04281,114.51491,2020,01,09,   67.81,  0.002285,    8.81,    3.34,   -5.47,   -1.52
38.04281,114.51491,2020,01,10,   60.97,  0.002221,    8.90,    4.53,   -4.37,   -0.47
38.04281,114.51491,2020,01,11,   52.83,  0.001600,    5.09,   -0.27,   -5.37,   -2.96
38.04281,114.51491,2020,01,12,   53.52,  0.001609,   10.99,    2.81,   -8.18,   -3.09
38.04281,114.51491,2020,01,13,   50.76,  0.001453,    9.19,    1.95,   -7.24,   -3.71
38.04281,114.51491,2020,01,14,   51.37,  0.001301,   11.21,    0.83,  -10.38,   -5.29
38.04281,114.51491,2020,01,15,   57.36,  0.001705,    8.91,    1.55,   -7.36,   -3.16
38.04281,114.51491,2020,01,16,   55.86,  0.001797,    4.96,    0.54,   -4.42,   -2.10
38.04281,114.51491,2020,01,17,   62.59,  0.002022,    8.13,    3.25,   -4.89,   -2.09
38.04281,114.51491,2020,01,18,   58.73,  0.002046,   12.31,    5.65,   -6.65,   -1.11
38.04281,114.51491,2020,01,19,   42.79,  0.001569,   13.91,    7.19,   -6.72,   -0.41
38.04281,114.51491,2020,01,20,   45.18,  0.001495,   11.70,    4.62,   -7.08,   -1.76
38.04281,114.51491,2020,01,21,   55.47,  0.001953,    5.84,    2.39,   -3.45,   -0.95
38.04281,114.51491,2020,01,22,   63.36,  0.002458,   10.47,    6.15,   -4.32,    0.35
38.04281,114.51491,2020,01,23,   58.49,  0.002355,   11.20,    7.49,   -3.71,    0.93
38.04281,114.51491,2020,01,24,   64.53,  0.002412,    7.45,    4.35,   -3.11,    0.02
38.04281,114.51491,2020,01,25,   56.31,  0.002248,    8.41,    6.29,   -2.11,    0.88
38.04281,114.51491,2020,01,26,   64.05,  0.002408,    4.81,    2.31,   -2.50,    0.03
38.04281,114.51491,2020,01,27,   64.76,  0.002669,    4.90,    4.31,   -0.60,    1.22
38.04281,114.51491,2020,01,28,   62.11,  0.002704,    6.47,    6.60,    0.13,    1.96
38.04281,114.51491,2020,01,29,   63.73,  0.002772,    7.40,    6.32,   -1.07,    1.97
38.04281,114.51491,2020,01,30,   57.01,  0.002216,   10.30,    7.24,   -3.06,    0.41
38.04281,114.51491,2020,01,31,   46.92,  0.002178,   14.21,   11.73,   -2.48,    2.85
38.04281,114.51491,2020,02,01,   46.77,  0.001824,    7.84,    5.27,   -2.56,    0.51
38.04281,114.51491,2020,02,02,   57.16,  0.002219,   11.62,    8.10,   -3.52,    0.43
38.04281,114.51491,2020,02,03,   47.07,  0.001639,   11.20,    5.94,   -5.27,   -1.06
38.04281,114.51491,2020,02,04,   46.80,  0.001529,    7.64,    2.84,   -4.80,   -1.91
38.04281,114.51491,2020,02,05,   58.46,  0.001742,    7.53,    1.19,   -6.34,   -3.08
38.04281,114.51491,2020,02,06,   70.53,  0.002074,    6.85,    0.76,   -6.09,   -3.28
38.04281,114.51491,2020,02,07,   82.05,  0.002764,   10.62,    4.92,   -5.70,   -1.49
38.04281,114.51491,2020,02,08,   65.09,  0.002728,   10.99,    8.83,   -2.16,    1.53
38.04281,114.51491,2020,02,09,   43.43,  0.002312,   16.56,   15.08,   -1.48,    4.82
38.04281,114.51491,2020,02,10,   40.52,  0.002275,   16.64,   15.75,   -0.89,    5.50
38.04281,114.51491,2020,02,11,   54.07,  0.003086,   14.41,   14.63,    0.22,    5.71
38.04281,114.51491,2020,02,12,   51.67,  0.003321,   14.54,   16.78,    2.24,    7.39
38.04281,114.51491,2020,02,13,   68.38,  0.004230,   14.64,   15.52,    0.88,    6.77
38.04281,114.51491,2020,02,14,   82.98,  0.003537,    7.98,    5.14,   -2.84,    1.64
38.04281,114.51491,2020,02,15,   35.12,  0.001164,    8.57,    3.46,   -5.12,   -1.68
38.04281,114.51491,2020,02,16,   34.22,  0.001230,   10.61,    5.90,   -4.71,   -0.59
38.04281,114.51491,2020,02,17,   37.21,  0.001545,   14.80,   10.05,   -4.75,    1.41
38.04281,114.51491,2020,02,18,   39.21,  0.001990,   15.61,   12.93,   -2.68,    4.15
38.04281,114.51491,2020,02,19,   59.67,  0.002834,   12.58,   11.19,   -1.38,    3.19
38.04281,114.51491,2020,02,20,   80.05,  0.003211,    7.86,    5.39,   -2.47,    0.90
