-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2020 through 03/18/2020 
Location: Latitude  47.862   Longitude 127.7615 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 350.08 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
QV2M MERRA2 1/2x1/2 Specific Humidity at 2 Meters (kg kg-1) 
-END HEADER-
LAT,LON,YEAR,MO,DY,RH2M,QV2M,T2M_RANGE,T2M_MAX,T2M_MIN,T2M
47.86201,127.76151,2020,01,01,   80.52,  0.000371,   11.41,  -19.85,  -31.26,  -26.18
47.86201,127.76151,2020,01,02,   81.57,  0.000513,    8.43,  -17.85,  -26.28,  -22.74
47.86201,127.76151,2020,01,03,   79.31,  0.000538,    8.38,  -17.46,  -25.84,  -21.90
47.86201,127.76151,2020,01,04,   81.89,  0.000642,    9.53,  -14.09,  -23.63,  -20.21
47.86201,127.76151,2020,01,05,   84.07,  0.000687,    7.98,  -14.63,  -22.61,  -19.66
47.86201,127.76151,2020,01,06,   89.35,  0.001140,    8.47,  -10.49,  -18.97,  -14.34
47.86201,127.76151,2020,01,07,   87.19,  0.001255,    7.26,   -9.47,  -16.73,  -12.90
47.86201,127.76151,2020,01,08,   87.59,  0.000849,   10.59,  -11.07,  -21.66,  -17.72
47.86201,127.76151,2020,01,09,   85.08,  0.000728,    9.36,  -13.07,  -22.43,  -19.18
47.86201,127.76151,2020,01,10,   82.72,  0.000803,    4.42,  -15.07,  -19.48,  -17.73
47.86201,127.76151,2020,01,11,   84.70,  0.000880,    8.83,  -12.02,  -20.85,  -16.93
47.86201,127.76151,2020,01,12,   80.43,  0.000581,    6.80,  -18.60,  -25.39,  -21.19
47.86201,127.76151,2020,01,13,   82.97,  0.000703,    6.82,  -15.18,  -22.00,  -19.34
47.86201,127.76151,2020,01,14,   81.23,  0.000575,    6.43,  -17.26,  -23.69,  -21.33
47.86201,127.76151,2020,01,15,   79.17,  0.000549,    5.90,  -18.42,  -24.32,  -21.55
47.86201,127.76151,2020,01,16,   81.12,  0.000543,    9.31,  -16.89,  -26.20,  -21.99
47.86201,127.76151,2020,01,17,   82.58,  0.000527,    9.02,  -17.72,  -26.74,  -22.54
47.86201,127.76151,2020,01,18,   82.18,  0.000694,    7.46,  -15.64,  -23.10,  -19.37
47.86201,127.76151,2020,01,19,   85.06,  0.000968,    8.32,  -10.99,  -19.31,  -15.89
47.86201,127.76151,2020,01,20,   84.66,  0.000879,    6.54,  -13.43,  -19.97,  -16.95
47.86201,127.76151,2020,01,21,   89.76,  0.000887,   10.54,  -12.73,  -23.28,  -17.53
47.86201,127.76151,2020,01,22,   84.00,  0.000710,    8.64,  -14.47,  -23.11,  -19.34
47.86201,127.76151,2020,01,23,   82.44,  0.000805,    9.25,  -12.98,  -22.23,  -17.64
47.86201,127.76151,2020,01,24,   80.58,  0.000402,   12.16,  -17.99,  -30.15,  -25.22
47.86201,127.76151,2020,01,25,   84.74,  0.000511,   11.85,  -15.29,  -27.14,  -23.09
47.86201,127.76151,2020,01,26,   82.64,  0.000601,    9.17,  -14.83,  -23.99,  -20.98
47.86201,127.76151,2020,01,27,   90.86,  0.000942,   11.04,   -9.98,  -21.02,  -16.86
47.86201,127.76151,2020,01,28,   87.27,  0.000923,   10.95,  -10.00,  -20.95,  -16.62
47.86201,127.76151,2020,01,29,   85.86,  0.000736,   13.81,  -10.53,  -24.35,  -19.09
47.86201,127.76151,2020,01,30,   92.27,  0.000735,   14.21,  -11.47,  -25.68,  -19.99
47.86201,127.76151,2020,01,31,   88.11,  0.000725,   11.78,  -12.72,  -24.49,  -19.65
47.86201,127.76151,2020,02,01,   85.31,  0.000798,    8.71,  -13.49,  -22.20,  -18.18
47.86201,127.76151,2020,02,02,   82.55,  0.000647,    7.38,  -17.32,  -24.69,  -20.23
47.86201,127.76151,2020,02,03,   80.55,  0.000423,   11.70,  -19.23,  -30.93,  -24.79
47.86201,127.76151,2020,02,04,   79.28,  0.000421,   11.45,  -19.22,  -30.68,  -24.64
47.86201,127.76151,2020,02,05,   85.60,  0.000373,   13.65,  -19.98,  -33.64,  -26.74
47.86201,127.76151,2020,02,06,   86.48,  0.000481,   13.37,  -17.88,  -31.25,  -24.04
47.86201,127.76151,2020,02,07,   83.70,  0.000496,   11.57,  -16.20,  -27.77,  -23.39
47.86201,127.76151,2020,02,08,   86.05,  0.000522,   13.83,  -15.45,  -29.28,  -23.08
47.86201,127.76151,2020,02,09,   87.16,  0.001013,    8.01,  -11.36,  -19.37,  -15.61
47.86201,127.76151,2020,02,10,   86.85,  0.000948,    8.18,  -11.90,  -20.09,  -16.32
47.86201,127.76151,2020,02,11,  100.00,  0.002045,   16.20,   -1.55,  -17.75,   -9.22
47.86201,127.76151,2020,02,12,   94.64,  0.002174,   10.42,   -2.65,  -13.07,   -7.19
47.86201,127.76151,2020,02,13,   85.80,  0.001269,    6.25,   -9.85,  -16.11,  -12.64
47.86201,127.76151,2020,02,14,   84.32,  0.000601,   12.29,  -14.43,  -26.72,  -21.21
47.86201,127.76151,2020,02,15,   89.33,  0.000690,   16.16,  -10.97,  -27.13,  -20.30
47.86201,127.76151,2020,02,16,   85.22,  0.000638,   12.80,  -14.07,  -26.86,  -20.71
47.86201,127.76151,2020,02,17,   91.23,  0.000676,   15.36,  -11.65,  -27.01,  -20.88
47.86201,127.76151,2020,02,18,   90.75,  0.000924,   10.80,  -12.38,  -23.18,  -17.19
47.86201,127.76151,2020,02,19,   89.71,  0.001142,   14.85,   -7.80,  -22.66,  -14.44
47.86201,127.76151,2020,02,20,   87.44,  0.000888,   13.49,   -9.54,  -23.04,  -17.08
47.86201,127.76151,2020,02,21,   90.54,  0.001376,   11.88,   -7.03,  -18.91,  -12.23
47.86201,127.76151,2020,02,22,   90.62,  0.001334,   14.14,   -7.88,  -22.03,  -12.73
47.86201,127.76151,2020,02,23,   97.94,  0.001299,   14.76,   -7.68,  -22.44,  -14.04
