-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2020 through 03/18/2020 
Location: Latitude  33.882   Longitude 113.614 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 92.16 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
QV2M MERRA2 1/2x1/2 Specific Humidity at 2 Meters (kg kg-1) 
-END HEADER-
LAT,LON,YEAR,MO,DY,RH2M,QV2M,T2M_RANGE,T2M_MAX,T2M_MIN,T2M
33.88201,113.61401,2020,01,01,   46.77,  0.001783,   10.02,    5.91,   -4.11,    0.28
33.88201,113.61401,2020,01,02,   52.86,  0.002388,    9.98,    8.23,   -1.75,    2.64
33.88201,113.61401,2020,01,03,   55.73,  0.002818,   12.40,   11.07,   -1.33,    4.21
33.88201,113.61401,2020,01,04,   70.44,  0.003922,   12.74,   12.89,    0.15,    5.54
33.88201,113.61401,2020,01,05,   94.30,  0.004118,    4.53,    5.12,    0.59,    2.06
33.88201,113.61401,2020,01,06,   92.16,  0.003579,    2.38,    1.85,   -0.52,    0.42
33.88201,113.61401,2020,01,07,   94.65,  0.003305,    7.76,    1.45,   -6.31,   -1.03
33.88201,113.61401,2020,01,08,   85.86,  0.002660,    9.37,    1.80,   -7.57,   -2.57
33.88201,113.61401,2020,01,09,   79.52,  0.002739,    8.67,    3.13,   -5.53,   -1.16
33.88201,113.61401,2020,01,10,   81.43,  0.003111,    6.87,    3.57,   -3.31,    0.23
33.88201,113.61401,2020,01,11,   82.50,  0.003092,    9.40,    5.25,   -4.16,   -0.04
33.88201,113.61401,2020,01,12,   84.08,  0.003096,   11.34,    5.59,   -5.75,   -0.29
33.88201,113.61401,2020,01,13,   86.46,  0.003106,    7.85,    4.09,   -3.77,   -0.62
33.88201,113.61401,2020,01,14,   65.50,  0.002179,   10.24,    4.70,   -5.54,   -1.61
33.88201,113.61401,2020,01,15,   71.18,  0.002409,    5.10,    1.41,   -3.68,   -1.37
33.88201,113.61401,2020,01,16,   75.44,  0.002712,    7.76,    4.21,   -3.55,   -0.54
33.88201,113.61401,2020,01,17,   75.43,  0.003029,   11.10,    7.32,   -3.78,    0.96
33.88201,113.61401,2020,01,18,   73.21,  0.003053,   11.61,    7.93,   -3.69,    1.45
33.88201,113.61401,2020,01,19,   50.83,  0.002459,   13.03,   10.57,   -2.46,    3.53
33.88201,113.61401,2020,01,20,   56.28,  0.002407,   10.80,    8.45,   -2.35,    1.81
33.88201,113.61401,2020,01,21,   76.41,  0.003251,   10.55,    7.37,   -3.18,    1.70
33.88201,113.61401,2020,01,22,   80.49,  0.003705,    9.24,    7.80,   -1.44,    2.79
33.88201,113.61401,2020,01,23,   83.90,  0.003942,    9.20,    7.87,   -1.33,    3.12
33.88201,113.61401,2020,01,24,   85.69,  0.003855,    6.07,    6.47,    0.40,    2.59
33.88201,113.61401,2020,01,25,   67.15,  0.003057,    9.39,    8.16,   -1.23,    2.75
33.88201,113.61401,2020,01,26,   76.04,  0.003161,    4.99,    4.20,   -0.79,    1.45
33.88201,113.61401,2020,01,27,   67.36,  0.002825,   10.61,    7.26,   -3.35,    1.53
33.88201,113.61401,2020,01,28,   64.61,  0.002978,   13.15,   10.51,   -2.64,    2.82
33.88201,113.61401,2020,01,29,   64.23,  0.003032,   13.80,   11.62,   -2.18,    3.17
33.88201,113.61401,2020,01,30,   63.49,  0.003045,   13.77,   11.68,   -2.09,    3.41
33.88201,113.61401,2020,01,31,   64.62,  0.003398,   16.74,   14.33,   -2.42,    4.69
33.88201,113.61401,2020,02,01,   73.54,  0.003981,    8.89,   10.88,    2.00,    5.12
33.88201,113.61401,2020,02,02,   64.97,  0.003467,   13.98,   12.41,   -1.57,    4.93
33.88201,113.61401,2020,02,03,   67.27,  0.003237,   13.53,   10.62,   -2.91,    3.49
33.88201,113.61401,2020,02,04,   67.78,  0.003495,   14.83,   13.60,   -1.23,    4.42
33.88201,113.61401,2020,02,05,   82.90,  0.003342,    7.99,    5.34,   -2.65,    1.03
33.88201,113.61401,2020,02,06,   86.19,  0.003353,    4.22,    2.91,   -1.31,    0.55
33.88201,113.61401,2020,02,07,   78.03,  0.003351,   12.29,    8.36,   -3.93,    1.92
33.88201,113.61401,2020,02,08,   74.36,  0.003795,   14.81,   12.30,   -2.51,    4.37
33.88201,113.61401,2020,02,09,   62.90,  0.003908,   18.06,   17.47,   -0.58,    7.16
33.88201,113.61401,2020,02,10,   63.76,  0.004514,   17.59,   18.61,    1.01,    8.96
33.88201,113.61401,2020,02,11,   78.31,  0.005324,   11.43,   15.78,    4.35,    8.32
33.88201,113.61401,2020,02,12,   82.55,  0.005705,   13.85,   17.11,    3.26,    8.53
33.88201,113.61401,2020,02,13,   82.12,  0.006427,   14.07,   19.32,    5.26,   10.30
33.88201,113.61401,2020,02,14,   80.82,  0.005584,   13.67,   14.92,    1.24,    8.54
33.88201,113.61401,2020,02,15,   75.21,  0.002862,    5.90,    2.22,   -3.68,    0.25
33.88201,113.61401,2020,02,16,   52.41,  0.002025,   12.74,    7.22,   -5.52,    0.46
33.88201,113.61401,2020,02,17,   47.59,  0.002227,   16.83,   11.48,   -5.36,    3.16
33.88201,113.61401,2020,02,18,   53.77,  0.002993,   17.85,   15.32,   -2.53,    5.56
33.88201,113.61401,2020,02,19,   69.79,  0.004180,   11.73,   14.11,    2.37,    6.56
33.88201,113.61401,2020,02,20,   64.89,  0.004396,   14.26,   16.21,    1.95,    8.42
33.88201,113.61401,2020,02,21,   52.25,  0.003636,   13.28,   16.62,    3.34,    8.85
33.88201,113.61401,2020,02,22,   50.76,  0.003157,   16.06,   15.68,   -0.37,    7.23
33.88201,113.61401,2020,02,23,   70.82,  0.005698,   18.16,   20.32,    2.16,   10.89
33.88201,113.61401,2020,02,24,   86.03,  0.008078,   11.24,   19.16,    7.93,   13.09
33.88201,113.61401,2020,02,25,   75.74,  0.005352,   10.85,   15.13,    4.28,    8.92
33.88201,113.61401,2020,02,26,   77.07,  0.005520,    7.00,   13.31,    6.31,    9.22
33.88201,113.61401,2020,02,27,   85.52,  0.004325,    6.89,    7.98,    1.09,    4.18
33.88201,113.61401,2020,02,28,   82.53,  0.004292,   11.29,   11.41,    0.12,    4.48
33.88201,113.61401,2020,02,29,   89.13,  0.005016,   11.02,   12.14,    1.12,    5.57
33.88201,113.61401,2020,03,01,   77.90,  0.004953,    8.49,   12.93,    4.45,    7.43
33.88201,113.61401,2020,03,02,   74.36,  0.004066,    7.74,    9.29,    1.55,    5.28
33.88201,113.61401,2020,03,03,   56.71,  0.003330,   14.54,   14.09,   -0.45,    6.30
33.88201,113.61401,2020,03,04,   50.96,  0.002868,   16.54,   14.20,   -2.34,    5.72
33.88201,113.61401,2020,03,05,   64.89,  0.004001,   18.53,   16.42,   -2.12,    6.97
33.88201,113.61401,2020,03,06,   78.25,  0.005820,   13.79,   17.12,    3.33,    9.59
33.88201,113.61401,2020,03,07,   61.52,  0.005076,   15.00,   19.46,    4.46,   11.16
33.88201,113.61401,2020,03,08,   77.76,  0.006960,   13.57,   19.36,    5.78,   12.32
33.88201,113.61401,2020,03,09,   87.96,  0.006274,    5.47,   11.41,    5.94,    8.99
33.88201,113.61401,2020,03,10,   50.21,  0.003552,   13.65,   16.70,    3.05,    8.96
33.88201,113.61401,2020,03,11,   60.89,  0.004901,   16.66,   19.43,    2.77,   10.82
33.88201,113.61401,2020,03,12,   69.03,  0.006351,   13.19,   20.09,    6.90,   12.81
33.88201,113.61401,2020,03,13,   47.63,  0.003343,   10.11,   14.01,    3.89,    8.92
33.88201,113.61401,2020,03,14,   39.67,  0.002953,   17.02,   18.73,    1.71,    9.76
33.88201,113.61401,2020,03,15,   39.17,  0.003529,   18.43,   21.56,    3.14,   12.58
33.88201,113.61401,2020,03,16,   43.42,  0.004336,   11.99,   20.92,    8.94,   14.16
33.88201,113.61401,2020,03,17,   46.38,  0.004922,   15.63,   23.97,    8.34,   15.04
33.88201,113.61401,2020,03,18,   41.82,  0.004848,   20.75,   27.20,    6.45,   16.34
