-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2020 through 03/18/2020 
Location: Latitude  22.3   Longitude 114.2 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 27.59 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
QV2M MERRA2 1/2x1/2 Specific Humidity at 2 Meters (kg kg-1) 
-END HEADER-
LAT,LON,YEAR,MO,DY,RH2M,QV2M,T2M_RANGE,T2M_MAX,T2M_MIN,T2M
22.30001,114.20001,2020,01,01,   75.95,  0.009643,    3.27,   19.96,   16.69,   18.08
22.30001,114.20001,2020,01,02,   77.69,  0.010003,    3.52,   20.23,   16.71,   18.28
22.30001,114.20001,2020,01,03,   78.82,  0.010729,    4.22,   21.56,   17.33,   19.13
22.30001,114.20001,2020,01,04,   78.32,  0.011048,    4.25,   21.95,   17.70,   19.67
22.30001,114.20001,2020,01,05,   86.15,  0.012489,    3.64,   22.09,   18.45,   20.08
22.30001,114.20001,2020,01,06,   86.76,  0.013148,    3.53,   22.80,   19.27,   20.77
22.30001,114.20001,2020,01,07,   82.49,  0.013504,    4.52,   24.58,   20.06,   22.01
22.30001,114.20001,2020,01,08,   69.26,  0.010575,    5.07,   23.69,   18.63,   20.92
22.30001,114.20001,2020,01,09,   81.33,  0.011732,    2.55,   21.34,   18.79,   19.97
22.30001,114.20001,2020,01,10,   82.26,  0.012187,    3.88,   22.66,   18.77,   20.37
22.30001,114.20001,2020,01,11,   77.35,  0.011402,    5.34,   22.95,   17.61,   20.30
22.30001,114.20001,2020,01,12,   62.08,  0.007413,    5.07,   19.16,   14.09,   16.99
22.30001,114.20001,2020,01,13,   73.44,  0.009597,    3.98,   20.39,   16.41,   18.41
22.30001,114.20001,2020,01,14,   74.25,  0.010205,    4.25,   21.41,   17.16,   19.23
22.30001,114.20001,2020,01,15,   80.99,  0.011780,    4.36,   22.35,   17.99,   20.11
22.30001,114.20001,2020,01,16,   80.47,  0.012113,    4.14,   22.86,   18.72,   20.66
22.30001,114.20001,2020,01,17,   63.13,  0.007779,    5.09,   20.15,   15.06,   17.53
22.30001,114.20001,2020,01,18,   67.26,  0.008542,    4.04,   20.23,   16.18,   17.99
22.30001,114.20001,2020,01,19,   71.99,  0.009400,    2.89,   19.82,   16.93,   18.44
22.30001,114.20001,2020,01,20,   67.69,  0.008415,    5.22,   20.16,   14.94,   17.69
22.30001,114.20001,2020,01,21,   76.46,  0.010650,    3.76,   21.22,   17.46,   19.48
22.30001,114.20001,2020,01,22,   86.09,  0.013029,    3.72,   22.77,   19.05,   20.75
22.30001,114.20001,2020,01,23,   87.51,  0.014023,    4.16,   23.91,   19.75,   21.65
22.30001,114.20001,2020,01,24,   86.86,  0.014168,    3.48,   24.06,   20.57,   21.95
22.30001,114.20001,2020,01,25,   85.78,  0.012874,    3.52,   22.22,   18.70,   20.57
22.30001,114.20001,2020,01,26,   81.01,  0.009332,    4.87,   18.38,   13.51,   16.37
22.30001,114.20001,2020,01,27,   69.23,  0.006811,    5.87,   17.04,   11.17,   13.97
22.30001,114.20001,2020,01,28,   71.63,  0.006950,    5.30,   16.59,   11.29,   13.78
22.30001,114.20001,2020,01,29,   61.04,  0.006162,    5.96,   17.59,   11.64,   14.43
22.30001,114.20001,2020,01,30,   52.68,  0.005530,    6.47,   18.45,   11.98,   15.05
22.30001,114.20001,2020,01,31,   57.44,  0.006131,    5.13,   17.72,   12.59,   15.32
22.30001,114.20001,2020,02,01,   68.90,  0.008096,    4.17,   18.98,   14.81,   16.80
22.30001,114.20001,2020,02,02,   83.44,  0.010658,    2.89,   19.57,   16.68,   18.09
22.30001,114.20001,2020,02,03,   83.52,  0.011233,    2.98,   20.65,   17.67,   18.89
22.30001,114.20001,2020,02,04,   85.05,  0.010782,    2.55,   19.08,   16.54,   17.95
22.30001,114.20001,2020,02,05,   83.25,  0.010801,    2.21,   19.65,   17.44,   18.32
22.30001,114.20001,2020,02,06,   86.05,  0.011485,    2.80,   20.30,   17.51,   18.75
22.30001,114.20001,2020,02,07,   82.60,  0.011152,    3.47,   20.60,   17.14,   18.97
22.30001,114.20001,2020,02,08,   76.26,  0.009375,    3.31,   19.20,   15.89,   17.53
22.30001,114.20001,2020,02,09,   74.33,  0.008722,    2.33,   18.00,   15.67,   16.83
22.30001,114.20001,2020,02,10,   77.33,  0.009322,    2.02,   18.18,   16.16,   17.20
22.30001,114.20001,2020,02,11,   87.55,  0.011971,    3.35,   20.89,   17.54,   19.15
22.30001,114.20001,2020,02,12,   90.66,  0.013339,    3.96,   22.66,   18.69,   20.28
22.30001,114.20001,2020,02,13,   91.65,  0.013451,    3.14,   21.92,   18.78,   20.20
22.30001,114.20001,2020,02,14,   93.01,  0.014371,    2.85,   22.52,   19.67,   20.99
22.30001,114.20001,2020,02,15,   92.63,  0.014346,    5.96,   22.71,   16.75,   21.04
22.30001,114.20001,2020,02,16,   76.79,  0.007154,    4.29,   15.35,   11.06,   13.19
22.30001,114.20001,2020,02,17,   59.13,  0.005683,    6.35,   17.12,   10.77,   13.76
22.30001,114.20001,2020,02,18,   62.66,  0.006628,    4.44,   17.34,   12.90,   15.23
22.30001,114.20001,2020,02,19,   69.65,  0.008250,    4.53,   19.05,   14.52,   16.96
22.30001,114.20001,2020,02,20,   74.41,  0.009407,    4.27,   20.12,   15.86,   17.98
22.30001,114.20001,2020,02,21,   79.85,  0.010492,    4.68,   20.98,   16.30,   18.62
22.30001,114.20001,2020,02,22,   76.59,  0.010576,    5.89,   22.55,   16.66,   19.40
22.30001,114.20001,2020,02,23,   75.51,  0.010420,    4.71,   21.93,   17.22,   19.37
22.30001,114.20001,2020,02,24,   84.26,  0.012007,    3.35,   21.55,   18.20,   19.82
22.30001,114.20001,2020,02,25,   90.11,  0.013972,    4.01,   23.25,   19.23,   21.13
22.30001,114.20001,2020,02,26,   83.83,  0.013731,    5.34,   25.01,   19.67,   22.03
22.30001,114.20001,2020,02,27,   84.98,  0.012826,    2.81,   22.23,   19.43,   20.72
22.30001,114.20001,2020,02,28,   84.91,  0.012625,    3.42,   22.38,   18.96,   20.45
22.30001,114.20001,2020,02,29,   86.31,  0.013622,    4.01,   23.48,   19.47,   21.37
22.30001,114.20001,2020,03,01,   83.43,  0.013887,    4.14,   24.49,   20.35,   22.23
22.30001,114.20001,2020,03,02,   83.76,  0.012660,    1.78,   21.60,   19.82,   20.71
22.30001,114.20001,2020,03,03,   84.87,  0.012801,    2.73,   22.22,   19.49,   20.68
22.30001,114.20001,2020,03,04,   83.28,  0.012247,    4.14,   22.00,   17.86,   20.28
22.30001,114.20001,2020,03,05,   79.98,  0.010668,    2.99,   20.42,   17.43,   18.74
22.30001,114.20001,2020,03,06,   82.62,  0.011712,    3.25,   21.34,   18.10,   19.68
22.30001,114.20001,2020,03,07,   88.82,  0.014082,    3.67,   23.48,   19.82,   21.42
22.30001,114.20001,2020,03,08,   92.15,  0.014999,    2.96,   23.33,   20.38,   21.79
22.30001,114.20001,2020,03,09,   91.91,  0.015749,    2.52,   24.04,   21.52,   22.59
22.30001,114.20001,2020,03,10,   70.22,  0.011283,    5.12,   24.22,   19.10,   21.66
22.30001,114.20001,2020,03,11,   80.15,  0.011478,    3.13,   21.33,   18.21,   19.85
22.30001,114.20001,2020,03,12,   89.86,  0.014355,    3.64,   23.56,   19.92,   21.56
22.30001,114.20001,2020,03,13,   89.62,  0.015259,    3.37,   24.53,   21.16,   22.60
22.30001,114.20001,2020,03,14,   78.29,  0.011862,    4.40,   22.99,   18.59,   20.77
22.30001,114.20001,2020,03,15,   69.71,  0.010122,    3.15,   21.84,   18.70,   20.11
22.30001,114.20001,2020,03,16,   72.82,  0.010944,    3.11,   22.34,   19.23,   20.67
22.30001,114.20001,2020,03,17,   83.07,  0.013136,    2.97,   23.05,   20.09,   21.46
22.30001,114.20001,2020,03,18,   85.96,  0.013732,    2.92,   23.21,   20.29,   21.57
