-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2020 through 03/18/2020 
Location: Latitude  30.9756   Longitude 112.2707 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 93.13 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
QV2M MERRA2 1/2x1/2 Specific Humidity at 2 Meters (kg kg-1) 
-END HEADER-
LAT,LON,YEAR,MO,DY,RH2M,QV2M,T2M_RANGE,T2M_MAX,T2M_MIN,T2M
30.97561,112.27071,2020,01,01,   70.08,  0.003094,    6.68,    6.14,   -0.54,    2.29
30.97561,112.27071,2020,01,02,   74.37,  0.003746,   10.13,    9.30,   -0.83,    4.15
30.97561,112.27071,2020,01,03,   73.69,  0.004085,    6.63,    9.29,    2.66,    5.51
30.97561,112.27071,2020,01,04,   79.16,  0.004643,   10.46,   11.26,    0.80,    6.27
30.97561,112.27071,2020,01,05,   90.97,  0.005534,    3.83,    8.41,    4.58,    6.73
30.97561,112.27071,2020,01,06,   88.54,  0.004206,    4.28,    5.30,    1.02,    3.20
30.97561,112.27071,2020,01,07,   85.71,  0.003831,    9.46,    8.26,   -1.20,    2.39
30.97561,112.27071,2020,01,08,   92.50,  0.003587,    4.74,    3.24,   -1.51,    0.46
30.97561,112.27071,2020,01,09,   94.95,  0.003332,    4.27,    0.90,   -3.37,   -0.94
30.97561,112.27071,2020,01,10,   93.58,  0.003341,    5.56,    1.95,   -3.61,   -0.71
30.97561,112.27071,2020,01,11,   83.78,  0.003340,   10.74,    7.19,   -3.55,    0.82
30.97561,112.27071,2020,01,12,   86.40,  0.003582,   10.95,    7.73,   -3.23,    1.34
30.97561,112.27071,2020,01,13,   85.00,  0.003913,    8.68,    7.58,   -1.10,    2.80
30.97561,112.27071,2020,01,14,   74.75,  0.003556,   10.27,    8.79,   -1.48,    3.30
30.97561,112.27071,2020,01,15,   86.71,  0.003647,    4.19,    3.70,   -0.49,    1.56
30.97561,112.27071,2020,01,16,   79.34,  0.003068,    9.34,    5.90,   -3.44,    0.45
30.97561,112.27071,2020,01,17,   78.14,  0.003316,   10.79,    7.97,   -2.82,    1.73
30.97561,112.27071,2020,01,18,   79.01,  0.003757,    9.53,    8.45,   -1.07,    3.29
30.97561,112.27071,2020,01,19,   65.43,  0.003415,   12.88,   11.92,   -0.96,    4.61
30.97561,112.27071,2020,01,20,   68.95,  0.003972,   12.14,   12.95,    0.81,    6.01
30.97561,112.27071,2020,01,21,   82.54,  0.004773,    8.52,   10.93,    2.41,    6.02
30.97561,112.27071,2020,01,22,   88.92,  0.004751,    8.10,    9.32,    1.22,    4.88
30.97561,112.27071,2020,01,23,   87.28,  0.004852,    7.13,    9.48,    2.36,    5.48
30.97561,112.27071,2020,01,24,   88.12,  0.004639,    4.54,    7.42,    2.89,    4.77
30.97561,112.27071,2020,01,25,   81.04,  0.003981,    5.41,    6.88,    1.47,    3.79
30.97561,112.27071,2020,01,26,   79.48,  0.003483,    7.84,    6.32,   -1.52,    2.16
30.97561,112.27071,2020,01,27,   78.98,  0.003321,    9.11,    6.43,   -2.68,    1.56
30.97561,112.27071,2020,01,28,   69.42,  0.003381,   12.26,   10.37,   -1.89,    3.62
30.97561,112.27071,2020,01,29,   65.19,  0.003677,   14.36,   13.43,   -0.92,    5.73
30.97561,112.27071,2020,01,30,   59.80,  0.003497,   14.54,   13.99,   -0.55,    6.24
30.97561,112.27071,2020,01,31,   65.70,  0.004107,   11.80,   14.18,    2.39,    7.19
30.97561,112.27071,2020,02,01,   72.72,  0.004523,    9.96,   12.34,    2.38,    7.10
30.97561,112.27071,2020,02,02,   80.30,  0.005156,    8.76,   12.26,    3.50,    7.59
30.97561,112.27071,2020,02,03,   78.59,  0.004832,    9.64,   12.10,    2.46,    6.97
30.97561,112.27071,2020,02,04,   74.76,  0.004995,   11.64,   15.10,    3.46,    8.15
30.97561,112.27071,2020,02,05,   83.93,  0.005219,   11.70,   13.62,    1.92,    7.11
30.97561,112.27071,2020,02,06,   90.19,  0.004196,    3.54,    4.27,    0.73,    2.98
30.97561,112.27071,2020,02,07,   80.83,  0.004098,   10.71,    9.93,   -0.78,    4.25
30.97561,112.27071,2020,02,08,   80.68,  0.004514,   12.35,   12.01,   -0.34,    5.69
30.97561,112.27071,2020,02,09,   75.63,  0.004915,   11.77,   14.88,    3.10,    7.83
30.97561,112.27071,2020,02,10,   79.16,  0.005660,    9.76,   14.61,    4.85,    9.12
30.97561,112.27071,2020,02,11,   89.49,  0.006514,    9.86,   15.58,    5.72,    9.33
30.97561,112.27071,2020,02,12,   89.10,  0.007012,   12.07,   18.05,    5.98,   10.46
