-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2020 through 03/18/2020 
Location: Latitude  27.6104   Longitude 111.7088 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 323.3 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
QV2M MERRA2 1/2x1/2 Specific Humidity at 2 Meters (kg kg-1) 
-END HEADER-
LAT,LON,YEAR,MO,DY,RH2M,QV2M,T2M_RANGE,T2M_MAX,T2M_MIN,T2M
27.61041,111.70881,2020,01,01,   78.56,  0.004639,   11.00,   11.95,    0.95,    6.00
27.61041,111.70881,2020,01,02,   89.05,  0.004801,    3.90,    6.81,    2.91,    4.69
27.61041,111.70881,2020,01,03,   90.51,  0.004669,    4.62,    6.78,    2.16,    4.07
27.61041,111.70881,2020,01,04,   87.61,  0.005287,    8.45,   10.96,    2.51,    6.27
27.61041,111.70881,2020,01,05,   94.34,  0.007309,   12.96,   17.82,    4.86,    9.84
27.61041,111.70881,2020,01,06,   91.43,  0.008499,   13.28,   20.52,    7.24,   12.54
27.61041,111.70881,2020,01,07,   83.52,  0.004959,   10.11,   11.91,    1.79,    6.01
27.61041,111.70881,2020,01,08,   80.60,  0.004371,   10.83,   10.78,   -0.05,    4.73
27.61041,111.70881,2020,01,09,   88.87,  0.003989,    4.40,    4.32,   -0.07,    2.03
27.61041,111.70881,2020,01,10,   89.16,  0.003711,    3.51,    3.35,   -0.17,    0.98
27.61041,111.70881,2020,01,11,   88.79,  0.003764,    7.32,    5.67,   -1.65,    1.27
27.61041,111.70881,2020,01,12,   82.15,  0.003701,   10.84,    8.56,   -2.29,    2.10
27.61041,111.70881,2020,01,13,   83.30,  0.004178,   11.63,    9.56,   -2.07,    3.59
27.61041,111.70881,2020,01,14,   86.45,  0.004495,    7.03,    7.71,    0.68,    4.13
27.61041,111.70881,2020,01,15,   91.82,  0.004201,    3.98,    4.29,    0.31,    2.30
27.61041,111.70881,2020,01,16,   84.42,  0.003410,    6.26,    3.94,   -2.32,    0.64
27.61041,111.70881,2020,01,17,   83.69,  0.003475,    9.25,    6.44,   -2.81,    1.03
27.61041,111.70881,2020,01,18,   87.91,  0.003808,    8.68,    6.04,   -2.63,    1.58
27.61041,111.70881,2020,01,19,   75.46,  0.003846,   11.96,   10.99,   -0.97,    3.87
27.61041,111.70881,2020,01,20,   74.20,  0.004509,   12.47,   13.20,    0.72,    6.37
27.61041,111.70881,2020,01,21,   90.23,  0.006401,    8.66,   13.27,    4.61,    8.57
27.61041,111.70881,2020,01,22,   91.82,  0.005793,    3.55,    8.16,    4.61,    6.84
27.61041,111.70881,2020,01,23,   91.19,  0.004981,    3.65,    6.86,    3.21,    4.79
27.61041,111.70881,2020,01,24,   94.06,  0.004438,    3.95,    5.22,    1.27,    2.77
27.61041,111.70881,2020,01,25,   95.74,  0.004032,    1.78,    2.23,    0.45,    1.19
27.61041,111.70881,2020,01,26,   88.14,  0.003746,    5.81,    4.63,   -1.18,    1.31
27.61041,111.70881,2020,01,27,   85.73,  0.003473,    8.89,    5.51,   -3.37,    0.63
27.61041,111.70881,2020,01,28,   78.12,  0.003441,   11.49,    8.42,   -3.07,    1.81
27.61041,111.70881,2020,01,29,   67.02,  0.003565,   12.60,   11.32,   -1.28,    4.49
27.61041,111.70881,2020,01,30,   64.07,  0.004008,   11.97,   13.69,    1.72,    6.81
27.61041,111.70881,2020,01,31,   61.52,  0.004034,   10.53,   12.73,    2.20,    7.48
27.61041,111.70881,2020,02,01,   70.39,  0.004763,    9.98,   13.47,    3.49,    7.92
27.61041,111.70881,2020,02,02,   92.99,  0.005434,    3.97,    8.38,    4.41,    5.80
27.61041,111.70881,2020,02,03,   89.39,  0.005320,    5.30,    9.06,    3.76,    6.08
27.61041,111.70881,2020,02,04,   83.20,  0.005487,   11.85,   13.68,    1.83,    7.55
27.61041,111.70881,2020,02,05,   86.82,  0.006270,   11.88,   14.38,    2.51,    8.86
27.61041,111.70881,2020,02,06,   94.55,  0.005196,    6.28,    8.03,    1.75,    4.89
27.61041,111.70881,2020,02,07,   88.89,  0.004491,    6.83,    7.81,    0.97,    3.79
27.61041,111.70881,2020,02,08,   89.98,  0.004553,    5.76,    7.37,    1.61,    3.84
27.61041,111.70881,2020,02,09,   84.34,  0.004784,   10.82,   11.28,    0.46,    5.45
27.61041,111.70881,2020,02,10,   80.89,  0.005785,    9.51,   13.19,    3.67,    8.72
27.61041,111.70881,2020,02,11,   93.66,  0.007596,    8.59,   15.75,    7.16,   10.52
27.61041,111.70881,2020,02,12,   90.13,  0.008188,   11.51,   18.34,    6.83,   12.21
27.61041,111.70881,2020,02,13,   94.92,  0.010215,    9.28,   19.90,   10.62,   14.71
27.61041,111.70881,2020,02,14,   90.09,  0.011184,   11.63,   23.08,   11.45,   16.93
