-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2020 through 03/18/2020 
Location: Latitude  44.0935   Longitude 113.9448 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 1110.69 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
QV2M MERRA2 1/2x1/2 Specific Humidity at 2 Meters (kg kg-1) 
-END HEADER-
LAT,LON,YEAR,MO,DY,RH2M,QV2M,T2M_RANGE,T2M_MAX,T2M_MIN,T2M
44.09351,113.94481,2020,01,01,   78.26,  0.000711,   10.25,  -12.83,  -23.09,  -19.53
44.09351,113.94481,2020,01,02,   70.34,  0.000750,   10.81,  -10.56,  -21.37,  -17.61
44.09351,113.94481,2020,01,03,   84.78,  0.001004,   10.46,   -9.22,  -19.68,  -16.38
44.09351,113.94481,2020,01,04,   83.70,  0.001100,    9.42,   -9.21,  -18.63,  -15.13
44.09351,113.94481,2020,01,05,   90.04,  0.001492,    9.04,   -7.58,  -16.62,  -12.34
44.09351,113.94481,2020,01,06,   82.94,  0.001261,    7.18,   -8.80,  -15.98,  -13.38
44.09351,113.94481,2020,01,07,   81.12,  0.001083,   10.32,   -7.88,  -18.20,  -14.91
44.09351,113.94481,2020,01,08,   79.98,  0.000949,    6.50,  -12.02,  -18.52,  -16.36
44.09351,113.94481,2020,01,09,   75.15,  0.000892,    6.96,  -12.36,  -19.32,  -16.39
44.09351,113.94481,2020,01,10,   73.41,  0.000889,    7.75,  -12.11,  -19.87,  -16.14
44.09351,113.94481,2020,01,11,   69.00,  0.000836,    9.59,  -10.74,  -20.33,  -16.13
44.09351,113.94481,2020,01,12,   72.77,  0.000772,    8.59,  -12.76,  -21.35,  -17.73
44.09351,113.94481,2020,01,13,   76.84,  0.000810,    9.38,  -11.48,  -20.86,  -17.81
