-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2020 through 03/18/2020 
Location: Latitude  32.9711   Longitude 119.455 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 11.38 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
QV2M MERRA2 1/2x1/2 Specific Humidity at 2 Meters (kg kg-1) 
-END HEADER-
LAT,LON,YEAR,MO,DY,RH2M,QV2M,T2M_RANGE,T2M_MAX,T2M_MIN,T2M
32.97111,119.45501,2020,01,01,   74.33,  0.003085,   12.00,    7.92,   -4.08,    1.61
32.97111,119.45501,2020,01,02,   83.45,  0.004811,    9.32,   11.33,    2.02,    6.22
32.97111,119.45501,2020,01,03,   82.86,  0.005042,    7.94,   11.80,    3.86,    6.98
32.97111,119.45501,2020,01,04,   76.80,  0.004424,    9.40,   12.15,    2.75,    6.18
32.97111,119.45501,2020,01,05,   91.68,  0.005612,    6.49,    9.39,    2.90,    7.02
32.97111,119.45501,2020,01,06,   94.47,  0.006747,    3.44,   11.25,    7.81,    9.19
32.97111,119.45501,2020,01,07,   93.52,  0.005251,    7.31,    8.91,    1.60,    5.65
32.97111,119.45501,2020,01,08,   68.13,  0.003015,    9.56,    7.59,   -1.98,    2.45
32.97111,119.45501,2020,01,09,   82.83,  0.003766,    5.58,    6.05,    0.47,    2.80
32.97111,119.45501,2020,01,10,   89.72,  0.004450,    4.86,    6.76,    1.90,    3.99
32.97111,119.45501,2020,01,11,   76.11,  0.003687,    7.76,    7.83,    0.07,    3.65
