-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2020 through 03/18/2020 
Location: Latitude  27.614   Longitude 115.7221 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 137.77 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
QV2M MERRA2 1/2x1/2 Specific Humidity at 2 Meters (kg kg-1) 
-END HEADER-
LAT,LON,YEAR,MO,DY,RH2M,QV2M,T2M_RANGE,T2M_MAX,T2M_MIN,T2M
27.61401,115.72211,2020,01,01,   80.00,  0.005406,   16.47,   17.24,    0.77,    8.29
27.61401,115.72211,2020,01,02,   85.16,  0.006649,    6.93,   14.84,    7.91,   10.41
27.61401,115.72211,2020,01,03,   82.44,  0.006439,    8.68,   15.86,    7.18,   10.41
27.61401,115.72211,2020,01,04,   83.37,  0.006471,    8.06,   15.42,    7.36,   10.29
27.61401,115.72211,2020,01,05,   85.72,  0.008545,   16.34,   23.39,    7.06,   14.01
27.61401,115.72211,2020,01,06,   79.02,  0.009877,   14.15,   25.49,   11.34,   17.49
27.61401,115.72211,2020,01,07,   77.64,  0.006861,   11.07,   15.98,    4.91,   12.17
27.61401,115.72211,2020,01,08,   67.41,  0.004203,   13.45,   14.94,    1.49,    7.08
27.61401,115.72211,2020,01,09,   82.79,  0.004863,    7.78,   11.03,    3.25,    6.16
27.61401,115.72211,2020,01,10,   88.26,  0.004842,    3.54,    7.33,    3.79,    5.17
27.61401,115.72211,2020,01,11,   88.28,  0.004664,    4.95,    7.53,    2.58,    4.66
27.61401,115.72211,2020,01,12,   77.81,  0.004264,    9.69,   11.42,    1.73,    5.19
27.61401,115.72211,2020,01,13,   75.55,  0.004343,   14.62,   13.99,   -0.63,    5.86
27.61401,115.72211,2020,01,14,   68.97,  0.004473,    9.05,   13.17,    4.12,    7.65
27.61401,115.72211,2020,01,15,   90.52,  0.005298,    4.61,    8.90,    4.29,    6.10
27.61401,115.72211,2020,01,16,   87.31,  0.004309,    4.91,    6.44,    1.53,    3.72
27.61401,115.72211,2020,01,17,   81.81,  0.004020,    7.87,    8.59,    0.72,    3.69
27.61401,115.72211,2020,01,18,   79.49,  0.004254,   11.66,   11.05,   -0.61,    4.87
27.61401,115.72211,2020,01,19,   72.36,  0.004189,   10.30,   11.74,    1.44,    6.01
27.61401,115.72211,2020,01,20,   67.40,  0.004166,   12.57,   14.19,    1.62,    6.96
27.61401,115.72211,2020,01,21,   77.16,  0.005953,   11.17,   16.06,    4.89,   10.17
27.61401,115.72211,2020,01,22,   88.65,  0.007541,    9.22,   17.15,    7.93,   11.57
27.61401,115.72211,2020,01,23,   89.90,  0.006054,    4.96,   11.05,    6.09,    8.13
27.61401,115.72211,2020,01,24,   92.65,  0.006073,    4.06,   10.02,    5.96,    7.77
27.61401,115.72211,2020,01,25,   93.85,  0.005280,    3.03,    6.76,    3.73,    5.55
27.61401,115.72211,2020,01,26,   92.41,  0.004465,    3.80,    5.55,    1.75,    3.37
27.61401,115.72211,2020,01,27,   85.79,  0.004244,    7.20,    8.04,    0.84,    3.71
27.61401,115.72211,2020,01,28,   81.27,  0.003985,    9.44,    9.08,   -0.36,    3.62
27.61401,115.72211,2020,01,29,   74.28,  0.003702,   11.95,   10.65,   -1.30,    3.88
27.61401,115.72211,2020,01,30,   64.96,  0.003766,   12.51,   13.10,    0.59,    6.03
27.61401,115.72211,2020,01,31,   65.23,  0.003880,   13.74,   14.28,    0.53,    6.40
27.61401,115.72211,2020,02,01,   60.88,  0.004150,   15.52,   16.92,    1.40,    8.37
27.61401,115.72211,2020,02,02,   83.95,  0.005581,    7.97,   12.20,    4.23,    7.99
27.61401,115.72211,2020,02,03,   87.04,  0.005768,    7.12,   12.41,    5.29,    7.96
27.61401,115.72211,2020,02,04,   83.62,  0.006014,    9.25,   14.08,    4.84,    9.15
27.61401,115.72211,2020,02,05,   79.20,  0.005998,   13.97,   17.13,    3.16,    9.91
27.61401,115.72211,2020,02,06,   90.78,  0.006534,    6.35,   11.84,    5.49,    9.12
27.61401,115.72211,2020,02,07,   85.24,  0.005273,    6.82,   11.07,    4.25,    6.99
27.61401,115.72211,2020,02,08,   84.88,  0.005033,    8.30,   11.31,    3.00,    6.42
27.61401,115.72211,2020,02,09,   77.21,  0.004974,   11.29,   14.28,    2.99,    7.61
27.61401,115.72211,2020,02,10,   77.94,  0.005845,   11.34,   15.67,    4.33,    9.77
27.61401,115.72211,2020,02,11,   89.73,  0.008295,    8.78,   17.91,    9.13,   12.84
27.61401,115.72211,2020,02,12,   88.07,  0.008909,    9.53,   19.69,   10.16,   14.20
27.61401,115.72211,2020,02,13,  100.00,  0.010156,    6.30,   17.77,   11.47,   14.17
27.61401,115.72211,2020,02,14,   91.80,  0.011642,   10.22,   23.28,   13.06,   17.62
27.61401,115.72211,2020,02,15,  100.00,  0.006553,   14.54,   15.35,    0.81,    7.69
27.61401,115.72211,2020,02,16,   76.42,  0.003307,    8.56,    6.63,   -1.92,    1.95
27.61401,115.72211,2020,02,17,   64.56,  0.003042,   14.04,   10.39,   -3.66,    3.18
27.61401,115.72211,2020,02,18,   62.33,  0.003477,   14.62,   13.36,   -1.26,    5.54
27.61401,115.72211,2020,02,19,   64.32,  0.004475,   13.93,   16.11,    2.18,    8.70
27.61401,115.72211,2020,02,20,   69.58,  0.005554,   16.63,   19.47,    2.84,   10.75
27.61401,115.72211,2020,02,21,   78.34,  0.006956,   12.35,   19.71,    7.37,   12.37
27.61401,115.72211,2020,02,22,   79.44,  0.006661,   11.26,   18.13,    6.86,   11.54
27.61401,115.72211,2020,02,23,   75.59,  0.007901,   16.82,   23.19,    6.36,   14.82
27.61401,115.72211,2020,02,24,   73.85,  0.009756,   12.78,   25.78,   13.00,   18.39
27.61401,115.72211,2020,02,25,   81.46,  0.011471,    9.81,   24.94,   15.13,   19.37
27.61401,115.72211,2020,02,26,   86.25,  0.010354,    9.33,   21.01,   11.68,   16.89
27.61401,115.72211,2020,02,27,   88.64,  0.008717,    8.90,   19.07,   10.16,   13.81
27.61401,115.72211,2020,02,28,   89.92,  0.010256,    9.00,   20.98,   11.97,   16.04
27.61401,115.72211,2020,02,29,   87.08,  0.008413,    8.31,   18.59,   10.28,   13.46
27.61401,115.72211,2020,03,01,   81.13,  0.007086,   10.39,   17.47,    7.08,   11.98
27.61401,115.72211,2020,03,02,   81.68,  0.006895,   12.61,   19.05,    6.43,   11.50
27.61401,115.72211,2020,03,03,   92.23,  0.006447,    3.97,   11.11,    7.14,    8.70
27.61401,115.72211,2020,03,04,   90.11,  0.006600,    5.23,   12.48,    7.25,    9.41
27.61401,115.72211,2020,03,05,   85.15,  0.006839,    7.37,   14.46,    7.09,   10.77
27.61401,115.72211,2020,03,06,   93.67,  0.008580,    8.97,   17.38,    8.41,   12.65
27.61401,115.72211,2020,03,07,   90.69,  0.009521,    8.38,   19.35,   10.97,   14.70
27.61401,115.72211,2020,03,08,   88.14,  0.012061,   13.65,   25.27,   11.61,   18.76
27.61401,115.72211,2020,03,09,   90.88,  0.010966,    8.54,   19.53,   10.99,   16.79
27.61401,115.72211,2020,03,10,   81.75,  0.006778,    8.75,   16.26,    7.51,   11.21
27.61401,115.72211,2020,03,11,   74.76,  0.006754,   12.18,   17.88,    5.71,   12.51
27.61401,115.72211,2020,03,12,   92.36,  0.009049,    7.26,   18.15,   10.88,   13.68
27.61401,115.72211,2020,03,13,   89.01,  0.008867,    5.80,   17.06,   11.26,   13.99
27.61401,115.72211,2020,03,14,   73.72,  0.006663,    8.34,   17.54,    9.21,   12.57
27.61401,115.72211,2020,03,15,   60.63,  0.005862,   13.48,   20.75,    7.27,   13.58
27.61401,115.72211,2020,03,16,   66.50,  0.007078,   11.86,   20.73,    8.87,   15.04
