-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2020 through 03/18/2020 
Location: Latitude  43.6661   Longitude 126.1923 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 312.51 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
QV2M MERRA2 1/2x1/2 Specific Humidity at 2 Meters (kg kg-1) 
-END HEADER-
LAT,LON,YEAR,MO,DY,RH2M,QV2M,T2M_RANGE,T2M_MAX,T2M_MIN,T2M
43.66611,126.19231,2020,01,01,   81.36,  0.000616,   13.64,  -13.11,  -26.76,  -20.46
43.66611,126.19231,2020,01,02,   84.11,  0.000761,   10.31,  -11.67,  -21.97,  -18.42
43.66611,126.19231,2020,01,03,   86.51,  0.000846,   10.21,  -10.56,  -20.77,  -17.53
43.66611,126.19231,2020,01,04,   87.93,  0.001000,   10.43,   -8.94,  -19.37,  -15.71
43.66611,126.19231,2020,01,05,   91.69,  0.001096,   13.76,   -6.99,  -20.76,  -15.04
43.66611,126.19231,2020,01,06,   91.29,  0.001835,   11.58,   -3.92,  -15.50,   -8.64
43.66611,126.19231,2020,01,07,   90.89,  0.001584,    4.19,   -8.45,  -12.63,  -10.49
43.66611,126.19231,2020,01,08,   87.51,  0.001295,    5.39,  -10.13,  -15.52,  -12.56
43.66611,126.19231,2020,01,09,   88.48,  0.001021,   10.10,   -9.93,  -20.03,  -15.54
43.66611,126.19231,2020,01,10,   87.22,  0.001007,    9.09,  -10.41,  -19.50,  -15.58
43.66611,126.19231,2020,01,11,   84.86,  0.000852,    8.41,  -12.58,  -20.98,  -17.23
43.66611,126.19231,2020,01,12,   84.39,  0.000831,    8.32,  -13.02,  -21.35,  -17.48
43.66611,126.19231,2020,01,13,   82.50,  0.000929,    5.91,  -12.01,  -17.92,  -15.87
43.66611,126.19231,2020,01,14,   83.29,  0.000845,    7.91,  -12.57,  -20.48,  -17.04
43.66611,126.19231,2020,01,15,   87.71,  0.000769,   11.86,  -11.31,  -23.17,  -18.76
43.66611,126.19231,2020,01,16,   82.54,  0.000715,    7.36,  -14.93,  -22.29,  -18.90
43.66611,126.19231,2020,01,17,   89.23,  0.000891,   13.58,   -9.70,  -23.29,  -17.26
43.66611,126.19231,2020,01,18,   87.96,  0.001183,   12.54,   -7.32,  -19.86,  -13.74
43.66611,126.19231,2020,01,19,   89.12,  0.001597,    8.05,   -7.06,  -15.11,  -10.24
43.66611,126.19231,2020,01,20,   86.48,  0.001084,    8.24,  -10.73,  -18.96,  -14.59
43.66611,126.19231,2020,01,21,   90.17,  0.001420,   14.53,   -4.92,  -19.45,  -11.75
43.66611,126.19231,2020,01,22,   91.10,  0.001565,    8.96,   -6.14,  -15.10,  -10.67
43.66611,126.19231,2020,01,23,   91.48,  0.001198,   12.42,   -8.33,  -20.75,  -13.99
43.66611,126.19231,2020,01,24,   75.62,  0.000632,   12.49,  -12.42,  -24.91,  -19.23
43.66611,126.19231,2020,01,25,   74.27,  0.000846,   17.13,   -6.57,  -23.69,  -15.61
43.66611,126.19231,2020,01,26,   85.89,  0.000995,   13.57,   -7.26,  -20.83,  -15.40
43.66611,126.19231,2020,01,27,   93.01,  0.001457,   17.43,   -2.24,  -19.67,  -11.78
43.66611,126.19231,2020,01,28,   89.87,  0.001624,    7.94,   -5.30,  -13.24,  -10.02
43.66611,126.19231,2020,01,29,   87.88,  0.001099,    9.71,   -8.72,  -18.43,  -14.57
43.66611,126.19231,2020,01,30,   87.30,  0.000887,   10.97,  -11.51,  -22.48,  -17.09
43.66611,126.19231,2020,01,31,   88.75,  0.000925,   12.97,  -10.07,  -23.04,  -16.81
43.66611,126.19231,2020,02,01,   87.25,  0.000910,   12.70,   -9.39,  -22.08,  -16.77
43.66611,126.19231,2020,02,02,   81.11,  0.000709,   15.26,  -11.76,  -27.02,  -18.82
43.66611,126.19231,2020,02,03,   77.39,  0.000690,   10.64,  -12.41,  -23.05,  -18.62
43.66611,126.19231,2020,02,04,   76.85,  0.000514,    9.82,  -17.49,  -27.31,  -21.93
43.66611,126.19231,2020,02,05,   78.05,  0.000470,    8.92,  -17.85,  -26.77,  -23.02
43.66611,126.19231,2020,02,06,   83.92,  0.000582,   14.02,  -14.75,  -28.77,  -21.43
43.66611,126.19231,2020,02,07,   82.41,  0.000955,    9.35,  -10.10,  -19.45,  -15.48
43.66611,126.19231,2020,02,08,   76.82,  0.000737,   11.77,  -11.48,  -23.25,  -17.70
43.66611,126.19231,2020,02,09,   93.98,  0.001270,   18.35,   -4.87,  -23.23,  -13.69
43.66611,126.19231,2020,02,10,   89.23,  0.001228,   16.78,   -4.93,  -21.71,  -13.44
43.66611,126.19231,2020,02,11,   95.41,  0.002949,   10.31,    1.02,   -9.29,   -3.13
43.66611,126.19231,2020,02,12,   97.48,  0.003841,    2.89,    1.55,   -1.33,    0.13
43.66611,126.19231,2020,02,13,   95.36,  0.003464,   11.11,    2.80,   -8.30,   -0.98
43.66611,126.19231,2020,02,14,   72.87,  0.001229,    5.21,   -8.20,  -13.41,  -10.82
43.66611,126.19231,2020,02,15,   70.32,  0.001225,    9.47,   -5.72,  -15.19,  -10.45
43.66611,126.19231,2020,02,16,   74.01,  0.001104,    6.60,  -10.30,  -16.90,  -12.48
43.66611,126.19231,2020,02,17,   72.13,  0.000861,    8.71,  -10.03,  -18.74,  -15.19
43.66611,126.19231,2020,02,18,   81.93,  0.001297,   17.02,   -2.73,  -19.75,  -11.70
43.66611,126.19231,2020,02,19,   79.97,  0.001580,   14.26,   -0.59,  -14.84,   -8.85
43.66611,126.19231,2020,02,20,   73.21,  0.001620,   15.07,   -0.20,  -15.27,   -7.33
43.66611,126.19231,2020,02,21,   95.78,  0.003013,    5.54,   -0.15,   -5.69,   -2.82
43.66611,126.19231,2020,02,22,   88.13,  0.001965,    9.90,   -4.11,  -14.00,   -7.39
43.66611,126.19231,2020,02,23,   88.94,  0.002147,   14.95,   -0.31,  -15.27,   -6.37
43.66611,126.19231,2020,02,24,   78.22,  0.001856,   10.96,   -0.76,  -11.71,   -6.53
43.66611,126.19231,2020,02,25,   80.36,  0.001844,    8.83,   -2.11,  -10.94,   -6.92
43.66611,126.19231,2020,02,26,   77.36,  0.001634,   12.71,   -1.43,  -14.15,   -7.94
43.66611,126.19231,2020,02,27,   72.53,  0.001667,   13.79,    0.25,  -13.54,   -6.86
43.66611,126.19231,2020,02,28,   87.37,  0.002126,   11.83,   -0.63,  -12.47,   -6.28
43.66611,126.19231,2020,02,29,   88.62,  0.001788,   12.72,   -2.86,  -15.58,   -8.67
43.66611,126.19231,2020,03,01,   83.58,  0.001930,    6.63,   -3.32,   -9.95,   -6.91
43.66611,126.19231,2020,03,02,   83.24,  0.001834,    7.40,   -3.44,  -10.84,   -7.46
43.66611,126.19231,2020,03,03,   88.76,  0.001966,    8.99,   -3.60,  -12.60,   -7.42
43.66611,126.19231,2020,03,04,   89.04,  0.002146,    8.89,   -3.03,  -11.92,   -6.36
43.66611,126.19231,2020,03,05,   82.52,  0.001674,   13.60,   -1.59,  -15.19,   -8.57
43.66611,126.19231,2020,03,06,   92.48,  0.002751,   13.60,    1.87,  -11.74,   -3.65
43.66611,126.19231,2020,03,07,   86.19,  0.003082,    9.24,    2.64,   -6.59,   -1.17
43.66611,126.19231,2020,03,08,   92.63,  0.003484,   10.14,    3.83,   -6.32,   -0.49
43.66611,126.19231,2020,03,09,   81.32,  0.002825,    6.81,    1.49,   -5.32,   -1.53
43.66611,126.19231,2020,03,10,   78.36,  0.002372,    8.58,    1.39,   -7.19,   -3.49
43.66611,126.19231,2020,03,11,   72.88,  0.002203,   10.20,    1.86,   -8.34,   -3.48
43.66611,126.19231,2020,03,12,   61.87,  0.001928,   12.98,    2.46,  -10.52,   -3.05
43.66611,126.19231,2020,03,13,   58.47,  0.001282,   14.32,   -1.09,  -15.40,   -7.59
43.66611,126.19231,2020,03,14,   69.65,  0.002310,   10.68,    2.69,   -7.99,   -2.29
43.66611,126.19231,2020,03,15,   79.61,  0.001943,    7.76,   -3.65,  -11.41,   -6.28
43.66611,126.19231,2020,03,16,   72.74,  0.001997,   14.80,    2.07,  -12.74,   -4.72
