-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2020 through 03/18/2020 
Location: Latitude  41.2956   Longitude 122.6085 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 61.0 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
QV2M MERRA2 1/2x1/2 Specific Humidity at 2 Meters (kg kg-1) 
-END HEADER-
LAT,LON,YEAR,MO,DY,RH2M,QV2M,T2M_RANGE,T2M_MAX,T2M_MIN,T2M
41.29561,122.60851,2020,01,01,   62.07,  0.000892,   10.91,   -6.30,  -17.21,  -12.39
41.29561,122.60851,2020,01,02,   64.18,  0.001034,    8.23,   -5.94,  -14.17,  -10.98
41.29561,122.60851,2020,01,03,   67.24,  0.001312,   10.99,   -2.66,  -13.65,   -8.60
41.29561,122.60851,2020,01,04,   75.83,  0.001482,   10.38,   -2.87,  -13.25,   -8.56
41.29561,122.60851,2020,01,05,   72.81,  0.001783,   11.63,    0.79,  -10.84,   -5.62
41.29561,122.60851,2020,01,06,   88.89,  0.002835,    5.90,    1.43,   -4.47,   -2.17
41.29561,122.60851,2020,01,07,   79.62,  0.001700,    5.28,   -3.81,   -9.09,   -7.49
41.29561,122.60851,2020,01,08,   78.24,  0.001486,    6.18,   -5.19,  -11.37,   -8.98
41.29561,122.60851,2020,01,09,   75.65,  0.001369,   10.73,   -3.68,  -14.42,   -9.56
41.29561,122.60851,2020,01,10,   75.04,  0.001435,    9.43,   -3.25,  -12.68,   -8.89
41.29561,122.60851,2020,01,11,   73.46,  0.001101,    9.82,   -6.62,  -16.45,  -11.95
41.29561,122.60851,2020,01,12,   73.64,  0.000973,    9.25,   -8.18,  -17.43,  -13.53
41.29561,122.60851,2020,01,13,   70.81,  0.000935,   11.09,   -6.58,  -17.67,  -13.52
41.29561,122.60851,2020,01,14,   79.33,  0.000981,   11.59,   -7.34,  -18.93,  -14.27
41.29561,122.60851,2020,01,15,   74.77,  0.001185,   11.32,   -5.07,  -16.39,  -11.19
41.29561,122.60851,2020,01,16,   75.01,  0.000968,   10.22,   -7.82,  -18.04,  -13.73
41.29561,122.60851,2020,01,17,   76.70,  0.001177,   11.15,   -5.53,  -16.68,  -11.63
41.29561,122.60851,2020,01,18,   81.99,  0.001622,   11.07,   -3.04,  -14.11,   -8.50
41.29561,122.60851,2020,01,19,   75.34,  0.001586,    8.89,   -3.20,  -12.08,   -7.74
41.29561,122.60851,2020,01,20,   67.95,  0.001186,   10.12,   -4.09,  -14.21,  -10.06
41.29561,122.60851,2020,01,21,   73.17,  0.001851,   14.87,    1.78,  -13.09,   -5.25
41.29561,122.60851,2020,01,22,   89.03,  0.002556,    7.24,    0.94,   -6.30,   -3.61
41.29561,122.60851,2020,01,23,   81.29,  0.001757,   10.40,   -1.91,  -12.32,   -7.26
41.29561,122.60851,2020,01,24,   64.04,  0.000986,   10.75,   -5.26,  -16.01,  -11.46
41.29561,122.60851,2020,01,25,   61.54,  0.001214,   11.67,   -0.85,  -12.52,   -8.39
41.29561,122.60851,2020,01,26,   74.02,  0.001311,   13.84,   -1.68,  -15.52,   -9.76
41.29561,122.60851,2020,01,27,   82.88,  0.002054,    9.36,   -1.10,  -10.46,   -5.53
41.29561,122.60851,2020,01,28,   78.25,  0.002067,    6.18,   -1.96,   -8.14,   -4.71
41.29561,122.60851,2020,01,29,   73.73,  0.001428,    7.29,   -4.66,  -11.94,   -8.73
41.29561,122.60851,2020,01,30,   75.54,  0.001156,   10.61,   -5.23,  -15.84,  -11.71
41.29561,122.60851,2020,01,31,   69.31,  0.001208,   13.03,   -2.99,  -16.02,  -10.09
41.29561,122.60851,2020,02,01,   66.65,  0.001299,   13.51,   -1.33,  -14.84,   -8.60
41.29561,122.60851,2020,02,02,   65.19,  0.001128,    5.21,   -7.45,  -12.66,  -10.10
41.29561,122.60851,2020,02,03,   62.55,  0.001103,   11.75,   -4.68,  -16.44,   -9.88
41.29561,122.60851,2020,02,04,   55.27,  0.000782,   10.97,   -7.68,  -18.65,  -12.59
41.29561,122.60851,2020,02,05,   53.85,  0.000521,    9.74,  -11.51,  -21.25,  -17.12
41.29561,122.60851,2020,02,06,   64.18,  0.000825,   13.60,   -6.86,  -20.45,  -13.73
41.29561,122.60851,2020,02,07,   74.64,  0.001422,    9.17,   -2.95,  -12.12,   -8.89
41.29561,122.60851,2020,02,08,   63.00,  0.001256,   11.55,   -1.44,  -12.99,   -8.28
41.29561,122.60851,2020,02,09,   78.12,  0.002111,   15.72,    3.20,  -12.53,   -4.44
41.29561,122.60851,2020,02,10,   87.07,  0.002809,   13.12,    5.44,   -7.68,   -2.09
41.29561,122.60851,2020,02,11,   92.62,  0.003854,   10.02,    7.22,   -2.79,    1.38
41.29561,122.60851,2020,02,12,   93.05,  0.004254,    8.02,    7.92,   -0.10,    2.64
41.29561,122.60851,2020,02,13,   86.37,  0.004041,   11.43,    9.38,   -2.05,    2.97
41.29561,122.60851,2020,02,14,   59.16,  0.001686,    5.72,   -0.10,   -5.82,   -3.66
41.29561,122.60851,2020,02,15,   70.84,  0.001633,    3.25,   -4.56,   -7.81,   -6.50
41.29561,122.60851,2020,02,16,   62.27,  0.001225,    8.86,   -5.50,  -14.36,   -8.58
41.29561,122.60851,2020,02,17,   60.39,  0.000917,   11.61,   -5.62,  -17.24,  -11.79
41.29561,122.60851,2020,02,18,   70.96,  0.001667,   15.71,    1.49,  -14.23,   -6.22
41.29561,122.60851,2020,02,19,   67.10,  0.001894,   11.84,    2.64,   -9.20,   -3.76
41.29561,122.60851,2020,02,20,   71.76,  0.002423,   13.12,    5.17,   -7.94,   -1.32
41.29561,122.60851,2020,02,21,   93.57,  0.003524,    4.16,    1.73,   -2.42,    0.06
41.29561,122.60851,2020,02,22,   62.96,  0.001804,   11.04,    2.38,   -8.66,   -3.61
41.29561,122.60851,2020,02,23,   70.37,  0.002452,   13.43,    5.52,   -7.91,   -1.01
41.29561,122.60851,2020,02,24,   69.15,  0.002773,   10.58,    7.29,   -3.28,    0.92
41.29561,122.60851,2020,02,25,   58.69,  0.002245,    8.81,    5.38,   -3.42,    0.29
41.29561,122.60851,2020,02,26,   57.38,  0.001875,    8.85,    3.80,   -5.06,   -1.76
41.29561,122.60851,2020,02,27,   54.09,  0.001918,   12.35,    6.31,   -6.04,   -0.67
41.29561,122.60851,2020,02,28,   70.33,  0.002830,    7.88,    5.65,   -2.23,    0.93
41.29561,122.60851,2020,02,29,   63.17,  0.002254,    8.50,    4.18,   -4.31,   -0.70
41.29561,122.60851,2020,03,01,   65.18,  0.002316,    7.20,    3.56,   -3.63,   -0.75
41.29561,122.60851,2020,03,02,   59.12,  0.002013,   10.61,    3.95,   -6.66,   -1.27
41.29561,122.60851,2020,03,03,   79.74,  0.002853,    5.32,    2.43,   -2.89,   -0.67
41.29561,122.60851,2020,03,04,   65.86,  0.001869,    7.33,    0.34,   -6.99,   -3.72
41.29561,122.60851,2020,03,05,   60.31,  0.001956,   14.28,    5.47,   -8.82,   -1.96
41.29561,122.60851,2020,03,06,   77.00,  0.003416,   12.20,    9.35,   -2.85,    2.23
41.29561,122.60851,2020,03,07,   88.54,  0.003960,    8.44,    7.08,   -1.36,    2.36
41.29561,122.60851,2020,03,08,   95.00,  0.004219,    7.28,    6.67,   -0.61,    2.25
41.29561,122.60851,2020,03,09,   79.67,  0.003236,    6.60,    3.80,   -2.80,    1.03
41.29561,122.60851,2020,03,10,   52.44,  0.001875,   12.08,    6.25,   -5.83,   -0.76
41.29561,122.60851,2020,03,11,   53.93,  0.002077,   12.87,    7.09,   -5.78,    0.27
41.29561,122.60851,2020,03,12,   52.35,  0.002084,   12.83,    7.63,   -5.21,    0.78
41.29561,122.60851,2020,03,13,   48.31,  0.001665,   11.83,    5.65,   -6.18,   -1.13
41.29561,122.60851,2020,03,14,   53.06,  0.002367,   13.53,    9.46,   -4.06,    2.28
41.29561,122.60851,2020,03,15,   46.94,  0.001512,    8.23,    2.07,   -6.16,   -2.12
41.29561,122.60851,2020,03,16,   57.53,  0.002153,   12.47,    6.08,   -6.39,   -0.10
41.29561,122.60851,2020,03,17,   51.58,  0.002928,   14.88,   13.88,   -1.00,    5.68
41.29561,122.60851,2020,03,18,   58.42,  0.003713,   14.66,   15.50,    0.84,    7.19
