-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2020 through 03/18/2020 
Location: Latitude  22.1667   Longitude 113.55 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 11.87 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
QV2M MERRA2 1/2x1/2 Specific Humidity at 2 Meters (kg kg-1) 
-END HEADER-
LAT,LON,YEAR,MO,DY,RH2M,QV2M,T2M_RANGE,T2M_MAX,T2M_MIN,T2M
22.16671,113.55001,2020,01,01,   75.71,  0.009836,    2.68,   20.07,   17.39,   18.47
22.16671,113.55001,2020,01,02,   77.67,  0.010136,    2.77,   20.12,   17.35,   18.52
22.16671,113.55001,2020,01,03,   78.95,  0.010815,    3.72,   21.50,   17.77,   19.26
22.16671,113.55001,2020,01,04,   79.77,  0.011268,    3.86,   21.84,   17.98,   19.71
22.16671,113.55001,2020,01,05,   86.80,  0.012547,    3.16,   21.80,   18.64,   20.06
22.16671,113.55001,2020,01,06,   88.10,  0.013276,    3.23,   22.53,   19.30,   20.71
22.16671,113.55001,2020,01,07,   82.23,  0.013466,    4.68,   24.77,   20.08,   22.04
22.16671,113.55001,2020,01,08,   70.22,  0.010841,    4.39,   23.52,   19.13,   21.13
22.16671,113.55001,2020,01,09,   82.52,  0.012046,    2.30,   21.43,   19.13,   20.19
22.16671,113.55001,2020,01,10,   84.68,  0.012529,    3.24,   22.32,   19.09,   20.38
22.16671,113.55001,2020,01,11,   79.87,  0.011390,    4.84,   22.30,   17.46,   19.79
22.16671,113.55001,2020,01,12,   63.77,  0.007531,    3.83,   18.34,   14.51,   16.85
22.16671,113.55001,2020,01,13,   73.26,  0.009590,    3.43,   20.18,   16.74,   18.46
22.16671,113.55001,2020,01,14,   75.75,  0.010484,    3.49,   21.22,   17.73,   19.36
22.16671,113.55001,2020,01,15,   82.85,  0.011941,    3.37,   21.72,   18.34,   19.99
22.16671,113.55001,2020,01,16,   83.23,  0.012055,    4.89,   22.55,   17.66,   20.07
22.16671,113.55001,2020,01,17,   64.76,  0.007894,    4.75,   19.93,   15.18,   17.39
22.16671,113.55001,2020,01,18,   65.35,  0.008170,    4.39,   20.25,   15.87,   17.78
22.16671,113.55001,2020,01,19,   72.62,  0.009142,    3.05,   18.99,   15.94,   17.89
22.16671,113.55001,2020,01,20,   68.20,  0.008284,    5.02,   19.79,   14.77,   17.35
22.16671,113.55001,2020,01,21,   77.04,  0.010685,    3.13,   20.96,   17.83,   19.44
22.16671,113.55001,2020,01,22,   88.55,  0.013056,    3.04,   22.05,   19.01,   20.36
22.16671,113.55001,2020,01,23,   90.64,  0.014051,    3.18,   22.94,   19.76,   21.13
22.16671,113.55001,2020,01,24,   88.87,  0.014047,    3.01,   23.25,   20.23,   21.46
22.16671,113.55001,2020,01,25,   85.56,  0.012841,    3.71,   22.04,   18.34,   20.60
22.16671,113.55001,2020,01,26,   79.46,  0.009023,    4.44,   18.45,   14.00,   16.18
22.16671,113.55001,2020,01,27,   70.80,  0.006928,    5.04,   16.46,   11.42,   13.91
22.16671,113.55001,2020,01,28,   70.48,  0.006831,    5.26,   16.67,   11.41,   13.80
22.16671,113.55001,2020,01,29,   60.70,  0.006118,    5.83,   17.59,   11.76,   14.44
22.16671,113.55001,2020,01,30,   52.39,  0.005543,    6.33,   18.45,   12.12,   15.21
22.16671,113.55001,2020,01,31,   55.92,  0.006052,    4.34,   17.59,   13.25,   15.56
22.16671,113.55001,2020,02,01,   67.19,  0.008023,    3.58,   19.03,   15.45,   17.08
22.16671,113.55001,2020,02,02,   84.51,  0.010800,    2.37,   19.37,   17.00,   18.13
22.16671,113.55001,2020,02,03,   85.87,  0.011564,    2.48,   20.32,   17.84,   18.93
22.16671,113.55001,2020,02,04,   85.76,  0.010589,    2.75,   18.68,   15.94,   17.56
22.16671,113.55001,2020,02,05,   84.09,  0.010858,    2.10,   19.45,   17.35,   18.27
22.16671,113.55001,2020,02,06,   87.25,  0.011716,    2.35,   20.24,   17.89,   18.87
22.16671,113.55001,2020,02,07,   83.38,  0.011212,    3.38,   20.32,   16.94,   18.93
