-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2020 through 03/18/2020 
Location: Latitude  37.2692   Longitude 106.1655 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 1506.21 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
QV2M MERRA2 1/2x1/2 Specific Humidity at 2 Meters (kg kg-1) 
-END HEADER-
LAT,LON,YEAR,MO,DY,RH2M,QV2M,T2M_RANGE,T2M_MAX,T2M_MIN,T2M
37.26921,106.16551,2020,01,01,   77.60,  0.002518,   12.49,    2.78,   -9.71,   -4.33
37.26921,106.16551,2020,01,02,   66.35,  0.002074,   10.55,    0.53,  -10.02,   -4.75
37.26921,106.16551,2020,01,03,   59.09,  0.002003,    9.92,    2.47,   -7.45,   -3.70
37.26921,106.16551,2020,01,04,   72.55,  0.002792,   10.78,    3.99,   -6.78,   -2.09
37.26921,106.16551,2020,01,05,   67.76,  0.002441,    7.49,    1.23,   -6.27,   -2.97
37.26921,106.16551,2020,01,06,   84.44,  0.002348,    3.83,   -4.36,   -8.19,   -6.35
37.26921,106.16551,2020,01,07,   68.15,  0.002017,    7.29,   -0.55,   -7.85,   -5.54
37.26921,106.16551,2020,01,08,   69.30,  0.002376,   10.17,    2.63,   -7.54,   -3.62
37.26921,106.16551,2020,01,09,   82.72,  0.002414,    4.59,   -2.93,   -7.52,   -5.74
37.26921,106.16551,2020,01,10,   66.24,  0.001926,    5.73,   -2.31,   -8.04,   -5.75
37.26921,106.16551,2020,01,11,   61.55,  0.001882,   15.10,    3.61,  -11.48,   -5.14
