-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2020 through 03/18/2020 
Location: Latitude  35.7452   Longitude 95.9956 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 4296.41 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
QV2M MERRA2 1/2x1/2 Specific Humidity at 2 Meters (kg kg-1) 
-END HEADER-
LAT,LON,YEAR,MO,DY,RH2M,QV2M,T2M_RANGE,T2M_MAX,T2M_MIN,T2M
35.74521,95.99561,2020,01,01,   36.03,  0.000790,   12.42,   -6.22,  -18.64,  -13.79
35.74521,95.99561,2020,01,02,   44.83,  0.000966,   13.18,   -6.04,  -19.22,  -13.96
35.74521,95.99561,2020,01,03,   37.71,  0.000732,   12.70,   -7.84,  -20.53,  -15.25
35.74521,95.99561,2020,01,04,   60.29,  0.001271,   13.14,   -6.93,  -20.06,  -14.37
35.74521,95.99561,2020,01,05,   45.74,  0.000840,    9.87,  -10.01,  -19.88,  -16.06
35.74521,95.99561,2020,01,06,   37.25,  0.000630,    9.83,  -10.85,  -20.68,  -16.99
35.74521,95.99561,2020,01,07,   58.85,  0.001107,   15.57,   -7.50,  -23.07,  -15.74
35.74521,95.99561,2020,01,08,   60.00,  0.001330,   13.40,   -6.17,  -19.58,  -13.78
35.74521,95.99561,2020,01,09,   58.42,  0.001347,   11.24,   -6.50,  -17.75,  -13.31
35.74521,95.99561,2020,01,10,   45.78,  0.000730,    9.46,  -12.50,  -21.96,  -17.68
35.74521,95.99561,2020,01,11,   30.67,  0.000509,   14.71,   -9.61,  -24.32,  -17.20
35.74521,95.99561,2020,01,12,   31.28,  0.000680,   12.45,   -7.19,  -19.64,  -13.94
35.74521,95.99561,2020,01,13,   56.59,  0.001483,   16.94,   -2.03,  -18.97,  -11.67
35.74521,95.99561,2020,01,14,   46.26,  0.001499,   14.24,   -1.11,  -15.35,   -9.03
