-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2020 through 03/18/2020 
Location: Latitude  35.1917   Longitude 108.8701 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 1173.54 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
QV2M MERRA2 1/2x1/2 Specific Humidity at 2 Meters (kg kg-1) 
-END HEADER-
LAT,LON,YEAR,MO,DY,RH2M,QV2M,T2M_RANGE,T2M_MAX,T2M_MIN,T2M
35.19171,108.87011,2020,01,01,   72.84,  0.002494,    9.89,    2.41,   -7.48,   -3.03
35.19171,108.87011,2020,01,02,   76.70,  0.002997,   11.21,    5.25,   -5.97,   -1.22
35.19171,108.87011,2020,01,03,   72.09,  0.003279,    8.64,    5.85,   -2.79,    0.86
35.19171,108.87011,2020,01,04,   75.30,  0.003231,    5.51,    3.60,   -1.91,   -0.00
35.19171,108.87011,2020,01,05,   90.97,  0.003361,    4.81,   -0.37,   -5.18,   -2.08
35.19171,108.87011,2020,01,06,   81.44,  0.002969,    9.32,    2.98,   -6.34,   -2.24
35.19171,108.87011,2020,01,07,   77.98,  0.002646,    7.84,    1.75,   -6.09,   -3.19
35.19171,108.87011,2020,01,08,   81.56,  0.002639,    6.71,    0.53,   -6.18,   -3.81
35.19171,108.87011,2020,01,09,   86.72,  0.002965,    6.68,    0.94,   -5.74,   -3.09
35.19171,108.87011,2020,01,10,   77.95,  0.002597,    5.90,    0.10,   -5.80,   -3.42
35.19171,108.87011,2020,01,11,   74.15,  0.002465,   11.64,    2.59,   -9.05,   -3.47
35.19171,108.87011,2020,01,12,   78.98,  0.002429,    7.63,   -0.89,   -8.52,   -4.52
35.19171,108.87011,2020,01,13,   68.33,  0.001964,   10.30,    0.72,   -9.58,   -5.38
35.19171,108.87011,2020,01,14,   73.31,  0.001880,    9.64,   -2.09,  -11.73,   -6.88
35.19171,108.87011,2020,01,15,   84.60,  0.002654,    6.04,   -0.62,   -6.65,   -4.23
35.19171,108.87011,2020,01,16,   82.60,  0.002733,    8.98,    2.06,   -6.92,   -3.49
35.19171,108.87011,2020,01,17,   72.61,  0.002434,   12.12,    3.53,   -8.59,   -3.32
35.19171,108.87011,2020,01,18,   74.28,  0.002332,    7.04,   -0.80,   -7.84,   -4.18
35.19171,108.87011,2020,01,19,   60.39,  0.001974,   12.78,    2.62,  -10.16,   -3.66
35.19171,108.87011,2020,01,20,   60.89,  0.002092,   11.02,    3.12,   -7.90,   -3.02
35.19171,108.87011,2020,01,21,   77.60,  0.003035,   10.23,    4.71,   -5.51,   -1.32
35.19171,108.87011,2020,01,22,   81.19,  0.003371,    7.91,    4.04,   -3.87,   -0.49
35.19171,108.87011,2020,01,23,   78.26,  0.003039,    7.68,    2.95,   -4.73,   -1.34
35.19171,108.87011,2020,01,24,   73.98,  0.002882,    5.44,    1.57,   -3.87,   -1.22
35.19171,108.87011,2020,01,25,   83.56,  0.003248,    7.18,    2.89,   -4.29,   -1.29
35.19171,108.87011,2020,01,26,   85.20,  0.003035,    5.52,    0.23,   -5.29,   -2.51
35.19171,108.87011,2020,01,27,   77.59,  0.002666,    8.11,    1.47,   -6.64,   -3.03
35.19171,108.87011,2020,01,28,   68.59,  0.002470,   12.19,    4.07,   -8.12,   -2.39
35.19171,108.87011,2020,01,29,   59.06,  0.002176,   12.96,    5.17,   -7.79,   -2.04
35.19171,108.87011,2020,01,30,   52.70,  0.002169,   13.30,    7.13,   -6.17,   -0.56
35.19171,108.87011,2020,01,31,   60.67,  0.002741,   11.60,    6.72,   -4.88,    0.70
35.19171,108.87011,2020,02,01,   82.45,  0.003614,    4.12,    2.90,   -1.22,    0.28
35.19171,108.87011,2020,02,02,   60.99,  0.002420,    9.37,    4.31,   -5.06,   -1.02
35.19171,108.87011,2020,02,03,   59.45,  0.002344,   12.07,    5.50,   -6.56,   -1.15
35.19171,108.87011,2020,02,04,   67.85,  0.003024,   14.14,    9.11,   -5.03,    0.51
35.19171,108.87011,2020,02,05,   82.92,  0.003224,    7.86,    3.68,   -4.18,   -1.35
35.19171,108.87011,2020,02,06,   82.02,  0.002980,    8.52,    3.17,   -5.35,   -2.24
35.19171,108.87011,2020,02,07,   74.76,  0.003044,   10.28,    5.55,   -4.74,   -0.66
35.19171,108.87011,2020,02,08,   66.63,  0.002895,    9.78,    6.61,   -3.16,    0.28
35.19171,108.87011,2020,02,09,   46.01,  0.002346,   14.08,    9.53,   -4.56,    2.47
35.19171,108.87011,2020,02,10,   48.61,  0.002798,   10.57,   11.04,    0.47,    4.06
35.19171,108.87011,2020,02,11,   55.00,  0.003477,   10.33,   11.82,    1.49,    5.36
35.19171,108.87011,2020,02,12,   65.71,  0.004330,   12.69,   13.90,    1.21,    5.92
35.19171,108.87011,2020,02,13,   69.33,  0.004379,   14.14,   13.46,   -0.68,    5.26
35.19171,108.87011,2020,02,14,   52.42,  0.002041,   10.37,    3.54,   -6.83,   -1.31
35.19171,108.87011,2020,02,15,   43.01,  0.001155,    8.15,   -1.30,   -9.46,   -6.13
35.19171,108.87011,2020,02,16,   48.81,  0.001425,   13.67,    2.18,  -11.50,   -5.07
35.19171,108.87011,2020,02,17,   43.08,  0.001661,   15.23,    5.86,   -9.38,   -1.33
35.19171,108.87011,2020,02,18,   46.83,  0.002262,   10.99,    8.29,   -2.69,    1.68
35.19171,108.87011,2020,02,19,   54.34,  0.002917,   11.70,   10.76,   -0.94,    3.11
35.19171,108.87011,2020,02,20,   70.82,  0.003018,    6.22,    2.63,   -3.59,   -0.02
35.19171,108.87011,2020,02,21,   55.81,  0.002475,   13.06,    8.31,   -4.76,    0.57
35.19171,108.87011,2020,02,22,   58.75,  0.002868,   13.10,    9.32,   -3.78,    1.88
35.19171,108.87011,2020,02,23,   70.14,  0.004285,   13.53,   12.84,   -0.70,    4.91
35.19171,108.87011,2020,02,24,   68.16,  0.004770,   14.43,   15.27,    0.84,    6.80
35.19171,108.87011,2020,02,25,   62.47,  0.004059,   17.14,   15.61,   -1.53,    5.79
35.19171,108.87011,2020,02,26,   92.91,  0.005570,    6.20,    7.83,    1.62,    4.68
35.19171,108.87011,2020,02,27,   91.91,  0.004183,    4.38,    2.53,   -1.85,    0.80
35.19171,108.87011,2020,02,28,   82.97,  0.004306,   14.96,   11.69,   -3.27,    2.57
35.19171,108.87011,2020,02,29,   68.34,  0.004126,   14.92,   13.43,   -1.49,    4.71
35.19171,108.87011,2020,03,01,   53.65,  0.002865,   11.51,    9.51,   -2.00,    3.07
35.19171,108.87011,2020,03,02,   73.53,  0.003719,   10.86,    9.17,   -1.70,    2.28
35.19171,108.87011,2020,03,03,   51.52,  0.002445,   11.15,    8.37,   -2.78,    1.42
35.19171,108.87011,2020,03,04,   59.43,  0.003356,   15.60,   13.19,   -2.41,    3.83
35.19171,108.87011,2020,03,05,   80.74,  0.004436,   14.25,   11.45,   -2.81,    3.36
35.19171,108.87011,2020,03,06,   69.46,  0.004508,   14.15,   13.95,   -0.20,    5.70
35.19171,108.87011,2020,03,07,   62.40,  0.004261,   17.27,   15.01,   -2.26,    6.42
35.19171,108.87011,2020,03,08,   79.27,  0.005601,   12.46,   14.11,    1.65,    6.88
35.19171,108.87011,2020,03,09,   56.10,  0.003031,   13.06,   10.32,   -2.73,    3.19
35.19171,108.87011,2020,03,10,   45.55,  0.002340,   14.98,   10.07,   -4.91,    2.50
35.19171,108.87011,2020,03,11,   47.84,  0.003212,   14.64,   13.68,   -0.96,    6.22
35.19171,108.87011,2020,03,12,   47.50,  0.003139,   13.40,   12.94,   -0.46,    6.02
35.19171,108.87011,2020,03,13,   53.28,  0.002926,   12.28,    9.87,   -2.40,    3.52
35.19171,108.87011,2020,03,14,   43.17,  0.002403,   16.60,   12.54,   -4.06,    3.69
35.19171,108.87011,2020,03,15,   45.14,  0.002964,   16.16,   13.83,   -2.32,    6.00
35.19171,108.87011,2020,03,16,   58.60,  0.004199,   11.76,   13.61,    1.85,    7.26
35.19171,108.87011,2020,03,17,   35.60,  0.002875,   18.60,   18.18,   -0.43,    9.01
35.19171,108.87011,2020,03,18,   40.88,  0.003358,   17.87,   19.02,    1.15,    9.20
