-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2020 through 03/18/2020 
Location: Latitude  36.3427   Longitude 118.1498 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 289.64 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
QV2M MERRA2 1/2x1/2 Specific Humidity at 2 Meters (kg kg-1) 
-END HEADER-
LAT,LON,YEAR,MO,DY,RH2M,QV2M,T2M_RANGE,T2M_MAX,T2M_MIN,T2M
36.34271,118.14981,2020,01,01,   59.67,  0.002007,    9.86,    3.43,   -6.44,   -1.75
36.34271,118.14981,2020,01,02,   64.02,  0.002539,    8.15,    5.76,   -2.39,    0.49
36.34271,118.14981,2020,01,03,   59.89,  0.002585,    7.68,    6.51,   -1.16,    1.64
36.34271,118.14981,2020,01,04,   69.25,  0.003132,    9.26,    8.52,   -0.74,    2.27
36.34271,118.14981,2020,01,05,   88.30,  0.003565,    3.90,    3.03,   -0.87,    0.69
36.34271,118.14981,2020,01,06,   96.98,  0.004036,    2.98,    3.01,    0.03,    1.03
36.34271,118.14981,2020,01,07,   94.46,  0.003293,    7.70,    0.76,   -6.94,   -1.43
36.34271,118.14981,2020,01,08,   76.31,  0.001985,   11.37,    0.57,  -10.80,   -5.23
36.34271,118.14981,2020,01,09,   68.89,  0.002144,    9.14,    2.08,   -7.06,   -2.85
36.34271,118.14981,2020,01,10,   69.27,  0.002435,    7.96,    3.75,   -4.21,   -1.24
36.34271,118.14981,2020,01,11,   77.67,  0.002494,    6.93,    1.76,   -5.16,   -2.47
36.34271,118.14981,2020,01,12,   75.62,  0.002298,    8.88,    1.96,   -6.92,   -3.22
36.34271,118.14981,2020,01,13,   76.78,  0.002338,    7.85,    1.10,   -6.75,   -3.18
36.34271,118.14981,2020,01,14,   58.82,  0.001499,   10.53,    0.07,  -10.46,   -5.48
36.34271,118.14981,2020,01,15,   64.11,  0.001945,    9.40,    1.24,   -8.16,   -3.16
36.34271,118.14981,2020,01,16,   70.92,  0.002370,    4.57,    0.20,   -4.38,   -1.87
36.34271,118.14981,2020,01,17,   69.66,  0.002246,    8.76,    2.57,   -6.19,   -2.38
36.34271,118.14981,2020,01,18,   76.64,  0.002591,   11.70,    4.11,   -7.59,   -1.78
36.34271,118.14981,2020,01,19,   63.04,  0.002399,    9.49,    5.44,   -4.05,   -0.19
36.34271,118.14981,2020,01,20,   56.29,  0.002064,    9.59,    5.04,   -4.55,   -0.65
36.34271,118.14981,2020,01,21,   76.70,  0.002935,    9.57,    5.93,   -3.64,   -0.07
36.34271,118.14981,2020,01,22,   81.59,  0.003655,    7.55,    6.73,   -0.82,    2.08
36.34271,118.14981,2020,01,23,   79.21,  0.003504,   10.37,    8.88,   -1.50,    1.95
36.34271,118.14981,2020,01,24,   66.16,  0.002447,    7.21,    4.30,   -2.90,   -0.43
36.34271,118.14981,2020,01,25,   60.70,  0.002364,    8.06,    5.74,   -2.32,    0.26
36.34271,118.14981,2020,01,26,   75.72,  0.002754,    4.29,    1.60,   -2.69,   -0.73
36.34271,118.14981,2020,01,27,   71.91,  0.002714,    6.92,    4.30,   -2.62,   -0.29
36.34271,118.14981,2020,01,28,   72.84,  0.002744,    6.44,    4.01,   -2.43,   -0.33
36.34271,118.14981,2020,01,29,   80.09,  0.002782,    6.61,    1.80,   -4.80,   -1.42
36.34271,118.14981,2020,01,30,   61.61,  0.002010,   10.16,    3.86,   -6.30,   -2.26
36.34271,118.14981,2020,01,31,   64.67,  0.002558,   12.83,    8.22,   -4.60,    0.37
36.34271,118.14981,2020,02,01,   69.08,  0.002899,    9.46,    7.54,   -1.92,    1.22
36.34271,118.14981,2020,02,02,   83.99,  0.003384,   10.77,    7.40,   -3.37,    0.65
36.34271,118.14981,2020,02,03,   63.89,  0.002289,    9.60,    5.37,   -4.23,   -0.93
36.34271,118.14981,2020,02,04,   82.73,  0.003072,   12.08,    6.96,   -5.12,   -0.47
36.34271,118.14981,2020,02,05,   58.60,  0.001784,    7.55,    1.35,   -6.21,   -3.06
36.34271,118.14981,2020,02,06,   72.63,  0.002243,    5.14,    0.34,   -4.80,   -2.88
36.34271,118.14981,2020,02,07,   84.59,  0.003214,    9.58,    5.46,   -4.13,   -0.11
36.34271,118.14981,2020,02,08,   75.60,  0.003102,    9.67,    7.62,   -2.05,    0.97
36.34271,118.14981,2020,02,09,   72.27,  0.003318,   12.84,   10.55,   -2.29,    2.46
36.34271,118.14981,2020,02,10,   61.12,  0.003332,   15.75,   14.89,   -0.86,    4.82
36.34271,118.14981,2020,02,11,   81.67,  0.004724,   12.38,   13.21,    0.83,    5.65
36.34271,118.14981,2020,02,12,   75.15,  0.004894,   12.52,   15.72,    3.20,    7.32
36.34271,118.14981,2020,02,13,   80.12,  0.005809,   15.02,   17.82,    2.80,    8.85
36.34271,118.14981,2020,02,14,   95.46,  0.005927,   13.20,   11.67,   -1.54,    6.62
36.34271,118.14981,2020,02,15,   77.47,  0.002057,    6.41,   -2.31,   -8.72,   -4.98
36.34271,118.14981,2020,02,16,   70.07,  0.001480,   11.36,   -1.67,  -13.03,   -7.95
36.34271,118.14981,2020,02,17,   66.25,  0.001635,   12.48,    0.74,  -11.74,   -5.90
36.34271,118.14981,2020,02,18,   60.25,  0.002244,   14.42,    7.31,   -7.11,   -0.40
36.34271,118.14981,2020,02,19,   67.39,  0.002915,   10.37,    8.28,   -2.09,    1.62
36.34271,118.14981,2020,02,20,   66.75,  0.003450,   14.18,   11.93,   -2.25,    4.18
36.34271,118.14981,2020,02,21,   74.62,  0.003904,    8.60,   10.25,    1.64,    4.32
36.34271,118.14981,2020,02,22,   46.90,  0.002057,   11.92,    8.06,   -3.85,    1.90
36.34271,118.14981,2020,02,23,   61.80,  0.003363,   17.12,   14.12,   -3.00,    4.85
36.34271,118.14981,2020,02,24,   89.75,  0.005729,    8.76,   11.76,    3.00,    7.03
36.34271,118.14981,2020,02,25,   89.99,  0.005254,    8.08,    9.19,    1.10,    5.78
36.34271,118.14981,2020,02,26,   64.65,  0.002962,   12.96,    9.78,   -3.18,    2.48
36.34271,118.14981,2020,02,27,   60.30,  0.002661,   11.39,    7.99,   -3.40,    1.96
36.34271,118.14981,2020,02,28,   83.95,  0.003894,    8.37,    6.89,   -1.49,    2.52
36.34271,118.14981,2020,02,29,   85.62,  0.004464,    8.99,    9.10,    0.11,    4.15
36.34271,118.14981,2020,03,01,   83.55,  0.003943,    9.53,    7.12,   -2.41,    2.81
36.34271,118.14981,2020,03,02,   69.58,  0.003018,    9.77,    7.30,   -2.47,    1.67
36.34271,118.14981,2020,03,03,   60.98,  0.002816,   12.48,    9.70,   -2.78,    2.52
36.34271,118.14981,2020,03,04,   57.59,  0.002176,   12.49,    7.07,   -5.43,   -0.19
36.34271,118.14981,2020,03,05,   61.09,  0.002587,   15.73,    9.91,   -5.82,    1.33
36.34271,118.14981,2020,03,06,   72.02,  0.004045,   14.43,   13.12,   -1.32,    5.19
36.34271,118.14981,2020,03,07,   78.41,  0.004952,   11.63,   13.90,    2.27,    6.87
36.34271,118.14981,2020,03,08,   78.49,  0.005231,   12.28,   14.87,    2.58,    7.64
36.34271,118.14981,2020,03,09,   80.05,  0.004934,   10.33,   12.54,    2.21,    6.49
36.34271,118.14981,2020,03,10,   57.95,  0.003086,   12.57,   11.37,   -1.20,    4.46
36.34271,118.14981,2020,03,11,   51.77,  0.003338,   17.17,   15.70,   -1.47,    7.21
36.34271,118.14981,2020,03,12,   61.58,  0.004701,   17.26,   20.16,    2.90,    9.67
36.34271,118.14981,2020,03,13,   47.59,  0.002574,    9.09,    9.94,    0.85,    4.79
36.34271,118.14981,2020,03,14,   45.95,  0.002619,   15.33,   13.98,   -1.35,    5.45
36.34271,118.14981,2020,03,15,   44.18,  0.002854,   17.24,   17.44,    0.20,    7.26
36.34271,118.14981,2020,03,16,   60.57,  0.003853,   16.10,   15.30,   -0.80,    7.06
36.34271,118.14981,2020,03,17,   46.99,  0.004009,   16.54,   19.83,    3.28,   11.33
36.34271,118.14981,2020,03,18,   41.14,  0.004168,   18.75,   23.90,    5.15,   13.84
