-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2020 through 03/18/2020 
Location: Latitude  31.202   Longitude 121.4491 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 3.24 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
QV2M MERRA2 1/2x1/2 Specific Humidity at 2 Meters (kg kg-1) 
-END HEADER-
LAT,LON,YEAR,MO,DY,RH2M,QV2M,T2M_RANGE,T2M_MAX,T2M_MIN,T2M
31.20201,121.44911,2020,01,01,   74.16,  0.003821,    8.56,    9.01,    0.45,    4.67
31.20201,121.44911,2020,01,02,   85.61,  0.006133,    6.26,   12.44,    6.18,    9.40
31.20201,121.44911,2020,01,03,   92.61,  0.006862,    3.54,   11.96,    8.43,    9.87
31.20201,121.44911,2020,01,04,   88.81,  0.006222,    3.89,   11.30,    7.41,    9.04
31.20201,121.44911,2020,01,05,   86.34,  0.006725,    4.82,   12.37,    7.55,   10.59
31.20201,121.44911,2020,01,06,   89.62,  0.008949,    9.18,   19.84,   10.65,   14.26
31.20201,121.44911,2020,01,07,   93.54,  0.008100,   15.76,   20.25,    4.48,   12.02
31.20201,121.44911,2020,01,08,   71.60,  0.003854,    6.36,    8.65,    2.29,    5.22
31.20201,121.44911,2020,01,09,   87.06,  0.004669,    3.89,    7.03,    3.14,    5.14
31.20201,121.44911,2020,01,10,   88.93,  0.005719,    3.80,    9.90,    6.10,    7.71
31.20201,121.44911,2020,01,11,   88.09,  0.005287,    3.79,    8.03,    4.24,    6.70
