-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2020 through 03/18/2020 
Location: Latitude  37.5777   Longitude 112.2922 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 1187.49 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
QV2M MERRA2 1/2x1/2 Specific Humidity at 2 Meters (kg kg-1) 
-END HEADER-
LAT,LON,YEAR,MO,DY,RH2M,QV2M,T2M_RANGE,T2M_MAX,T2M_MIN,T2M
37.57771,112.29221,2020,01,01,   59.49,  0.001966,   14.07,    3.73,  -10.35,   -3.53
37.57771,112.29221,2020,01,02,   61.61,  0.002439,   12.08,    5.75,   -6.33,   -1.07
37.57771,112.29221,2020,01,03,   56.25,  0.002399,   11.10,    5.99,   -5.11,   -0.06
37.57771,112.29221,2020,01,04,   62.18,  0.002509,    9.15,    4.23,   -4.92,   -0.84
37.57771,112.29221,2020,01,05,   84.85,  0.002932,    4.48,   -0.69,   -5.17,   -2.97
37.57771,112.29221,2020,01,06,   84.63,  0.002880,    9.17,    1.84,   -7.33,   -3.20
37.57771,112.29221,2020,01,07,   69.48,  0.002028,    5.08,   -2.45,   -7.53,   -5.22
37.57771,112.29221,2020,01,08,   75.07,  0.002057,   11.23,    0.09,  -11.15,   -6.01
37.57771,112.29221,2020,01,09,   83.43,  0.002468,    9.81,    0.42,   -9.39,   -5.04
37.57771,112.29221,2020,01,10,   65.20,  0.001813,    9.56,    0.08,   -9.48,   -5.84
37.57771,112.29221,2020,01,11,   67.55,  0.001800,   10.46,   -0.96,  -11.42,   -6.42
37.57771,112.29221,2020,01,12,   67.55,  0.001537,   11.50,   -1.27,  -12.78,   -8.48
37.57771,112.29221,2020,01,13,   66.27,  0.001238,   11.19,   -4.12,  -15.31,  -10.95
37.57771,112.29221,2020,01,14,   53.81,  0.001065,   13.72,   -2.58,  -16.30,  -10.20
37.57771,112.29221,2020,01,15,   68.15,  0.001790,   11.00,   -0.85,  -11.86,   -6.58
37.57771,112.29221,2020,01,16,   66.60,  0.001803,    7.48,   -2.49,   -9.97,   -6.17
37.57771,112.29221,2020,01,17,   72.82,  0.001792,   11.51,   -0.27,  -11.79,   -7.42
