-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2020 through 03/18/2020 
Location: Latitude  30.6171   Longitude 102.7103 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 3005.86 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
QV2M MERRA2 1/2x1/2 Specific Humidity at 2 Meters (kg kg-1) 
-END HEADER-
LAT,LON,YEAR,MO,DY,RH2M,QV2M,T2M_RANGE,T2M_MAX,T2M_MIN,T2M
30.61711,102.71031,2020,01,01,   59.83,  0.002869,   12.56,    5.79,   -6.76,   -1.48
30.61711,102.71031,2020,01,02,   64.21,  0.003234,   12.18,    5.96,   -6.23,   -0.78
30.61711,102.71031,2020,01,03,   72.14,  0.003784,    9.51,    5.67,   -3.84,   -0.23
30.61711,102.71031,2020,01,04,   89.19,  0.004174,    5.88,    1.88,   -4.00,   -1.87
30.61711,102.71031,2020,01,05,   71.50,  0.003356,    9.40,    4.16,   -5.24,   -1.89
30.61711,102.71031,2020,01,06,   79.01,  0.003200,    8.20,    0.28,   -7.93,   -3.85
30.61711,102.71031,2020,01,07,   65.94,  0.002706,   12.38,    3.96,   -8.42,   -3.62
30.61711,102.71031,2020,01,08,   79.55,  0.003458,   10.37,    3.16,   -7.20,   -2.89
30.61711,102.71031,2020,01,09,   77.82,  0.003624,    9.22,    3.88,   -5.34,   -1.98
30.61711,102.71031,2020,01,10,   82.22,  0.003387,    7.85,    1.29,   -6.56,   -3.62
30.61711,102.71031,2020,01,11,   57.25,  0.002258,   11.03,    1.93,   -9.10,   -4.13
30.61711,102.71031,2020,01,12,   51.05,  0.002179,   11.62,    3.58,   -8.03,   -3.11
30.61711,102.71031,2020,01,13,   63.21,  0.003015,   10.79,    4.96,   -5.83,   -1.64
30.61711,102.71031,2020,01,14,   80.36,  0.003791,    9.07,    3.77,   -5.30,   -1.81
30.61711,102.71031,2020,01,15,   73.02,  0.003716,    8.95,    4.99,   -3.96,   -0.77
30.61711,102.71031,2020,01,16,   71.84,  0.003350,    9.77,    4.49,   -5.27,   -1.89
30.61711,102.71031,2020,01,17,   77.55,  0.003442,   11.27,    4.37,   -6.90,   -2.57
