-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2020 through 03/18/2020 
Location: Latitude  39.3054   Longitude 117.323 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 5.68 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
QV2M MERRA2 1/2x1/2 Specific Humidity at 2 Meters (kg kg-1) 
-END HEADER-
LAT,LON,YEAR,MO,DY,RH2M,QV2M,T2M_RANGE,T2M_MAX,T2M_MIN,T2M
39.30541,117.32301,2020,01,01,   45.15,  0.001161,   10.72,    0.02,  -10.70,   -4.87
39.30541,117.32301,2020,01,02,   45.50,  0.001404,   10.60,    2.31,   -8.29,   -2.44
39.30541,117.32301,2020,01,03,   54.69,  0.001800,   11.68,    4.72,   -6.96,   -1.61
39.30541,117.32301,2020,01,04,   64.78,  0.002195,   11.35,    5.29,   -6.06,   -1.22
39.30541,117.32301,2020,01,05,   90.08,  0.003020,    6.97,    2.08,   -4.90,   -1.34
39.30541,117.32301,2020,01,06,   86.00,  0.003164,    7.66,    3.87,   -3.78,   -0.14
39.30541,117.32301,2020,01,07,   60.20,  0.002089,    3.64,    0.49,   -3.15,   -0.94
39.30541,117.32301,2020,01,08,   57.04,  0.001677,   11.01,    2.86,   -8.16,   -3.12
39.30541,117.32301,2020,01,09,   61.96,  0.001947,   11.44,    3.88,   -7.56,   -2.25
39.30541,117.32301,2020,01,10,   57.52,  0.001970,    9.69,    4.17,   -5.52,   -1.10
39.30541,117.32301,2020,01,11,   51.74,  0.001444,    6.00,   -1.50,   -7.50,   -3.85
