-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2020 through 03/18/2020 
Location: Latitude  41.1129   Longitude 85.2401 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 911.85 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
QV2M MERRA2 1/2x1/2 Specific Humidity at 2 Meters (kg kg-1) 
-END HEADER-
LAT,LON,YEAR,MO,DY,RH2M,QV2M,T2M_RANGE,T2M_MAX,T2M_MIN,T2M
41.11291,85.24011,2020,01,01,   46.46,  0.001381,    8.82,    0.66,   -8.16,   -4.49
41.11291,85.24011,2020,01,02,   53.19,  0.001450,    8.46,   -0.19,   -8.65,   -5.59
41.11291,85.24011,2020,01,03,   61.66,  0.001504,    9.13,   -2.05,  -11.18,   -7.09
41.11291,85.24011,2020,01,04,   56.00,  0.001498,    9.07,   -0.71,   -9.78,   -5.92
41.11291,85.24011,2020,01,05,   50.53,  0.001392,    7.50,   -1.35,   -8.85,   -5.50
41.11291,85.24011,2020,01,06,   52.23,  0.001294,    8.88,   -1.66,  -10.53,   -6.90
41.11291,85.24011,2020,01,07,   52.15,  0.001366,    7.88,   -1.80,   -9.68,   -6.18
41.11291,85.24011,2020,01,08,   46.84,  0.001290,    6.12,   -2.16,   -8.28,   -5.50
41.11291,85.24011,2020,01,09,   49.98,  0.001300,    7.42,   -2.06,   -9.48,   -6.24
41.11291,85.24011,2020,01,10,   61.67,  0.001606,    9.97,   -0.87,  -10.83,   -6.25
41.11291,85.24011,2020,01,11,   64.34,  0.001741,    8.76,   -0.27,   -9.03,   -5.75
41.11291,85.24011,2020,01,12,   61.73,  0.001662,    9.36,   -1.00,  -10.36,   -5.84
41.11291,85.24011,2020,01,13,   53.34,  0.001507,    6.61,   -1.25,   -7.86,   -5.28
41.11291,85.24011,2020,01,14,   46.16,  0.001372,    6.21,   -0.96,   -7.17,   -4.60
41.11291,85.24011,2020,01,15,   60.96,  0.001940,    9.26,    1.40,   -7.86,   -3.58
41.11291,85.24011,2020,01,16,   60.55,  0.001892,    8.94,    1.35,   -7.59,   -3.80
41.11291,85.24011,2020,01,17,   72.76,  0.002100,    5.27,   -1.36,   -6.63,   -4.80
41.11291,85.24011,2020,01,18,   74.83,  0.002054,    7.83,   -0.72,   -8.55,   -5.43
41.11291,85.24011,2020,01,19,   68.62,  0.001791,   10.41,    0.09,  -10.32,   -6.19
41.11291,85.24011,2020,01,20,   59.08,  0.001557,   10.31,   -0.51,  -10.83,   -6.13
41.11291,85.24011,2020,01,21,   52.86,  0.001473,    9.67,   -0.08,   -9.75,   -5.39
41.11291,85.24011,2020,01,22,   48.42,  0.001482,    7.89,    0.27,   -7.62,   -4.12
41.11291,85.24011,2020,01,23,   61.14,  0.001784,    4.23,   -2.30,   -6.53,   -4.68
41.11291,85.24011,2020,01,24,   66.72,  0.001868,    8.43,   -0.71,   -9.14,   -5.24
41.11291,85.24011,2020,01,25,   57.02,  0.001747,    9.37,    1.19,   -8.18,   -4.12
41.11291,85.24011,2020,01,26,   44.96,  0.001391,   10.50,    1.85,   -8.65,   -3.99
41.11291,85.24011,2020,01,27,   45.42,  0.001385,   10.37,    1.47,   -8.90,   -4.18
41.11291,85.24011,2020,01,28,   46.56,  0.001431,   11.76,    1.73,  -10.03,   -4.05
41.11291,85.24011,2020,01,29,   43.42,  0.001446,   10.81,    2.59,   -8.23,   -2.95
41.11291,85.24011,2020,01,30,   44.84,  0.001489,    9.81,    1.91,   -7.90,   -3.01
41.11291,85.24011,2020,01,31,   56.48,  0.001843,    9.95,    1.95,   -8.00,   -3.26
