-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2020 through 03/18/2020 
Location: Latitude  24.974   Longitude 101.487 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 1828.71 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
QV2M MERRA2 1/2x1/2 Specific Humidity at 2 Meters (kg kg-1) 
-END HEADER-
LAT,LON,YEAR,MO,DY,RH2M,QV2M,T2M_RANGE,T2M_MAX,T2M_MIN,T2M
24.97401,101.48701,2020,01,01,   76.67,  0.007798,   11.82,   18.40,    6.58,   11.31
24.97401,101.48701,2020,01,02,   75.22,  0.007819,   13.75,   19.76,    6.01,   11.63
24.97401,101.48701,2020,01,03,   78.55,  0.008385,   11.47,   18.70,    7.23,   12.00
24.97401,101.48701,2020,01,04,   89.77,  0.009369,    7.69,   16.34,    8.65,   11.58
24.97401,101.48701,2020,01,05,   84.99,  0.009459,    8.03,   17.01,    8.97,   12.51
24.97401,101.48701,2020,01,06,   73.48,  0.007650,   10.65,   16.91,    6.26,   11.53
24.97401,101.48701,2020,01,07,   64.60,  0.006009,   17.34,   18.60,    1.26,    9.89
24.97401,101.48701,2020,01,08,   71.95,  0.007427,   13.53,   19.37,    5.84,   11.43
24.97401,101.48701,2020,01,09,   68.65,  0.007007,   13.40,   19.43,    6.03,   11.26
24.97401,101.48701,2020,01,10,   72.62,  0.007111,   13.13,   18.36,    5.23,   10.61
24.97401,101.48701,2020,01,11,   60.82,  0.005791,   12.36,   17.70,    5.34,   10.22
24.97401,101.48701,2020,01,12,   45.83,  0.004332,   17.47,   20.04,    2.57,   10.11
24.97401,101.48701,2020,01,13,   58.56,  0.005410,   16.83,   19.25,    2.41,    9.73
24.97401,101.48701,2020,01,14,   62.61,  0.006119,   15.59,   19.84,    4.25,   10.57
24.97401,101.48701,2020,01,15,   65.05,  0.006081,   15.42,   18.99,    3.57,    9.92
24.97401,101.48701,2020,01,16,   61.94,  0.005876,   15.49,   19.50,    4.01,   10.16
24.97401,101.48701,2020,01,17,   58.56,  0.005542,   16.42,   19.85,    3.43,   10.15
24.97401,101.48701,2020,01,18,   55.40,  0.005145,   16.89,   19.57,    2.67,    9.85
24.97401,101.48701,2020,01,19,   50.26,  0.004790,   15.62,   19.56,    3.94,   10.25
24.97401,101.48701,2020,01,20,   49.54,  0.004782,   14.38,   19.27,    4.89,   10.44
24.97401,101.48701,2020,01,21,   55.40,  0.005298,   15.66,   19.09,    3.43,   10.30
24.97401,101.48701,2020,01,22,   52.71,  0.005117,   15.47,   19.68,    4.21,   10.52
24.97401,101.48701,2020,01,23,   46.88,  0.004425,   15.14,   19.05,    3.91,   10.08
24.97401,101.48701,2020,01,24,   52.48,  0.004901,   13.47,   17.80,    4.33,    9.91
24.97401,101.48701,2020,01,25,   56.07,  0.004726,   11.35,   14.02,    2.68,    8.39
24.97401,101.48701,2020,01,26,   53.81,  0.004044,   15.96,   15.69,   -0.27,    6.71
24.97401,101.48701,2020,01,27,   45.37,  0.003769,   14.13,   16.64,    2.51,    8.13
24.97401,101.48701,2020,01,28,   53.05,  0.004463,   12.30,   15.55,    3.25,    8.34
24.97401,101.48701,2020,01,29,   59.34,  0.005072,   12.48,   15.91,    3.43,    8.62
24.97401,101.48701,2020,01,30,   68.43,  0.005610,   13.87,   15.74,    1.87,    7.99
24.97401,101.48701,2020,01,31,   82.00,  0.007145,   11.33,   15.67,    4.34,    8.86
24.97401,101.48701,2020,02,01,   77.31,  0.006767,   10.89,   16.02,    5.13,    8.95
24.97401,101.48701,2020,02,02,   72.60,  0.006646,   12.87,   16.95,    4.08,    9.63
24.97401,101.48701,2020,02,03,   66.59,  0.006170,   11.54,   16.51,    4.97,    9.80
24.97401,101.48701,2020,02,04,   54.81,  0.005077,   14.22,   18.01,    3.79,    9.81
24.97401,101.48701,2020,02,05,   58.40,  0.005365,   13.74,   17.76,    4.02,    9.65
24.97401,101.48701,2020,02,06,   66.73,  0.006013,   14.29,   17.10,    2.81,    9.39
24.97401,101.48701,2020,02,07,   65.92,  0.006594,   13.16,   18.34,    5.17,   10.98
24.97401,101.48701,2020,02,08,   74.99,  0.008085,   12.79,   18.76,    5.98,   12.13
24.97401,101.48701,2020,02,09,   91.28,  0.009459,    5.35,   14.56,    9.21,   11.51
24.97401,101.48701,2020,02,10,   79.39,  0.008406,    9.95,   17.62,    7.67,   11.79
24.97401,101.48701,2020,02,11,   65.89,  0.006334,   13.90,   18.19,    4.28,   10.37
24.97401,101.48701,2020,02,12,   63.25,  0.006032,   13.16,   18.00,    4.84,   10.24
24.97401,101.48701,2020,02,13,   63.03,  0.005971,   15.06,   18.54,    3.49,   10.10
24.97401,101.48701,2020,02,14,   66.30,  0.006781,   14.28,   19.04,    4.76,   11.20
24.97401,101.48701,2020,02,15,   70.89,  0.007551,   11.96,   18.07,    6.11,   11.85
24.97401,101.48701,2020,02,16,   73.60,  0.006672,   12.10,   15.85,    3.75,    9.51
24.97401,101.48701,2020,02,17,   83.61,  0.007491,    9.85,   14.24,    4.39,    9.36
24.97401,101.48701,2020,02,18,   87.78,  0.007779,    9.71,   15.14,    5.42,    9.17
24.97401,101.48701,2020,02,19,   68.53,  0.006888,   13.54,   19.40,    5.87,   11.06
24.97401,101.48701,2020,02,20,   59.66,  0.006495,   15.06,   20.47,    5.41,   12.28
24.97401,101.48701,2020,02,21,   59.20,  0.006998,   15.27,   21.93,    6.66,   13.59
24.97401,101.48701,2020,02,22,   76.71,  0.009380,   12.00,   21.36,    9.36,   14.10
24.97401,101.48701,2020,02,23,   85.53,  0.009480,    9.19,   18.27,    9.08,   12.55
24.97401,101.48701,2020,02,24,   74.37,  0.008588,   10.79,   19.77,    8.99,   13.13
24.97401,101.48701,2020,02,25,   71.43,  0.007936,   12.86,   19.89,    7.03,   12.55
24.97401,101.48701,2020,02,26,   69.79,  0.008541,   12.75,   20.87,    8.12,   14.04
24.97401,101.48701,2020,02,27,   75.08,  0.009506,   10.14,   20.48,   10.34,   14.52
24.97401,101.48701,2020,02,28,   69.82,  0.008172,   10.55,   19.18,    8.63,   13.31
24.97401,101.48701,2020,02,29,   62.96,  0.007249,   14.66,   21.43,    6.76,   13.06
24.97401,101.48701,2020,03,01,   55.47,  0.006658,   16.07,   22.77,    6.70,   13.71
24.97401,101.48701,2020,03,02,   59.37,  0.007130,   14.58,   21.83,    7.25,   13.71
24.97401,101.48701,2020,03,03,   70.27,  0.008051,   10.78,   19.19,    8.41,   12.98
24.97401,101.48701,2020,03,04,   65.73,  0.007636,   12.24,   20.27,    8.02,   13.21
24.97401,101.48701,2020,03,05,   67.57,  0.007863,   12.00,   19.79,    7.80,   13.22
24.97401,101.48701,2020,03,06,   69.00,  0.007733,   12.64,   19.93,    7.29,   12.65
24.97401,101.48701,2020,03,07,   68.46,  0.007805,   14.67,   21.13,    6.45,   12.90
24.97401,101.48701,2020,03,08,   65.31,  0.007421,   13.41,   20.01,    6.60,   12.81
24.97401,101.48701,2020,03,09,   61.21,  0.007115,   15.67,   21.43,    5.76,   13.16
24.97401,101.48701,2020,03,10,   53.43,  0.006563,   13.99,   22.25,    8.27,   14.05
24.97401,101.48701,2020,03,11,   54.19,  0.006725,   15.87,   23.07,    7.19,   14.20
