-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2020 through 03/18/2020 
Location: Latitude  29.1832   Longitude 120.0934 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 291.18 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
QV2M MERRA2 1/2x1/2 Specific Humidity at 2 Meters (kg kg-1) 
-END HEADER-
LAT,LON,YEAR,MO,DY,RH2M,QV2M,T2M_RANGE,T2M_MAX,T2M_MIN,T2M
29.18321,120.09341,2020,01,01,   77.81,  0.004025,   15.55,   12.69,   -2.86,    4.20
29.18321,120.09341,2020,01,02,   88.97,  0.006049,    9.90,   13.65,    3.75,    8.10
29.18321,120.09341,2020,01,03,   93.87,  0.006858,    6.07,   12.91,    6.84,    9.14
29.18321,120.09341,2020,01,04,   91.86,  0.006813,    6.41,   13.19,    6.78,    9.34
29.18321,120.09341,2020,01,05,   91.68,  0.007805,    9.10,   17.00,    7.91,   11.39
29.18321,120.09341,2020,01,06,   90.92,  0.009815,   13.66,   22.51,    8.85,   14.94
29.18321,120.09341,2020,01,07,   87.58,  0.008721,   18.25,   23.20,    4.95,   13.65
29.18321,120.09341,2020,01,08,   77.48,  0.004157,   10.25,   10.75,    0.49,    4.66
29.18321,120.09341,2020,01,09,   84.59,  0.004431,   11.29,    9.77,   -1.53,    4.28
29.18321,120.09341,2020,01,10,   93.86,  0.006227,    6.53,   11.26,    4.73,    7.63
29.18321,120.09341,2020,01,11,   92.71,  0.005457,    4.12,    7.84,    3.73,    5.90
29.18321,120.09341,2020,01,12,   78.55,  0.004054,    9.90,    9.81,   -0.09,    4.07
29.18321,120.09341,2020,01,13,   76.12,  0.003952,   13.46,   11.49,   -1.97,    4.15
29.18321,120.09341,2020,01,14,   82.56,  0.004228,    8.71,    9.23,    0.52,    3.99
29.18321,120.09341,2020,01,15,   91.55,  0.004497,    4.96,    5.53,    0.56,    3.39
29.18321,120.09341,2020,01,16,   95.42,  0.005285,    4.30,    7.65,    3.35,    5.06
29.18321,120.09341,2020,01,17,   87.72,  0.004432,    7.27,    7.76,    0.50,    3.80
29.18321,120.09341,2020,01,18,   82.02,  0.003855,    8.83,    8.43,   -0.41,    2.77
29.18321,120.09341,2020,01,19,   73.60,  0.003904,    9.90,    9.99,    0.10,    4.47
29.18321,120.09341,2020,01,20,   72.43,  0.003936,   12.22,   11.83,   -0.39,    4.84
29.18321,120.09341,2020,01,21,   82.36,  0.005133,   14.17,   13.62,   -0.55,    6.80
29.18321,120.09341,2020,01,22,   86.47,  0.007422,   13.39,   19.60,    6.21,   11.45
29.18321,120.09341,2020,01,23,   90.91,  0.006674,    5.71,   12.67,    6.95,    9.14
29.18321,120.09341,2020,01,24,   93.07,  0.006037,    3.39,    9.59,    6.19,    7.38
29.18321,120.09341,2020,01,25,   93.86,  0.005415,    2.96,    6.90,    3.94,    5.67
29.18321,120.09341,2020,01,26,   95.96,  0.005908,    6.23,    9.84,    3.61,    6.53
29.18321,120.09341,2020,01,27,   90.75,  0.004507,    6.47,    6.81,    0.33,    3.47
29.18321,120.09341,2020,01,28,   84.28,  0.004050,    8.14,    8.00,   -0.14,    3.04
29.18321,120.09341,2020,01,29,   74.81,  0.003541,   11.43,    9.44,   -1.98,    2.85
29.18321,120.09341,2020,01,30,   75.94,  0.003551,   11.56,    9.47,   -2.09,    2.68
29.18321,120.09341,2020,01,31,   66.83,  0.003199,   12.71,   10.51,   -2.20,    3.04
29.18321,120.09341,2020,02,01,   61.48,  0.003250,   13.39,   12.73,   -0.66,    4.46
29.18321,120.09341,2020,02,02,   76.69,  0.004765,   14.62,   14.77,    0.16,    6.76
29.18321,120.09341,2020,02,03,   82.52,  0.005049,    6.85,   10.59,    3.74,    6.55
29.18321,120.09341,2020,02,04,   89.60,  0.005495,    6.08,   10.24,    4.16,    6.56
29.18321,120.09341,2020,02,05,   76.16,  0.004554,   10.10,   12.71,    2.60,    6.24
29.18321,120.09341,2020,02,06,   90.96,  0.004747,    7.23,    8.31,    1.08,    4.27
29.18321,120.09341,2020,02,07,   93.75,  0.004943,    6.30,    7.65,    1.35,    4.42
29.18321,120.09341,2020,02,08,   86.61,  0.004642,    8.01,    9.63,    1.62,    4.70
29.18321,120.09341,2020,02,09,   76.90,  0.004271,   10.72,   11.49,    0.77,    5.21
29.18321,120.09341,2020,02,10,   75.41,  0.004884,   15.36,   15.30,   -0.06,    7.36
29.18321,120.09341,2020,02,11,   89.15,  0.007371,   10.07,   16.52,    6.45,   10.91
29.18321,120.09341,2020,02,12,   88.38,  0.008906,   10.28,   19.82,    9.54,   13.86
29.18321,120.09341,2020,02,13,   92.92,  0.009567,   11.70,   20.58,    8.87,   14.15
29.18321,120.09341,2020,02,14,   92.20,  0.010336,   10.45,   21.33,   10.89,   15.45
29.18321,120.09341,2020,02,15,   98.70,  0.007117,   15.09,   15.67,    0.58,    8.83
29.18321,120.09341,2020,02,16,   74.19,  0.002737,    7.54,    3.23,   -4.31,   -0.55
29.18321,120.09341,2020,02,17,   67.10,  0.002609,   13.98,    7.40,   -6.58,    0.22
29.18321,120.09341,2020,02,18,   63.63,  0.002909,   13.18,    9.88,   -3.29,    2.47
29.18321,120.09341,2020,02,19,   67.99,  0.003965,   16.96,   14.09,   -2.87,    5.87
29.18321,120.09341,2020,02,20,   69.65,  0.005091,   12.71,   16.83,    4.12,    9.20
29.18321,120.09341,2020,02,21,   82.11,  0.006584,   16.82,   19.84,    3.02,   10.57
29.18321,120.09341,2020,02,22,   74.34,  0.005834,   11.77,   17.00,    5.23,   10.28
29.18321,120.09341,2020,02,23,   78.08,  0.006078,   15.07,   18.32,    3.25,   10.11
29.18321,120.09341,2020,02,24,   78.09,  0.008200,   16.86,   23.55,    6.69,   14.54
29.18321,120.09341,2020,02,25,   82.68,  0.010540,   12.17,   24.23,   12.06,   17.51
29.18321,120.09341,2020,02,26,   91.11,  0.007560,    6.66,   14.07,    7.41,   10.99
29.18321,120.09341,2020,02,27,   84.27,  0.006410,    8.54,   14.90,    6.36,    9.73
29.18321,120.09341,2020,02,28,   88.69,  0.008550,   14.00,   20.64,    6.64,   13.18
29.18321,120.09341,2020,02,29,   89.72,  0.008764,    8.33,   18.60,   10.27,   13.34
29.18321,120.09341,2020,03,01,   88.30,  0.007104,    6.57,   13.90,    7.32,   10.46
29.18321,120.09341,2020,03,02,   79.82,  0.005917,    8.93,   14.62,    5.70,    9.33
29.18321,120.09341,2020,03,03,   89.15,  0.006244,    6.59,   12.12,    5.53,    8.47
29.18321,120.09341,2020,03,04,   87.08,  0.005662,    4.73,    9.90,    5.17,    7.42
29.18321,120.09341,2020,03,05,   73.65,  0.004684,   10.32,   13.34,    3.02,    7.11
29.18321,120.09341,2020,03,06,   89.38,  0.006122,   12.17,   13.75,    1.57,    8.08
29.18321,120.09341,2020,03,07,   90.21,  0.008016,    9.97,   16.81,    6.84,   11.90
29.18321,120.09341,2020,03,08,   91.12,  0.007955,    7.50,   15.78,    8.28,   11.61
29.18321,120.09341,2020,03,09,   90.23,  0.009338,    7.66,   18.26,   10.60,   14.10
29.18321,120.09341,2020,03,10,   81.19,  0.006489,    7.71,   14.43,    6.72,   10.36
29.18321,120.09341,2020,03,11,   76.41,  0.006169,   11.90,   17.13,    5.23,   10.56
29.18321,120.09341,2020,03,12,   86.99,  0.007476,   10.36,   16.83,    6.47,   11.45
29.18321,120.09341,2020,03,13,   90.13,  0.008144,    7.08,   16.25,    9.17,   12.22
29.18321,120.09341,2020,03,14,   77.85,  0.005883,    7.29,   13.84,    6.55,    9.59
