LAT,LON,YEAR,MO,DY,RH2M,QV2M,T2M_MAX,T2M_MIN,T2M,T2M_RANGE
42.35121,13.39841,2020,1,1,76.37,0.003878,9.63,-0.13,2.98,9.76
42.35121,13.39841,2020,1,2,62.24,0.003142,8.88,-1.32,2.92,10.2
42.35121,13.39841,2020,1,3,54.3,0.003172,9.21,2.06,4.95,7.15
42.35121,13.39841,2020,1,4,88.76,0.00472,8.56,0.42,3.54,8.14
42.35121,13.39841,2020,1,5,76.92,0.003475,6.37,-2.77,1.3,9.14
42.35121,13.39841,2020,1,6,67.65,0.002512,3.21,-3.4,-1.37,6.6
42.35121,13.39841,2020,1,7,69.24,0.003168,7.29,-2.46,1.47,9.74
42.35121,13.39841,2020,1,8,83.15,0.003983,7.78,-0.99,2.13,8.77
42.35121,13.39841,2020,1,9,62.4,0.003365,8.46,1.2,3.81,7.27
42.35121,13.39841,2020,1,10,67.45,0.0036,8.36,1.17,3.63,7.19
42.35121,13.39841,2020,1,11,88.64,0.00422,7.42,-1.13,2.01,8.56
42.35121,13.39841,2020,1,12,87.55,0.004265,7.82,-0.66,2.34,8.48
42.35121,13.39841,2020,1,13,78.87,0.003982,7.85,-0.6,2.83,8.45
42.35121,13.39841,2020,1,14,83.75,0.004391,7.85,0.92,3.37,6.93
42.35121,13.39841,2020,1,15,78.91,0.004144,8.53,0.56,3.44,7.97
42.35121,13.39841,2020,1,16,80.27,0.004133,7.67,0.48,3.16,7.19
42.35121,13.39841,2020,1,17,80.09,0.004313,8.24,1.62,3.76,6.62
42.35121,13.39841,2020,1,18,97.74,0.00493,5.41,1.32,2.76,4.1
42.35121,13.39841,2020,1,19,88.01,0.00422,6.55,-0.99,2.08,7.54
42.35121,13.39841,2020,1,20,84.46,0.003853,4.51,0.22,1.53,4.29
42.35121,13.39841,2020,1,21,81.93,0.004228,9.36,-0.53,3.32,9.89
42.35121,13.39841,2020,1,22,80.39,0.004776,10.37,2.41,5.26,7.96
42.35121,13.39841,2020,1,23,80.88,0.004788,10.75,2.21,5.14,8.55
42.35121,13.39841,2020,1,24,89.58,0.005112,9.56,1.11,4.58,8.45
42.35121,13.39841,2020,1,25,96.34,0.005788,8.84,2.51,5.27,6.33
42.35121,13.39841,2020,1,26,93.65,0.005234,8.46,1.79,4.19,6.67
42.35121,13.39841,2020,1,27,92.66,0.005172,8.47,1.29,4.18,7.18
42.35121,13.39841,2020,1,28,96.31,0.006272,7.77,4.19,6.31,3.58
42.35121,13.39841,2020,1,29,91.87,0.005592,8.46,2.77,5.33,5.68
42.35121,13.39841,2020,1,30,80.91,0.004789,11.63,0.43,5.03,11.2
42.35121,13.39841,2020,1,31,96.24,0.005728,7.75,2.91,5.11,4.85
42.35121,13.39841,2020,2,1,96.12,0.006512,9.82,4.93,6.97,4.89
42.35121,13.39841,2020,2,2,94.68,0.006892,11.74,6.22,8.03,5.52
42.35121,13.39841,2020,2,3,93.28,0.006964,13.41,5.14,8.38,8.27
42.35121,13.39841,2020,2,4,92.51,0.006138,11.17,2.26,6.51,8.91
42.35121,13.39841,2020,2,5,72.33,0.003261,4.44,-2.19,1.1,6.63
42.35121,13.39841,2020,2,6,65.57,0.002472,2.45,-3.23,-1.22,5.68
42.35121,13.39841,2020,2,7,54.55,0.002623,8.28,-2.86,2.18,11.14
42.35121,13.39841,2020,2,8,54.71,0.002964,8.89,0.57,3.88,8.31
42.35121,13.39841,2020,2,9,77.4,0.004177,8.72,0.77,3.85,7.94
42.35121,13.39841,2020,2,10,97.07,0.006363,7.89,3.57,6.53,4.31
