LAT,LON,YEAR,MO,DY,RH2M,QV2M,T2M_MAX,T2M_MIN,T2M,T2M_RANGE
40.63951,15.80511,2020,1,1,88.78,0.004545,10.72,-0.42,3.54,11.13
40.63951,15.80511,2020,1,2,76.48,0.003745,9.88,-1.03,2.95,10.91
40.63951,15.80511,2020,1,3,82.58,0.004382,11.58,0.39,4.04,11.2
40.63951,15.80511,2020,1,4,95.13,0.005083,8.96,0.49,4.07,8.47
40.63951,15.80511,2020,1,5,73.41,0.003837,9.09,0.27,3.78,8.83
40.63951,15.80511,2020,1,6,68.73,0.002783,4.1,-2.71,0.25,6.82
40.63951,15.80511,2020,1,7,73.8,0.003452,8.8,-2.76,2.23,11.55
40.63951,15.80511,2020,1,8,74.99,0.003845,9.92,-0.34,3.56,10.27
40.63951,15.80511,2020,1,9,84.09,0.004428,10.84,0.3,3.94,10.54
40.63951,15.80511,2020,1,10,85.21,0.004278,9.43,-0.61,3.23,10.04
40.63951,15.80511,2020,1,11,92.57,0.005141,9.71,0.52,4.65,9.19
40.63951,15.80511,2020,1,12,85.68,0.005121,10.81,2.55,5.7,8.26
40.63951,15.80511,2020,1,13,85.4,0.004779,10.89,1.18,4.77,9.71
40.63951,15.80511,2020,1,14,74.33,0.004476,12.53,1.34,5.83,11.18
40.63951,15.80511,2020,1,15,75.29,0.004546,12.44,1.71,5.9,10.73
40.63951,15.80511,2020,1,16,87.41,0.004826,11.01,0.35,4.62,10.66
40.63951,15.80511,2020,1,17,82.71,0.004746,11.65,0.51,5.13,11.14
40.63951,15.80511,2020,1,18,97.8,0.005509,9.62,0.29,4.81,9.33
40.63951,15.80511,2020,1,19,91.42,0.005276,9.84,2.66,5.17,7.18
40.63951,15.80511,2020,1,20,88.48,0.004784,7.96,2.08,4.4,5.89
40.63951,15.80511,2020,1,21,79.73,0.004377,11.23,0.69,4.67,10.55
40.63951,15.80511,2020,1,22,85.44,0.005029,12.38,1.28,5.6,11.09
40.63951,15.80511,2020,1,23,85.42,0.005058,12.19,1.4,5.63,10.79
40.63951,15.80511,2020,1,24,83.2,0.005029,13.08,1.42,5.9,11.66
40.63951,15.80511,2020,1,25,90.98,0.0063,13.28,3.25,7.83,10.03
40.63951,15.80511,2020,1,26,91.62,0.006556,12.2,5.59,8.24,6.61
40.63951,15.80511,2020,1,27,84.82,0.005729,12.62,4.47,7.4,8.16
40.63951,15.80511,2020,1,28,86.88,0.006396,11.99,5.66,8.62,6.33
40.63951,15.80511,2020,1,29,85.47,0.006415,12.35,6.61,8.86,5.75
40.63951,15.80511,2020,1,30,78.7,0.005328,13.51,3.36,7.45,10.16
40.63951,15.80511,2020,1,31,89.34,0.005964,12.73,3.82,7.25,8.91
40.63951,15.80511,2020,2,1,91.07,0.006687,13.75,5.07,8.64,8.68
40.63951,15.80511,2020,2,2,87.41,0.006964,15.3,6.66,9.86,8.64
40.63951,15.80511,2020,2,3,91.2,0.00733,14.66,7.62,9.95,7.04
40.63951,15.80511,2020,2,4,91.13,0.007164,12.73,4.44,9.46,8.29
40.63951,15.80511,2020,2,5,71.93,0.003796,5.56,2.47,3.7,3.09
40.63951,15.80511,2020,2,6,58.85,0.002583,4.78,-2.35,1.3,7.13
40.63951,15.80511,2020,2,7,70.98,0.003452,10.01,-2.31,2.79,12.32
40.63951,15.80511,2020,2,8,65.66,0.003733,11.93,-0.35,5.04,12.28
40.63951,15.80511,2020,2,9,70.39,0.004073,12.62,0.67,5.33,11.95
40.63951,15.80511,2020,2,10,93.41,0.00641,10.23,3.22,7.69,7.01
40.63951,15.80511,2020,2,11,87.04,0.007269,14.21,8.84,10.46,5.36
40.63951,15.80511,2020,2,12,84.33,0.006862,14.45,5.97,10.12,8.48
40.63951,15.80511,2020,2,13,81.02,0.005589,14.11,3.32,7.74,10.79
40.63951,15.80511,2020,2,14,87.18,0.006187,12.45,4.88,8.09,7.57
40.63951,15.80511,2020,2,15,72.25,0.004463,12.04,2.45,6.19,9.59
40.63951,15.80511,2020,2,16,59.84,0.003749,13.48,1.54,6.46,11.93
40.63951,15.80511,2020,2,17,76.59,0.00494,14.52,1.12,6.84,13.39
40.63951,15.80511,2020,2,18,77.21,0.005135,14.46,2.73,7.23,11.73
40.63951,15.80511,2020,2,19,84.18,0.005756,13.75,3.32,7.58,10.43
40.63951,15.80511,2020,2,20,74.45,0.004365,9.85,-0.27,5.38,10.13
40.63951,15.80511,2020,2,21,69.08,0.003928,13.21,-0.66,4.99,13.88
40.63951,15.80511,2020,2,22,64.01,0.003309,9.64,-0.41,3.71,10.05
40.63951,15.80511,2020,2,23,72.11,0.004827,15.74,0.79,7.4,14.96
40.63951,15.80511,2020,2,24,76.68,0.006243,17.05,5.69,10.19,11.36
40.63951,15.80511,2020,2,25,79.28,0.005854,14.43,5.44,8.64,9
40.63951,15.80511,2020,2,26,82.56,0.00614,13.15,5.5,8.6,7.66
40.63951,15.80511,2020,2,27,66.51,0.003834,9.42,1.83,5,7.59
40.63951,15.80511,2020,2,28,74.59,0.005077,12.42,1.61,7.44,10.81
40.63951,15.80511,2020,2,29,69.35,0.004151,12.8,0.48,5.66,12.32
40.63951,15.80511,2020,3,1,80.56,0.006185,15.04,2.92,9.18,12.11
40.63951,15.80511,2020,3,2,75.3,0.00632,15.2,7.02,10.45,8.18
40.63951,15.80511,2020,3,3,78.04,0.005844,11.83,3.36,8.69,8.47
40.63951,15.80511,2020,3,4,81.63,0.005076,10.5,2.28,6.03,8.22
40.63951,15.80511,2020,3,5,78.49,0.005351,13.34,3.95,7.41,9.39
40.63951,15.80511,2020,3,6,83.92,0.006346,13.5,4.61,8.83,8.89
40.63951,15.80511,2020,3,7,87.49,0.005683,10.06,3.8,6.66,6.26
40.63951,15.80511,2020,3,8,76.38,0.004688,10.77,0.87,5.96,9.9
40.63951,15.80511,2020,3,9,65.3,0.003867,12.2,-0.42,5.41,12.62
40.63951,15.80511,2020,3,10,72.65,0.004387,12.58,-0.61,5.72,13.19
40.63951,15.80511,2020,3,11,61.5,0.004413,14.66,2.44,8.32,12.21
40.63951,15.80511,2020,3,12,65.23,0.005644,19.95,5.03,11.12,14.91
40.63951,15.80511,2020,3,13,65.44,0.005741,19.25,4.91,11.24,14.34
