LAT,LON,YEAR,MO,DY,RH2M,QV2M,T2M_MAX,T2M_MIN,T2M,T2M_RANGE
38.90601,16.59441,2020,1,1,73.47,0.005796,13.9,7.55,10.47,6.35
38.90601,16.59441,2020,1,2,69.93,0.005293,12.36,8.5,9.89,3.86
38.90601,16.59441,2020,1,3,70.63,0.005416,13.67,7.91,10.06,5.76
38.90601,16.59441,2020,1,4,80.84,0.006702,14.1,8.58,11.15,5.52
38.90601,16.59441,2020,1,5,71.12,0.005535,13.03,7.38,10.17,5.65
38.90601,16.59441,2020,1,6,64.29,0.004177,8.64,6.77,7.56,1.87
38.90601,16.59441,2020,1,7,70.57,0.004915,11.37,6.58,8.59,4.78
38.90601,16.59441,2020,1,8,68.17,0.005133,12.86,8.05,9.78,4.81
38.90601,16.59441,2020,1,9,72.72,0.005526,12.68,7.95,9.93,4.73
38.90601,16.59441,2020,1,10,75.22,0.005859,13.29,8.01,10.26,5.28
38.90601,16.59441,2020,1,11,75.58,0.005961,12.87,8.68,10.43,4.19
38.90601,16.59441,2020,1,12,85,0.006672,11.74,9.55,10.35,2.19
38.90601,16.59441,2020,1,13,82.58,0.006753,12.44,9.81,10.98,2.63
38.90601,16.59441,2020,1,14,81.74,0.006678,13.32,9.34,10.98,3.98
38.90601,16.59441,2020,1,15,81.86,0.006662,13.84,9.16,10.95,4.68
38.90601,16.59441,2020,1,16,79.83,0.006293,13.83,8.37,10.47,5.46
38.90601,16.59441,2020,1,17,75.17,0.005987,13.73,8.18,10.6,5.56
38.90601,16.59441,2020,1,18,77.44,0.006412,13.78,9.33,11.14,4.45
38.90601,16.59441,2020,1,19,78.66,0.006519,13.22,10.04,11.15,3.18
38.90601,16.59441,2020,1,20,83.59,0.007148,13.21,10.42,11.76,2.79
38.90601,16.59441,2020,1,21,80.31,0.006746,13.38,8.88,11.56,4.5
38.90601,16.59441,2020,1,22,75.71,0.005916,13.47,8.05,10.42,5.42
38.90601,16.59441,2020,1,23,76.87,0.006183,13.95,8.89,10.79,5.06
38.90601,16.59441,2020,1,24,81.06,0.006546,12.98,9.02,10.84,3.96
38.90601,16.59441,2020,1,25,83.42,0.007554,14.5,11.04,12.52,3.45
38.90601,16.59441,2020,1,26,88.59,0.008271,15.03,11.02,12.9,4.01
38.90601,16.59441,2020,1,27,82.16,0.007085,14.28,9.86,11.7,4.42
38.90601,16.59441,2020,1,28,84.9,0.007468,14.11,10.46,11.99,3.65
38.90601,16.59441,2020,1,29,81.52,0.007684,14.76,11.98,12.99,2.79
38.90601,16.59441,2020,1,30,78.2,0.00719,15.49,10.79,12.68,4.7
38.90601,16.59441,2020,1,31,79.37,0.006719,14.64,9.29,11.45,5.35
38.90601,16.59441,2020,2,1,82.06,0.00726,14.51,10.03,12.11,4.47
38.90601,16.59441,2020,2,2,81.97,0.007735,15.9,10.94,13.09,4.97
38.90601,16.59441,2020,2,3,85.39,0.008175,16.35,11.15,13.28,5.2
38.90601,16.59441,2020,2,4,83.05,0.008178,16.15,11.33,13.56,4.82
38.90601,16.59441,2020,2,5,66.18,0.004944,12.49,8.43,9.35,4.06
38.90601,16.59441,2020,2,6,61.44,0.004177,9.55,7.06,8.15,2.49
38.90601,16.59441,2020,2,7,63.38,0.004565,12.45,6.43,9.11,6.02
38.90601,16.59441,2020,2,8,62.94,0.004951,13.3,7.67,10.46,5.63
38.90601,16.59441,2020,2,9,66.41,0.005479,14.41,9.11,11.22,5.31
38.90601,16.59441,2020,2,10,82.94,0.007047,13.85,8.89,11.57,4.95
38.90601,16.59441,2020,2,11,82.19,0.008216,16.85,12.39,13.89,4.46
38.90601,16.59441,2020,2,12,82.99,0.008109,15.92,11.19,13.56,4.73
38.90601,16.59441,2020,2,13,84.61,0.007439,14.4,9.68,12.04,4.72
38.90601,16.59441,2020,2,14,81.87,0.007616,15.18,10.76,12.81,4.42
38.90601,16.59441,2020,2,15,70.63,0.006299,15.23,9.5,12.27,5.73
38.90601,16.59441,2020,2,16,68.03,0.005727,15.19,8.18,11.48,7.01
38.90601,16.59441,2020,2,17,70.13,0.006075,15.31,9.23,11.89,6.08
38.90601,16.59441,2020,2,18,77.47,0.0068,15.97,8.88,12.02,7.08
38.90601,16.59441,2020,2,19,79.71,0.006872,14.6,9.51,11.7,5.08
38.90601,16.59441,2020,2,20,67.08,0.005663,14.28,8.14,11.39,6.14
