LAT,LON,YEAR,MO,DY,RH2M,QV2M,T2M_MAX,T2M_MIN,T2M,T2M_RANGE
40.83961,14.25081,2020,1,1,68.62,0.005316,14.45,7.94,10.36,6.51
40.83961,14.25081,2020,1,2,66.48,0.005109,13.86,7.61,10.26,6.25
40.83961,14.25081,2020,1,3,66.54,0.005314,13.29,8.63,10.8,4.65
40.83961,14.25081,2020,1,4,78.12,0.006676,13.23,10.78,11.75,2.46
40.83961,14.25081,2020,1,5,68.4,0.00506,13.33,6.12,9.62,7.21
40.83961,14.25081,2020,1,6,67.42,0.004066,9.36,5.18,6.67,4.18
40.83961,14.25081,2020,1,7,64.31,0.004472,11.72,5.59,8.71,6.14
40.83961,14.25081,2020,1,8,69.33,0.005265,13.36,7.4,10.04,5.96
40.83961,14.25081,2020,1,9,70.14,0.005306,12.58,7.86,10,4.72
40.83961,14.25081,2020,1,10,72.11,0.005706,13.06,8.51,10.63,4.55
40.83961,14.25081,2020,1,11,73.31,0.005598,13.89,7.53,10.09,6.37
40.83961,14.25081,2020,1,12,75.5,0.005972,13.98,8.21,10.61,5.77
40.83961,14.25081,2020,1,13,70.98,0.005589,13.41,7.62,10.55,5.8
40.83961,14.25081,2020,1,14,70.03,0.005848,13.74,9.81,11.44,3.93
40.83961,14.25081,2020,1,15,70.7,0.005642,13.65,8.36,10.8,5.29
40.83961,14.25081,2020,1,16,70.05,0.005508,13.31,8.11,10.58,5.2
40.83961,14.25081,2020,1,17,71.86,0.00564,12.83,8.59,10.52,4.24
40.83961,14.25081,2020,1,18,83.33,0.006752,12.38,10.1,10.93,2.28
40.83961,14.25081,2020,1,19,78.11,0.006126,13.28,8.48,10.45,4.81
40.83961,14.25081,2020,1,20,75.44,0.005898,12.33,9.26,10.55,3.07
40.83961,14.25081,2020,1,21,74.37,0.005874,13.96,8.93,10.77,5.04
40.83961,14.25081,2020,1,22,81.14,0.006587,13.88,8.74,11.12,5.14
40.83961,14.25081,2020,1,23,76.68,0.006321,14.36,9.43,11.29,4.94
40.83961,14.25081,2020,1,24,84.01,0.007078,13.77,9.33,11.58,4.44
40.83961,14.25081,2020,1,25,87.76,0.008062,14.41,11.44,12.84,2.97
40.83961,14.25081,2020,1,26,88.4,0.007799,13.38,10.99,12.16,2.39
40.83961,14.25081,2020,1,27,83.41,0.007127,13.75,10.45,11.7,3.3
40.83961,14.25081,2020,1,28,85.91,0.007879,13.98,11.15,12.72,2.84
40.83961,14.25081,2020,1,29,85.77,0.007804,13.86,11.62,12.56,2.25
40.83961,14.25081,2020,1,30,81.66,0.006894,14.17,8.91,11.52,5.26
40.83961,14.25081,2020,1,31,82.23,0.00714,13.17,11.1,11.96,2.06
40.83961,14.25081,2020,2,1,88.55,0.008039,14.28,11.61,12.62,2.67
40.83961,14.25081,2020,2,2,87.27,0.008198,14.88,12.06,13.15,2.82
40.83961,14.25081,2020,2,3,93.08,0.008928,15.23,12.22,13.44,3.02
40.83961,14.25081,2020,2,4,91.53,0.008612,14.97,9.34,12.99,5.63
40.83961,14.25081,2020,2,5,65.84,0.004795,10.71,7.7,9.19,3.01
40.83961,14.25081,2020,2,6,60.55,0.003867,9.75,5.97,7.43,3.78
40.83961,14.25081,2020,2,7,57.49,0.004115,12.12,6.5,9.17,5.61
40.83961,14.25081,2020,2,8,56.03,0.004318,13.15,7.62,10.29,5.53
40.83961,14.25081,2020,2,9,69.53,0.005538,13.27,9.01,10.82,4.26
40.83961,14.25081,2020,2,10,90.39,0.007884,13.42,10.23,12.08,3.19
40.83961,14.25081,2020,2,11,91.06,0.00876,14.63,12.56,13.44,2.07
40.83961,14.25081,2020,2,12,88.59,0.008398,15.15,11.48,13.24,3.67
40.83961,14.25081,2020,2,13,81.93,0.007175,14.22,10.71,12.1,3.5
40.83961,14.25081,2020,2,14,83.55,0.007493,14.81,10.11,12.4,4.69
40.83961,14.25081,2020,2,15,67.11,0.005631,15.25,8.65,11.51,6.6
40.83961,14.25081,2020,2,16,63.49,0.005224,14.63,8.29,11.27,6.34
40.83961,14.25081,2020,2,17,74.84,0.006361,13.77,10.2,11.73,3.57
40.83961,14.25081,2020,2,18,80.57,0.006723,13.95,9.77,11.4,4.18
40.83961,14.25081,2020,2,19,81.99,0.007089,13.83,10.98,11.88,2.85
40.83961,14.25081,2020,2,20,65.38,0.005293,13.7,8.54,10.92,5.16
40.83961,14.25081,2020,2,21,64.34,0.005138,13.92,8.02,10.76,5.9
40.83961,14.25081,2020,2,22,60.31,0.004848,14.39,7.97,10.93,6.42
40.83961,14.25081,2020,2,23,82.15,0.00703,14.34,9.91,11.85,4.43
40.83961,14.25081,2020,2,24,85.55,0.007665,14.46,11.42,12.45,3.04
40.83961,14.25081,2020,2,25,85.31,0.007451,13.68,10.39,11.96,3.29
40.83961,14.25081,2020,2,26,79.07,0.007348,14.62,10.48,12.76,4.14
40.83961,14.25081,2020,2,27,62.12,0.004956,12.75,7.69,10.57,5.06
40.83961,14.25081,2020,2,28,72.43,0.006791,15.78,8.91,13.02,6.87
40.83961,14.25081,2020,2,29,72.19,0.005917,14.22,7.89,11.07,6.34
40.83961,14.25081,2020,3,1,91.34,0.008685,15.11,10.72,13.19,4.39
40.83961,14.25081,2020,3,2,84.2,0.008186,14.79,11.93,13.48,2.86
40.83961,14.25081,2020,3,3,74.49,0.00669,14.25,10.22,12.23,4.03
40.83961,14.25081,2020,3,4,72.45,0.006079,13.06,9.77,11.25,3.29
40.83961,14.25081,2020,3,5,75.5,0.006322,13.63,8.4,11.26,5.23
40.83961,14.25081,2020,3,6,81.48,0.007667,14.51,11.29,12.93,3.23
40.83961,14.25081,2020,3,7,71.55,0.006129,13.17,10.04,11.57,3.13
40.83961,14.25081,2020,3,8,67.59,0.00572,14.42,9.4,11.49,5.02
40.83961,14.25081,2020,3,9,65.25,0.00527,12.63,8.97,10.76,3.67
40.83961,14.25081,2020,3,10,67.39,0.005736,15,7.67,11.57,7.33
40.83961,14.25081,2020,3,11,74.06,0.006864,15.82,10.73,12.95,5.09
40.83961,14.25081,2020,3,12,78.08,0.007123,15.14,11.26,12.73,3.88
40.83961,14.25081,2020,3,13,85.51,0.007579,14.06,10.98,12.21,3.08
40.83961,14.25081,2020,3,14,82.63,0.007721,15.62,10.94,12.97,4.69
40.83961,14.25081,2020,3,15,72.49,0.006618,15.97,9.15,12.67,6.82
40.83961,14.25081,2020,3,16,64.5,0.0057,16.23,8.73,12.28,7.5
40.83961,14.25081,2020,3,17,75.31,0.00689,16.05,10.01,12.87,6.04
