LAT,LON,YEAR,MO,DY,RH2M,QV2M,T2M_MAX,T2M_MIN,T2M,T2M_RANGE
44.49441,11.34171,2020,1,1,85.23,0.00432,9.02,0.7,3.76,8.31
44.49441,11.34171,2020,1,2,84.18,0.004371,10.08,1.06,4.11,9.02
44.49441,11.34171,2020,1,3,99.9,0.005219,7.85,1.21,4.13,6.65
44.49441,11.34171,2020,1,4,89.34,0.005194,10.69,2.69,5.61,8.01
44.49441,11.34171,2020,1,5,81.94,0.004351,10.95,1.15,4.38,9.8
44.49441,11.34171,2020,1,6,80.95,0.00367,7.71,-0.49,2.19,8.2
44.49441,11.34171,2020,1,7,91.04,0.004039,7.37,-0.37,1.83,7.74
44.49441,11.34171,2020,1,8,87.32,0.00401,8.6,-1.84,2.36,10.44
44.49441,11.34171,2020,1,9,86.75,0.004339,10.03,0.49,3.51,9.54
44.49441,11.34171,2020,1,10,95.7,0.005011,9.87,0.41,4.12,9.46
44.49441,11.34171,2020,1,11,96.36,0.004928,8.65,0.8,3.83,7.85
44.49441,11.34171,2020,1,12,84.2,0.00427,8.67,1.18,3.72,7.49
44.49441,11.34171,2020,1,13,81.24,0.004089,8.48,0.53,3.58,7.95
44.49441,11.34171,2020,1,14,96.37,0.004676,8.59,-0.51,3.05,9.1
44.49441,11.34171,2020,1,15,95.55,0.004928,9.85,0.67,3.95,9.18
44.49441,11.34171,2020,1,16,92.01,0.005039,9.56,1.49,4.84,8.07
44.49441,11.34171,2020,1,17,95.96,0.005263,9.67,1.97,4.79,7.7
44.49441,11.34171,2020,1,18,97.55,0.005154,6.15,2.51,4.2,3.65
44.49441,11.34171,2020,1,19,89.87,0.004504,6.73,1.81,3.54,4.92
44.49441,11.34171,2020,1,20,83.35,0.003984,6.02,0.55,3.03,5.47
44.49441,11.34171,2020,1,21,87.2,0.003838,6.55,-0.5,1.89,7.05
44.49441,11.34171,2020,1,22,84.75,0.004413,10.55,-0.51,4.16,11.06
44.49441,11.34171,2020,1,23,93.88,0.004642,9.15,0.62,3.38,8.53
44.49441,11.34171,2020,1,24,97.59,0.004913,9.16,-0.98,3.59,10.14
44.49441,11.34171,2020,1,25,98.94,0.005405,6.59,3.49,4.69,3.1
