LAT,LON,YEAR,MO,DY,RH2M,QV2M,T2M_MAX,T2M_MIN,T2M,T2M_RANGE
45.64941,13.76811,2020,1,1,85.55,0.003863,6.55,-0.27,2.15,6.82
45.64941,13.76811,2020,1,2,64.19,0.003242,8.05,-0.39,3.72,8.44
45.64941,13.76811,2020,1,3,79.49,0.004248,6.83,2.9,4.45,3.93
45.64941,13.76811,2020,1,4,77.48,0.004285,9.26,1.27,4.89,7.98
45.64941,13.76811,2020,1,5,71.19,0.003563,8,0.25,3.56,7.75
45.64941,13.76811,2020,1,6,75.32,0.003078,4.15,-2.36,0.76,6.51
45.64941,13.76811,2020,1,7,77.82,0.00357,6.11,0.49,2.3,5.63
45.64941,13.76811,2020,1,8,76.28,0.003644,7.07,-0.68,2.92,7.75
45.64941,13.76811,2020,1,9,78.76,0.004163,8.08,2.51,4.29,5.57
45.64941,13.76811,2020,1,10,98.26,0.005045,5.08,2.85,3.84,2.23
45.64941,13.76811,2020,1,11,90.69,0.004634,9.67,1.16,3.83,8.51
45.64941,13.76811,2020,1,12,85.34,0.003853,6.58,-0.04,2.09,6.62
45.64941,13.76811,2020,1,13,85.45,0.004111,6.61,-0.11,2.94,6.72
45.64941,13.76811,2020,1,14,91.84,0.004553,5.16,2.34,3.36,2.82
45.64941,13.76811,2020,1,15,95.13,0.004916,5.65,3.1,3.98,2.55
45.64941,13.76811,2020,1,16,89.53,0.004905,9.03,3.21,4.85,5.82
45.64941,13.76811,2020,1,17,85.41,0.004525,8,1.92,4.31,6.08
45.64941,13.76811,2020,1,18,91.8,0.004355,4.87,1.27,2.7,3.61
45.64941,13.76811,2020,1,19,83.3,0.003899,6.53,0.87,2.6,5.66
45.64941,13.76811,2020,1,20,84.18,0.003674,5.18,0.28,1.79,4.91
45.64941,13.76811,2020,1,21,76.86,0.003342,6.19,-0.85,1.74,7.04
45.64941,13.76811,2020,1,22,73.46,0.00336,5.33,0.45,2.34,4.88
45.64941,13.76811,2020,1,23,82.64,0.003506,5.66,-1.12,1.27,6.78
45.64941,13.76811,2020,1,24,71.78,0.003354,6.81,-1.5,2.56,8.31
45.64941,13.76811,2020,1,25,87.83,0.005099,7.61,3.72,5.59,3.89
45.64941,13.76811,2020,1,26,94.3,0.005628,7.69,4.55,5.93,3.14
45.64941,13.76811,2020,1,27,94.67,0.005241,8.04,3.36,4.83,4.68
45.64941,13.76811,2020,1,28,97.73,0.006393,8.93,4.8,7.08,4.13
45.64941,13.76811,2020,1,29,78.02,0.004474,8.67,2.93,5.22,5.74
45.64941,13.76811,2020,1,30,81.8,0.004333,8.36,0.8,4.21,7.56
45.64941,13.76811,2020,1,31,95.46,0.00547,7.59,3.94,5.32,3.65
45.64941,13.76811,2020,2,1,96.81,0.006196,8.91,4.52,6.91,4.39
45.64941,13.76811,2020,2,2,94.81,0.006135,9.12,6.37,7.08,2.75
45.64941,13.76811,2020,2,3,96.25,0.00656,9.13,6.92,7.8,2.21
45.64941,13.76811,2020,2,4,85.26,0.005282,9.31,1.99,6.29,7.32
45.64941,13.76811,2020,2,5,65.06,0.003166,7.33,0.54,3,6.79
45.64941,13.76811,2020,2,6,61.07,0.002822,7.79,-1.47,2.42,9.25
45.64941,13.76811,2020,2,7,65.27,0.003151,8.01,-0.23,3.02,8.24
45.64941,13.76811,2020,2,8,74.7,0.00374,8.27,-0.14,3.55,8.42
45.64941,13.76811,2020,2,9,87.46,0.004567,7.27,1.99,4.14,5.28
45.64941,13.76811,2020,2,10,98.81,0.006102,7.51,4.87,6.35,2.64
45.64941,13.76811,2020,2,11,87.56,0.005546,10.4,3.24,6.64,7.16
45.64941,13.76811,2020,2,12,66.7,0.0039,10.01,1.54,5.61,8.48
45.64941,13.76811,2020,2,13,82.16,0.004716,9.35,1.83,5.36,7.52
45.64941,13.76811,2020,2,14,78.11,0.00493,11.43,3.94,6.7,7.49
45.64941,13.76811,2020,2,15,79.82,0.004797,10.32,2.2,6.15,8.11
45.64941,13.76811,2020,2,16,82.66,0.005079,10.41,3.97,6.47,6.44
45.64941,13.76811,2020,2,17,96.5,0.006033,8.07,5.04,6.66,3.03
45.64941,13.76811,2020,2,18,89.79,0.006032,10.84,5.74,7.71,5.1
45.64941,13.76811,2020,2,19,80.66,0.004873,9.88,2.17,6.12,7.71
45.64941,13.76811,2020,2,20,64.1,0.003369,8.61,0.64,4.19,7.97
45.64941,13.76811,2020,2,21,69.92,0.003971,11.07,2.04,5.3,9.03
45.64941,13.76811,2020,2,22,78.08,0.004288,9.6,1.3,4.9,8.29
45.64941,13.76811,2020,2,23,92.23,0.005342,8.31,2.84,5.57,5.47
45.64941,13.76811,2020,2,24,85.35,0.006076,13.49,5.25,8.5,8.24
45.64941,13.76811,2020,2,25,97.76,0.006481,8.94,4.4,7.31,4.54
