LAT,LON,YEAR,MO,DY,RH2M,QV2M,T2M_MAX,T2M_MIN,T2M,T2M_RANGE
41.89281,12.48371,2020,1,1,56.07,0.004275,13.37,7.75,10.2,5.62
41.89281,12.48371,2020,1,2,65.71,0.005195,13.99,8.04,10.75,5.94
41.89281,12.48371,2020,1,3,73.98,0.005771,13.22,9.08,10.51,4.14
41.89281,12.48371,2020,1,4,80.58,0.006441,14.18,9,10.8,5.18
41.89281,12.48371,2020,1,5,69.44,0.005217,14.5,6.67,9.92,7.83
41.89281,12.48371,2020,1,6,56.32,0.003663,11.54,5.12,7.84,6.41
41.89281,12.48371,2020,1,7,55.99,0.003902,11.41,6.75,8.81,4.66
41.89281,12.48371,2020,1,8,61.65,0.004696,13.56,7.34,10.15,6.22
41.89281,12.48371,2020,1,9,63,0.004937,13.32,8.27,10.58,5.05
41.89281,12.48371,2020,1,10,74.32,0.005939,13.64,8.58,10.83,5.07
41.89281,12.48371,2020,1,11,70.48,0.005351,13.48,7.5,10.06,5.98
41.89281,12.48371,2020,1,12,69.95,0.005332,13.94,7.93,10.13,6.02
41.89281,12.48371,2020,1,13,69.82,0.005349,13.17,7.63,10.19,5.53
41.89281,12.48371,2020,1,14,65.82,0.0053,13.26,8.84,10.96,4.42
41.89281,12.48371,2020,1,15,63.97,0.005009,13.48,8.28,10.58,5.2
41.89281,12.48371,2020,1,16,71.57,0.005473,13.08,8.41,10.23,4.66
41.89281,12.48371,2020,1,17,75.57,0.005852,13.03,8.04,10.37,4.99
41.89281,12.48371,2020,1,18,82.36,0.00668,12.37,9.24,10.99,3.13
41.89281,12.48371,2020,1,19,77.25,0.005724,12.74,6.65,9.66,6.09
41.89281,12.48371,2020,1,20,71.71,0.005313,11.87,8.7,9.81,3.17
41.89281,12.48371,2020,1,21,70.96,0.005709,14.72,8.15,11.09,6.56
41.89281,12.48371,2020,1,22,79.25,0.006588,14.29,9.2,11.52,5.09
41.89281,12.48371,2020,1,23,80.41,0.006608,14.23,9.32,11.29,4.9
41.89281,12.48371,2020,1,24,88.56,0.007134,12.91,8.61,10.94,4.3
41.89281,12.48371,2020,1,25,89.55,0.007858,13.74,10.62,12.18,3.12
41.89281,12.48371,2020,1,26,84.68,0.006845,13.14,9.46,10.91,3.68
41.89281,12.48371,2020,1,27,86.06,0.00691,13.84,7.96,10.82,5.88
41.89281,12.48371,2020,1,28,85.11,0.007874,14.45,11.37,12.89,3.08
41.89281,12.48371,2020,1,29,80.4,0.007211,14.17,11.01,12.4,3.16
41.89281,12.48371,2020,1,30,79.29,0.006734,14.89,9.16,11.67,5.72
41.89281,12.48371,2020,1,31,90.11,0.007895,13.64,11,12.13,2.64
41.89281,12.48371,2020,2,1,92.16,0.008343,14.34,11.51,12.62,2.84
41.89281,12.48371,2020,2,2,91.16,0.008574,15.19,12.08,13.22,3.11
41.89281,12.48371,2020,2,3,93.46,0.009094,16.38,12.07,13.7,4.31
41.89281,12.48371,2020,2,4,85.88,0.007978,16.33,9.12,12.87,7.21
41.89281,12.48371,2020,2,5,59.57,0.004326,12.86,6.18,9.27,6.68
41.89281,12.48371,2020,2,6,53.77,0.003517,11.17,5.58,7.88,5.59
41.89281,12.48371,2020,2,7,47.09,0.003331,12.75,6.28,9.06,6.47
41.89281,12.48371,2020,2,8,54.63,0.004137,13.44,7.36,10.08,6.08
41.89281,12.48371,2020,2,9,80,0.006299,13.48,7.94,10.68,5.54
