LAT,LON,YEAR,MO,DY,RH2M,QV2M,T2M_MAX,T2M_MIN,T2M,T2M_RANGE
44.41151,8.93271,2020,1,1,76.47,0.005979,12.53,8.68,10.38,3.85
44.41151,8.93271,2020,1,2,82.64,0.005595,9.81,6.92,8.27,2.89
44.41151,8.93271,2020,1,3,88.78,0.006544,10.2,8.55,9.45,1.64
44.41151,8.93271,2020,1,4,73.8,0.00578,13.06,7.86,10.32,5.2
44.41151,8.93271,2020,1,5,66.02,0.005139,12.67,8.31,10.28,4.36
44.41151,8.93271,2020,1,6,72.66,0.00492,9.68,6.41,8.26,3.27
44.41151,8.93271,2020,1,7,74.63,0.004883,9.54,5.98,7.7,3.57
44.41151,8.93271,2020,1,8,71.46,0.005006,11.78,5.61,8.75,6.17
44.41151,8.93271,2020,1,9,84.24,0.006476,11.72,8.32,10.07,3.4
44.41151,8.93271,2020,1,10,83,0.006524,12.06,8.96,10.36,3.11
44.41151,8.93271,2020,1,11,75.92,0.005639,12.31,7.51,9.57,4.8
44.41151,8.93271,2020,1,12,69.86,0.005053,10.79,7.86,9.19,2.93
44.41151,8.93271,2020,1,13,72.52,0.005063,9.41,7.58,8.63,1.84
44.41151,8.93271,2020,1,14,80.44,0.00599,10.62,8.17,9.57,2.44
44.41151,8.93271,2020,1,15,80.15,0.006286,11.22,9.72,10.38,1.5
44.41151,8.93271,2020,1,16,82.96,0.006091,10.32,8.37,9.43,1.94
44.41151,8.93271,2020,1,17,85.36,0.006552,12.03,7.71,10.02,4.32
44.41151,8.93271,2020,1,18,76.45,0.005367,10.98,7.04,8.66,3.94
44.41151,8.93271,2020,1,19,78.3,0.005104,9.56,6.54,7.64,3.02
44.41151,8.93271,2020,1,20,75.85,0.00478,8.87,6.52,7.31,2.36
44.41151,8.93271,2020,1,21,78.35,0.004653,7.99,5.11,6.47,2.88
44.41151,8.93271,2020,1,22,65.28,0.004626,10.83,6.14,8.96,4.69
44.41151,8.93271,2020,1,23,85.58,0.00633,10.6,7.24,9.53,3.35
44.41151,8.93271,2020,1,24,84.54,0.005682,9.77,6.21,8.07,3.56
44.41151,8.93271,2020,1,25,90.1,0.00563,8.04,6.05,6.96,2
44.41151,8.93271,2020,1,26,84.17,0.005882,10.08,6.97,8.56,3.12
44.41151,8.93271,2020,1,27,86.21,0.006785,11.2,9.11,10.29,2.1
44.41151,8.93271,2020,1,28,79.7,0.006878,14.39,9.84,11.54,4.55
44.41151,8.93271,2020,1,29,70.35,0.005885,14.62,8.94,11.12,5.69
44.41151,8.93271,2020,1,30,81.81,0.006253,11.35,8.7,9.86,2.65
44.41151,8.93271,2020,1,31,89.92,0.006503,9.98,8.06,9.05,1.92
44.41151,8.93271,2020,2,1,94.52,0.007928,12.99,9.48,11.23,3.52
44.41151,8.93271,2020,2,2,96.45,0.007946,11.87,9.67,10.99,2.2
44.41151,8.93271,2020,2,3,87.25,0.008212,15.51,11.27,12.98,4.23
44.41151,8.93271,2020,2,4,68.39,0.005766,13.59,7.86,11.24,5.73
44.41151,8.93271,2020,2,5,58.72,0.004161,11.65,6.65,8.82,5
44.41151,8.93271,2020,2,6,51.99,0.003799,11.5,6.58,9.37,4.92
44.41151,8.93271,2020,2,7,74.96,0.005472,11.21,7.29,9.3,3.92
44.41151,8.93271,2020,2,8,78.31,0.005521,9.57,8.05,8.81,1.52
44.41151,8.93271,2020,2,9,81.1,0.005867,10.45,7.27,9.19,3.18
44.41151,8.93271,2020,2,10,85.06,0.007787,16.16,10.03,12.54,6.13
44.41151,8.93271,2020,2,11,68.07,0.006398,16.14,11.06,12.9,5.09
44.41151,8.93271,2020,2,12,56.82,0.004659,13.55,7.82,10.94,5.74
44.41151,8.93271,2020,2,13,70.98,0.005597,11.35,8.07,10.33,3.29
44.41151,8.93271,2020,2,14,71.71,0.006163,14.54,8.49,11.62,6.05
44.41151,8.93271,2020,2,15,76.02,0.005916,12.42,8.52,10.26,3.9
44.41151,8.93271,2020,2,16,91.9,0.006926,11.16,8.19,9.79,2.98
44.41151,8.93271,2020,2,17,91.51,0.00776,12.22,10.94,11.5,1.29
44.41151,8.93271,2020,2,18,76.28,0.006322,13.45,9.2,11.16,4.25
44.41151,8.93271,2020,2,19,70.32,0.00528,13.04,6.62,9.65,6.42
44.41151,8.93271,2020,2,20,70.93,0.005216,11.99,7.32,9.38,4.68
44.41151,8.93271,2020,2,21,73.94,0.005959,13.21,8.46,10.75,4.76
44.41151,8.93271,2020,2,22,73.36,0.005742,13.08,8.09,10.4,4.99
44.41151,8.93271,2020,2,23,94.48,0.00707,10.27,8.83,9.68,1.44
44.41151,8.93271,2020,2,24,91.47,0.007067,11.9,8.87,10.05,3.03
44.41151,8.93271,2020,2,25,93.47,0.007658,12.54,8.84,10.76,3.7
44.41151,8.93271,2020,2,26,59.15,0.004646,13.07,7.2,10.06,5.88
44.41151,8.93271,2020,2,27,64.47,0.004655,10.66,6.04,8.89,4.62
44.41151,8.93271,2020,2,28,52.76,0.003972,12.58,6.79,9.63,5.79
44.41151,8.93271,2020,2,29,73.07,0.005721,10.92,9.06,10.16,1.86
44.41151,8.93271,2020,3,1,86.81,0.006737,10.38,9.48,9.9,0.9
44.41151,8.93271,2020,3,2,94.08,0.007766,12.62,8,10.65,4.62
44.41151,8.93271,2020,3,3,55.3,0.004439,12.79,8.09,10.32,4.7
44.41151,8.93271,2020,3,4,61.55,0.004613,12.89,6.36,9.47,6.53
44.41151,8.93271,2020,3,5,84.88,0.006153,10.51,6.85,8.9,3.66
44.41151,8.93271,2020,3,6,70.62,0.005,11.13,5.84,8.47,5.29
44.41151,8.93271,2020,3,7,66.3,0.005075,13.54,6.78,9.79,6.76
44.41151,8.93271,2020,3,8,67.41,0.004977,12.77,5.88,9.38,6.9
44.41151,8.93271,2020,3,9,86.4,0.006233,9.61,7.51,8.93,2.1
44.41151,8.93271,2020,3,10,70.18,0.005405,13.04,7.16,9.98,5.89
44.41151,8.93271,2020,3,11,90.92,0.007359,12.53,9.54,10.74,2.99
44.41151,8.93271,2020,3,12,94.04,0.007548,11.01,10.12,10.62,0.89
44.41151,8.93271,2020,3,13,93.61,0.008038,12.85,10.81,11.56,2.04
44.41151,8.93271,2020,3,14,84.81,0.007192,13.26,9.43,11.39,3.83
44.41151,8.93271,2020,3,15,70.05,0.005474,13.05,7.23,10.26,5.82
44.41151,8.93271,2020,3,16,62.04,0.00509,14.08,7.78,11.04,6.29
44.41151,8.93271,2020,3,17,69.74,0.00597,13.94,9.64,11.73,4.3
44.41151,8.93271,2020,3,18,69.8,0.006516,15.45,9.85,13.02,5.6
