LAT,LON,YEAR,MO,DY,RH2M,QV2M,T2M_MAX,T2M_MIN,T2M,T2M_RANGE
45.46681,9.19031,2020,1,1,87.78,0.004597,9.3,2.34,4.47,6.96
45.46681,9.19031,2020,1,2,85.87,0.00417,7.22,1.3,3.41,5.91
45.46681,9.19031,2020,1,3,90.32,0.00485,8.44,2.44,4.77,6
45.46681,9.19031,2020,1,4,74.89,0.004309,11.91,1.53,5.73,10.38
45.46681,9.19031,2020,1,5,65.94,0.003589,10.95,1.67,5,9.28
45.46681,9.19031,2020,1,6,84.41,0.003881,6.9,0.49,2.63,6.41
45.46681,9.19031,2020,1,7,87.2,0.003842,7.07,-0.76,1.98,7.83
45.46681,9.19031,2020,1,8,68.59,0.003275,8.32,-0.77,3.17,9.08
45.46681,9.19031,2020,1,9,78.25,0.004357,9.74,2.57,5.28,7.17
45.46681,9.19031,2020,1,10,91.2,0.005207,9.93,2.88,5.6,7.05
45.46681,9.19031,2020,1,11,72.73,0.004093,11.14,0.99,5.46,10.15
45.46681,9.19031,2020,1,12,84.28,0.004329,9.01,0.65,4.16,8.35
45.46681,9.19031,2020,1,13,86.55,0.004166,7.08,0.91,3.2,6.17
45.46681,9.19031,2020,1,14,90.7,0.004599,7.78,1.16,3.92,6.62
45.46681,9.19031,2020,1,15,92.04,0.004899,6.58,2.94,4.65,3.64
45.46681,9.19031,2020,1,16,91.14,0.004907,7.94,3.33,4.85,4.61
45.46681,9.19031,2020,1,17,85.36,0.005009,10.6,2.94,6.01,7.66
45.46681,9.19031,2020,1,18,80.11,0.004378,9.89,0.9,4.96,8.99
45.46681,9.19031,2020,1,19,81.29,0.00375,6.12,0.03,2.64,6.1
45.46681,9.19031,2020,1,20,69.7,0.003104,7.82,-0.5,2.31,8.32
45.46681,9.19031,2020,1,21,65.84,0.002993,6.76,-0.2,2.61,6.96
45.46681,9.19031,2020,1,22,64.56,0.003162,8.64,0.65,3.56,7.98
45.46681,9.19031,2020,1,23,79.32,0.003883,7.95,0.48,3.5,7.46
45.46681,9.19031,2020,1,24,79.76,0.003863,7.27,1.13,3.3,6.14
45.46681,9.19031,2020,1,25,89.18,0.004396,5.76,2.04,3.5,3.72
45.46681,9.19031,2020,1,26,89.48,0.004821,8.78,2.3,4.73,6.48
45.46681,9.19031,2020,1,27,88.54,0.005221,9.99,2.49,5.98,7.5
45.46681,9.19031,2020,1,28,87.15,0.005386,10.95,3.67,6.52,7.28
45.46681,9.19031,2020,1,29,63.07,0.004013,13.72,2.74,7,10.98
45.46681,9.19031,2020,1,30,75.12,0.004482,11.24,1.79,6.17,9.45
45.46681,9.19031,2020,1,31,89.46,0.00549,12.62,2.06,6.57,10.56
45.46681,9.19031,2020,2,1,93.87,0.006095,11.13,4.74,7.38,6.38
45.46681,9.19031,2020,2,2,94.2,0.006291,13.13,4.68,7.8,8.44
45.46681,9.19031,2020,2,3,86.63,0.007029,17.72,6.21,10.65,11.51
45.46681,9.19031,2020,2,4,64.83,0.004243,11.67,1.76,7.41,9.91
45.46681,9.19031,2020,2,5,55.99,0.002916,10.23,0.92,4.3,9.31
45.46681,9.19031,2020,2,6,55.54,0.002802,10.38,-0.42,3.93,10.79
45.46681,9.19031,2020,2,7,68.12,0.003746,11,0.81,5.1,10.19
45.46681,9.19031,2020,2,8,79.31,0.004554,9.55,3.02,5.75,6.53
45.46681,9.19031,2020,2,9,83.98,0.004807,10.42,1.77,5.7,8.66
45.46681,9.19031,2020,2,10,83.58,0.005918,14.54,4.92,8.61,9.62
45.46681,9.19031,2020,2,11,59.42,0.004511,15.74,4.62,9.6,11.13
45.46681,9.19031,2020,2,12,51.88,0.003309,13.34,2.41,7.15,10.93
45.46681,9.19031,2020,2,13,68.98,0.004046,11.23,1.06,5.91,10.17
45.46681,9.19031,2020,2,14,70.84,0.004681,14.76,1.59,7.65,13.17
45.46681,9.19031,2020,2,15,66.92,0.004225,13.05,2.2,7.11,10.84
45.46681,9.19031,2020,2,16,84.94,0.005471,12.49,2.76,7.4,9.73
45.46681,9.19031,2020,2,17,92.4,0.006587,11.64,6.97,8.83,4.67
45.46681,9.19031,2020,2,18,70.7,0.004848,13.94,4.07,8.27,9.88
45.46681,9.19031,2020,2,19,68.88,0.0043,12.99,3.51,6.87,9.48
45.46681,9.19031,2020,2,20,58.6,0.003636,12.84,1.39,6.82,11.45
45.46681,9.19031,2020,2,21,74.19,0.004803,14.42,2.84,7.44,11.58
45.46681,9.19031,2020,2,22,64.49,0.004203,12.93,2.89,7.63,10.04
45.46681,9.19031,2020,2,23,86.49,0.005944,14.81,3.96,8.33,10.85
45.46681,9.19031,2020,2,24,81.02,0.00649,18.2,6.26,10.5,11.94
45.46681,9.19031,2020,2,25,90.35,0.006793,13.54,6.91,9.4,6.63
45.46681,9.19031,2020,2,26,63.79,0.004032,12.31,1.7,6.76,10.61
45.46681,9.19031,2020,2,27,65.38,0.003512,9.46,-0.36,4.52,9.82
45.46681,9.19031,2020,2,28,49.8,0.003011,12.73,-0.1,6.34,12.83
45.46681,9.19031,2020,2,29,75.02,0.004622,9.84,3.54,6.57,6.3
45.46681,9.19031,2020,3,1,91.54,0.005506,8.71,4.31,6.09,4.4
45.46681,9.19031,2020,3,2,97.18,0.00579,8.86,2.69,5.79,6.17
45.46681,9.19031,2020,3,3,63.71,0.003967,12.02,2.35,6.5,9.68
45.46681,9.19031,2020,3,4,67.55,0.003865,12.12,-0.43,5.46,12.55
45.46681,9.19031,2020,3,5,85,0.004725,9.39,1.95,4.99,7.45
