LAT,LON,YEAR,MO,DY,RH2M,QV2M,T2M_MAX,T2M_MIN,T2M,T2M_RANGE
43.61681,13.51891,2020,1,1,65.4,0.005513,12.38,11.23,11.84,1.15
43.61681,13.51891,2020,1,2,59.45,0.005125,13.48,10.67,12.19,2.81
43.61681,13.51891,2020,1,3,80.79,0.006196,11.31,9.24,10.37,2.07
43.61681,13.51891,2020,1,4,83.44,0.006821,11.8,10.8,11.26,1
43.61681,13.51891,2020,1,5,64,0.005274,12.89,9.1,11.47,3.79
43.61681,13.51891,2020,1,6,59.4,0.004052,9.66,7.44,8.7,2.22
43.61681,13.51891,2020,1,7,65.94,0.005238,12.74,9.8,10.89,2.94
43.61681,13.51891,2020,1,8,65.4,0.005463,12.85,10.57,11.69,2.29
43.61681,13.51891,2020,1,9,70.79,0.005701,11.93,9.98,11.1,1.95
43.61681,13.51891,2020,1,10,67.66,0.005609,13.38,9.29,11.5,4.09
43.61681,13.51891,2020,1,11,78.81,0.006532,13.46,10.18,11.52,3.28
43.61681,13.51891,2020,1,12,67.8,0.005321,11.39,10.19,10.71,1.2
43.61681,13.51891,2020,1,13,65.98,0.005147,11.22,9.4,10.6,1.82
43.61681,13.51891,2020,1,14,70.2,0.005469,11.33,9.23,10.59,2.1
43.61681,13.51891,2020,1,15,65.7,0.005355,12.22,10.28,11.3,1.94
43.61681,13.51891,2020,1,16,78.66,0.006384,11.93,10.7,11.24,1.24
43.61681,13.51891,2020,1,17,82.12,0.006437,11.94,9.25,10.66,2.68
43.61681,13.51891,2020,1,18,85.65,0.006461,10.94,9.26,10.02,1.69
43.61681,13.51891,2020,1,19,71.06,0.005313,10.65,9.33,9.98,1.32
43.61681,13.51891,2020,1,20,69.22,0.004945,9.89,9.24,9.47,0.65
43.61681,13.51891,2020,1,21,64.25,0.004646,10.38,9.33,9.68,1.05
43.61681,13.51891,2020,1,22,70.62,0.005161,10.53,9.02,9.74,1.51
43.61681,13.51891,2020,1,23,64.53,0.005232,12.22,9.7,11.24,2.52
43.61681,13.51891,2020,1,24,66.15,0.005576,12.77,10.67,11.78,2.1
43.61681,13.51891,2020,1,25,81.06,0.006942,13,10.81,11.95,2.19
43.61681,13.51891,2020,1,26,89.41,0.007095,11.54,10.21,10.76,1.33
43.61681,13.51891,2020,1,27,83.41,0.006714,12.24,9.7,10.96,2.55
43.61681,13.51891,2020,1,28,77.74,0.007319,15.3,11.32,13.21,3.99
43.61681,13.51891,2020,1,29,79.09,0.006834,13.66,10.97,11.91,2.68
43.61681,13.51891,2020,1,30,76.35,0.006401,13.31,9.61,11.58,3.7
43.61681,13.51891,2020,1,31,82.88,0.007428,14.33,11.17,12.58,3.16
43.61681,13.51891,2020,2,1,83.68,0.007977,15.45,12.18,13.51,3.27
43.61681,13.51891,2020,2,2,83.97,0.007977,14.76,12.18,13.47,2.58
43.61681,13.51891,2020,2,3,87.67,0.008339,15.65,11.83,13.46,3.82
43.61681,13.51891,2020,2,4,78.38,0.007195,15.98,11.75,12.77,4.23
43.61681,13.51891,2020,2,5,54.6,0.004363,12.05,8.85,10.83,3.2
43.61681,13.51891,2020,2,6,51.13,0.003695,10.65,8.07,9.51,2.58
43.61681,13.51891,2020,2,7,54.51,0.004281,12,9,10.73,2.99
43.61681,13.51891,2020,2,8,61.03,0.004942,11.95,10.2,11.2,1.75
43.61681,13.51891,2020,2,9,66,0.005372,13.3,9.56,11.3,3.75
43.61681,13.51891,2020,2,10,81.29,0.007576,15.47,10.47,13.16,5.01
43.61681,13.51891,2020,2,11,79.46,0.007855,15.73,12.43,13.94,3.29
43.61681,13.51891,2020,2,12,79.88,0.006804,13.04,10.58,11.78,2.46
43.61681,13.51891,2020,2,13,70.83,0.006283,14.85,10.63,12.44,4.23
43.61681,13.51891,2020,2,14,80.4,0.006861,12.78,11.29,11.81,1.49
43.61681,13.51891,2020,2,15,64.22,0.005687,13.18,11.88,12.54,1.31
43.61681,13.51891,2020,2,16,66.53,0.00573,13.4,10.77,12.13,2.63
43.61681,13.51891,2020,2,17,72.27,0.006357,14.68,10.15,12.4,4.53
43.61681,13.51891,2020,2,18,88.53,0.007328,12.55,9.84,11.44,2.71
43.61681,13.51891,2020,2,19,84.13,0.007192,12.59,10.82,11.87,1.77
43.61681,13.51891,2020,2,20,54.68,0.004381,11.44,10.28,10.99,1.16
43.61681,13.51891,2020,2,21,60.45,0.004949,12.38,10.07,11.32,2.31
43.61681,13.51891,2020,2,22,57.01,0.004748,12.21,10.88,11.67,1.33
43.61681,13.51891,2020,2,23,77.98,0.006664,13.85,9.27,11.98,4.58
43.61681,13.51891,2020,2,24,83,0.007147,13.32,10.58,11.99,2.74
43.61681,13.51891,2020,2,25,81.69,0.007531,15.29,10.88,12.89,4.41
43.61681,13.51891,2020,2,26,74,0.006706,15.15,9.28,12.46,5.87
43.61681,13.51891,2020,2,27,61.92,0.004951,12.59,8.65,10.73,3.94
43.61681,13.51891,2020,2,28,61.79,0.005404,13.01,10.76,12.15,2.25
43.61681,13.51891,2020,2,29,64.48,0.005553,13.88,10.02,11.96,3.86
43.61681,13.51891,2020,3,1,82.11,0.007311,13.7,10.83,12.31,2.87
43.61681,13.51891,2020,3,2,78.94,0.007415,14.21,11.39,13.03,2.81
43.61681,13.51891,2020,3,3,69.87,0.006368,13.98,10.36,12.55,3.63
43.61681,13.51891,2020,3,4,79.39,0.006123,10.88,9.26,10.18,1.61
43.61681,13.51891,2020,3,5,63.72,0.005316,12.37,10.17,11.37,2.2
43.61681,13.51891,2020,3,6,76.76,0.006869,12.99,11.58,12.27,1.41
43.61681,13.51891,2020,3,7,76.66,0.006231,12.14,10.04,10.98,2.1
43.61681,13.51891,2020,3,8,60.43,0.004837,11.96,10.14,10.9,1.82
43.61681,13.51891,2020,3,9,59.67,0.004877,12.13,9.81,11.13,2.32
43.61681,13.51891,2020,3,10,67.21,0.00591,12.9,11.35,12.27,1.55
43.61681,13.51891,2020,3,11,69.17,0.006131,14.11,10.47,12.43,3.64
43.61681,13.51891,2020,3,12,78.11,0.007354,15.96,10.45,13.35,5.5
43.61681,13.51891,2020,3,13,84.54,0.007976,15.03,12.02,13.31,3.01
43.61681,13.51891,2020,3,14,74.29,0.006848,13.43,12.17,12.96,1.26
43.61681,13.51891,2020,3,15,62.06,0.005233,12.83,10.51,11.72,2.33
43.61681,13.51891,2020,3,16,60.39,0.00522,12.98,11.51,12.16,1.47
43.61681,13.51891,2020,3,17,70.96,0.006055,12.98,11.14,12.01,1.84
43.61681,13.51891,2020,3,18,78.03,0.00707,14.67,10.6,12.87,4.07
