LAT,LON,YEAR,MO,DY,RH2M,QV2M,T2M_MAX,T2M_MIN,T2M,T2M_RANGE
41.55771,14.65921,2020,1,1,80.05,0.004667,11.29,2.94,5.72,8.35
41.55771,14.65921,2020,1,2,74.04,0.004336,11.32,2.87,5.8,8.45
41.55771,14.65921,2020,1,3,69.8,0.004165,11.8,2.83,6.03,8.96
41.55771,14.65921,2020,1,4,86.29,0.005111,9.88,3.07,5.85,6.82
41.55771,14.65921,2020,1,5,68.24,0.003902,9.46,2.61,5.39,6.86
41.55771,14.65921,2020,1,6,65.72,0.00307,5.55,0.45,2.56,5.1
41.55771,14.65921,2020,1,7,74.46,0.003961,9.9,0.46,4.35,9.44
41.55771,14.65921,2020,1,8,78.92,0.004568,10.92,2.49,5.59,8.43
41.55771,14.65921,2020,1,9,76.08,0.004371,11.4,1.84,5.48,9.56
41.55771,14.65921,2020,1,10,74.41,0.004267,10.87,2.3,5.42,8.57
41.55771,14.65921,2020,1,11,91.65,0.005374,10.26,2.04,5.74,8.23
41.55771,14.65921,2020,1,12,83.11,0.005158,10.77,3.77,6.56,7.01
41.55771,14.65921,2020,1,13,76.62,0.004467,10.83,2.3,5.66,8.53
41.55771,14.65921,2020,1,14,75.72,0.004681,12.11,2.92,6.51,9.19
41.55771,14.65921,2020,1,15,81.77,0.005022,11.94,2.63,6.45,9.31
41.55771,14.65921,2020,1,16,87.32,0.005161,10.98,2.58,5.9,8.4
41.55771,14.65921,2020,1,17,80.86,0.004891,11.8,2.57,6.2,9.23
41.55771,14.65921,2020,1,18,94.58,0.005358,9.37,2.22,5.18,7.15
41.55771,14.65921,2020,1,19,85.69,0.004986,9.59,2.62,5.6,6.97
41.55771,14.65921,2020,1,20,77.72,0.004574,9.08,4.31,5.93,4.77
41.55771,14.65921,2020,1,21,80.97,0.004751,10.4,3.01,5.94,7.39
41.55771,14.65921,2020,1,22,83.63,0.005038,12.13,2.27,6.24,9.86
41.55771,14.65921,2020,1,23,86.37,0.005276,12.05,2.73,6.38,9.32
41.55771,14.65921,2020,1,24,85.62,0.005528,12.77,2.97,7.15,9.8
41.55771,14.65921,2020,1,25,91.89,0.006523,13.32,5.6,8.48,7.73
41.55771,14.65921,2020,1,26,93.51,0.006227,11.17,5.37,7.49,5.8
41.55771,14.65921,2020,1,27,85.17,0.005596,12.56,3.72,7.3,8.85
41.55771,14.65921,2020,1,28,85.09,0.006505,13.05,5.33,9.45,7.72
41.55771,14.65921,2020,1,29,83.41,0.00617,13.61,5.86,8.94,7.75
41.55771,14.65921,2020,1,30,76.23,0.00523,13.35,5.07,7.95,8.28
41.55771,14.65921,2020,1,31,84.31,0.006146,14.16,5.88,8.84,8.28
41.55771,14.65921,2020,2,1,85.53,0.006784,15.09,6.7,10.08,8.4
41.55771,14.65921,2020,2,2,82.37,0.006998,16.57,7.19,11.12,9.38
41.55771,14.65921,2020,2,3,85.91,0.007443,16.83,8.32,11.38,8.51
41.55771,14.65921,2020,2,4,83.44,0.006884,15.21,6.48,10.49,8.73
41.55771,14.65921,2020,2,5,63,0.003782,7.62,3.65,5.89,3.97
41.55771,14.65921,2020,2,6,58.34,0.002924,6.3,1.6,3.49,4.71
41.55771,14.65921,2020,2,7,61.78,0.003519,11.25,0.95,5.35,10.3
41.55771,14.65921,2020,2,8,60.55,0.003764,12.48,2.58,6.63,9.9
41.55771,14.65921,2020,2,9,67.86,0.004273,13.33,2.58,6.85,10.75
41.55771,14.65921,2020,2,10,85.24,0.006475,13.07,5.81,9.47,7.27
41.55771,14.65921,2020,2,11,82.37,0.007198,16.13,8.79,11.43,7.34
41.55771,14.65921,2020,2,12,78.87,0.006261,15.67,5.61,10.06,10.06
41.55771,14.65921,2020,2,13,82.9,0.005766,13.93,3.88,8.16,10.05
41.55771,14.65921,2020,2,14,82.98,0.006157,13.39,6.77,9.06,6.62
41.55771,14.65921,2020,2,15,70.37,0.004686,12.43,4.11,7.61,8.32
41.55771,14.65921,2020,2,16,61.17,0.004182,13.96,4.13,8.03,9.83
41.55771,14.65921,2020,2,17,74.62,0.005347,15.73,4.02,8.68,11.71
41.55771,14.65921,2020,2,18,75.35,0.005499,14.36,5.09,8.91,9.28
41.55771,14.65921,2020,2,19,87.23,0.006511,13.38,6.48,9.17,6.9
41.55771,14.65921,2020,2,20,70.09,0.004422,10.68,2.64,6.76,8.05
41.55771,14.65921,2020,2,21,61.28,0.003851,13.51,2.31,6.74,11.19
41.55771,14.65921,2020,2,22,59.08,0.003685,11.1,2.71,6.72,8.39
41.55771,14.65921,2020,2,23,65.88,0.005104,17.23,4.73,9.85,12.5
41.55771,14.65921,2020,2,24,72.73,0.006016,16.36,7.25,10.73,9.11
41.55771,14.65921,2020,2,25,79.29,0.006334,14.82,6.65,10.09,8.17
41.55771,14.65921,2020,2,26,74.33,0.006,14.55,5.71,10.09,8.84
41.55771,14.65921,2020,2,27,63.2,0.004064,11.1,3.62,6.86,7.48
41.55771,14.65921,2020,2,28,68.24,0.00499,12.56,4.63,8.8,7.93
41.55771,14.65921,2020,2,29,68.18,0.004573,13.4,1.61,7.6,11.79
41.55771,14.65921,2020,3,1,82.69,0.006895,14.93,6.23,10.68,8.7
41.55771,14.65921,2020,3,2,78.49,0.006625,14.07,7.71,10.8,6.36
41.55771,14.65921,2020,3,3,72.2,0.00556,12.77,4.34,9.39,8.43
41.55771,14.65921,2020,3,4,80.87,0.005396,11.46,3.4,7.36,8.06
41.55771,14.65921,2020,3,5,74.47,0.005402,14.04,3.73,8.62,10.31
41.55771,14.65921,2020,3,6,76.77,0.00641,15.31,5.89,10.58,9.42
41.55771,14.65921,2020,3,7,79.34,0.00543,12.32,4.03,7.74,8.28
41.55771,14.65921,2020,3,8,71.56,0.004676,10.45,2.89,7.19,7.57
41.55771,14.65921,2020,3,9,65.88,0.004115,12.16,1.5,6.49,10.66
41.55771,14.65921,2020,3,10,68.98,0.004654,12.57,3.02,7.65,9.55
41.55771,14.65921,2020,3,11,61.21,0.004971,16.89,5.82,10.46,11.07
41.55771,14.65921,2020,3,12,66.36,0.006184,20.28,7.78,12.53,12.51
41.55771,14.65921,2020,3,13,72.06,0.006846,19.3,8.31,12.75,10.99
41.55771,14.65921,2020,3,14,77.96,0.007142,17.06,9.29,12.17,7.77
41.55771,14.65921,2020,3,15,73.77,0.005464,12.39,4.69,9.07,7.69
41.55771,14.65921,2020,3,16,69.8,0.004972,14.26,4.75,8.59,9.51
41.55771,14.65921,2020,3,17,66.37,0.004979,16.12,4.24,9.41,11.87
41.55771,14.65921,2020,3,18,68.02,0.005157,16.3,3.97,9.52,12.32
