LAT,LON,YEAR,MO,DY,RH2M,QV2M,T2M_MAX,T2M_MIN,T2M,T2M_RANGE
45.07331,7.68071,2020,1,1,60.68,0.003273,8,0.85,3.93,7.15
45.07331,7.68071,2020,1,2,75.78,0.003406,5.61,-0.97,1.36,6.58
45.07331,7.68071,2020,1,3,78.28,0.003922,6.86,0.19,2.81,6.68
45.07331,7.68071,2020,1,4,73.3,0.003795,10.72,-0.45,3.26,11.17
45.07331,7.68071,2020,1,5,58.27,0.00302,8.35,-0.01,3.34,8.36
45.07331,7.68071,2020,1,6,72.6,0.003264,5.17,-0.77,1.36,5.95
45.07331,7.68071,2020,1,7,79.25,0.003425,6.22,-2.02,0.75,8.24
45.07331,7.68071,2020,1,8,57.14,0.002923,7.58,0.16,3.17,7.42
45.07331,7.68071,2020,1,9,56.45,0.002943,7.06,0.51,3.38,6.55
45.07331,7.68071,2020,1,10,71.52,0.00339,7.22,-1.04,2,8.27
45.07331,7.68071,2020,1,11,58.65,0.002986,8.34,-2.33,3.07,10.67
45.07331,7.68071,2020,1,12,64.2,0.003164,6.83,-0.52,2.61,7.36
45.07331,7.68071,2020,1,13,73.35,0.003258,3.62,-0.65,1.11,4.26
45.07331,7.68071,2020,1,14,75.49,0.003271,3.94,-1.24,0.75,5.17
45.07331,7.68071,2020,1,15,86.94,0.003814,4.63,-1.02,0.96,5.65
45.07331,7.68071,2020,1,16,78.12,0.003674,5.47,0.01,1.97,5.47
45.07331,7.68071,2020,1,17,84.05,0.003972,6.44,-1.13,1.96,7.57
45.07331,7.68071,2020,1,18,70.93,0.003081,6.17,-3.84,0.77,10
45.07331,7.68071,2020,1,19,64.79,0.002496,3.25,-3.09,-0.81,6.34
45.07331,7.68071,2020,1,20,71.06,0.002598,3,-4.18,-1.37,7.18
45.07331,7.68071,2020,1,21,68.7,0.002635,3.44,-4.4,-0.69,7.85
45.07331,7.68071,2020,1,22,52.54,0.002576,7.15,-0.29,2.61,7.45
45.07331,7.68071,2020,1,23,61.53,0.002867,5.1,-0.62,1.85,5.71
45.07331,7.68071,2020,1,24,70.74,0.0032,4.51,-0.19,1.38,4.7
45.07331,7.68071,2020,1,25,78.52,0.003593,5.67,-0.69,1.49,6.35
45.07331,7.68071,2020,1,26,82.09,0.003785,5.73,-1.65,1.56,7.38
45.07331,7.68071,2020,1,27,82.5,0.003988,6.37,-0.61,2.17,6.98
45.07331,7.68071,2020,1,28,75.59,0.003968,8.31,0.33,3.19,7.98
45.07331,7.68071,2020,1,29,64.14,0.003453,9.34,0.32,3.61,9.03
45.07331,7.68071,2020,1,30,69.74,0.003424,7.61,-1.7,2.41,9.31
45.07331,7.68071,2020,1,31,82.78,0.004781,10.63,1.27,4.71,9.37
45.07331,7.68071,2020,2,1,86.63,0.004815,7.79,1.64,4.15,6.15
45.07331,7.68071,2020,2,2,85.48,0.005332,11.2,2.66,5.81,8.54
45.07331,7.68071,2020,2,3,75.59,0.005602,13.79,5.25,8.31,8.54
45.07331,7.68071,2020,2,4,65.82,0.003552,6.09,-0.95,3.66,7.04
45.07331,7.68071,2020,2,5,60.72,0.002745,6.95,-1.59,1.35,8.54
45.07331,7.68071,2020,2,6,50.26,0.002299,4.28,0.02,1.58,4.26
45.07331,7.68071,2020,2,7,53.95,0.002746,7.85,0.25,3.04,7.6
45.07331,7.68071,2020,2,8,78.53,0.003587,5.52,-1.07,1.53,6.59
45.07331,7.68071,2020,2,9,78.73,0.003766,6.45,-0.56,2.17,7.01
45.07331,7.68071,2020,2,10,75.22,0.004792,12.03,1.51,6.06,10.52
45.07331,7.68071,2020,2,11,63.15,0.003908,9.89,1.08,5.6,8.81
45.07331,7.68071,2020,2,12,58.71,0.002796,7.2,-1.45,1.99,8.65
45.07331,7.68071,2020,2,13,67.03,0.003285,7.12,-1.05,2.37,8.17
45.07331,7.68071,2020,2,14,66.34,0.003755,10.89,-0.18,4.43,11.07
45.07331,7.68071,2020,2,15,61.69,0.003539,8.9,1.77,4.74,7.13
45.07331,7.68071,2020,2,16,73.92,0.004294,9.03,2.39,4.92,6.65
45.07331,7.68071,2020,2,17,86.63,0.005282,9.78,2.88,5.55,6.9
45.07331,7.68071,2020,2,18,68.63,0.003595,9.77,-1.57,3.41,11.34
45.07331,7.68071,2020,2,19,65.21,0.003154,9.59,-2.58,2.25,12.16
45.07331,7.68071,2020,2,20,68.42,0.00345,9.17,-1.78,2.86,10.95
45.07331,7.68071,2020,2,21,69.16,0.003939,11.01,-0.2,4.6,11.21
45.07331,7.68071,2020,2,22,65.41,0.003984,10.72,2.08,5.65,8.63
45.07331,7.68071,2020,2,23,71.14,0.004773,14.52,2.24,6.99,12.28
45.07331,7.68071,2020,2,24,73.06,0.005292,16.7,3.01,8.01,13.69
45.07331,7.68071,2020,2,25,80.21,0.004867,9.94,1.87,5.28,8.06
45.07331,7.68071,2020,2,26,62.05,0.002963,6.31,-1.61,1.8,7.92
45.07331,7.68071,2020,2,27,67.61,0.0031,5.77,-3.05,1.3,8.83
45.07331,7.68071,2020,2,28,55.18,0.002736,8.76,-2.78,2.52,11.54
45.07331,7.68071,2020,2,29,81.79,0.004188,5.83,-0.07,2.93,5.9
45.07331,7.68071,2020,3,1,82.26,0.004277,7.18,-0.06,3.03,7.24
45.07331,7.68071,2020,3,2,85.08,0.003897,3.17,-0.63,1.11,3.8
45.07331,7.68071,2020,3,3,65.33,0.003084,6.2,-2.72,1.6,8.91
45.07331,7.68071,2020,3,4,64.59,0.002963,8.04,-4.78,1.36,12.82
45.07331,7.68071,2020,3,5,88.64,0.004034,3.99,-0.84,1.18,4.82
45.07331,7.68071,2020,3,6,69.88,0.003284,7.03,-2.19,1.55,9.22
45.07331,7.68071,2020,3,7,66.51,0.003098,8.75,-3.01,1.61,11.76
45.07331,7.68071,2020,3,8,61.57,0.00303,8.27,-3.7,2.47,11.98
45.07331,7.68071,2020,3,9,78.02,0.003985,7.31,-1.4,2.91,8.72
45.07331,7.68071,2020,3,10,71.8,0.004119,11.29,-2.02,4.6,13.31
45.07331,7.68071,2020,3,11,74.14,0.005912,17.28,3.95,9.41,13.33
45.07331,7.68071,2020,3,12,82.25,0.006139,14.09,3.8,8.43,10.29
45.07331,7.68071,2020,3,13,73.99,0.005386,14.34,3.35,8.02,10.99
45.07331,7.68071,2020,3,14,78.87,0.004894,10.22,2.86,5.73,7.36
45.07331,7.68071,2020,3,15,86.91,0.004576,6.82,0.69,3.46,6.13
45.07331,7.68071,2020,3,16,71.74,0.004053,9.87,-0.97,4.51,10.84
45.07331,7.68071,2020,3,17,61.93,0.004406,13.06,2.72,7.9,10.33
45.07331,7.68071,2020,3,18,61.48,0.004768,13.26,5,9.16,8.25
