LAT,LON,YEAR,MO,DY,RH2M,QV2M,T2M_MAX,T2M_MIN,T2M,T2M_RANGE
41.12561,16.86741,2020,1,1,66.93,0.005366,12.72,9.66,10.9,3.06
41.12561,16.86741,2020,1,2,59.7,0.004557,12.54,8.43,10.2,4.11
41.12561,16.86741,2020,1,3,82.54,0.00648,13.96,8.63,10.56,5.33
41.12561,16.86741,2020,1,4,86.38,0.006649,12.47,7.67,10.19,4.8
41.12561,16.86741,2020,1,5,63.88,0.004883,12.4,7.46,10.12,4.94
41.12561,16.86741,2020,1,6,61.57,0.003941,8.83,6.46,7.55,2.37
41.12561,16.86741,2020,1,7,57.76,0.004123,11.57,6.81,9.13,4.76
41.12561,16.86741,2020,1,8,57.71,0.004462,12.81,8.41,10.36,4.4
41.12561,16.86741,2020,1,9,80.42,0.006013,12.81,8.01,9.84,4.81
41.12561,16.86741,2020,1,10,79.06,0.005756,12.22,6.34,9.41,5.88
41.12561,16.86741,2020,1,11,75.95,0.006252,13.42,9.59,11.23,3.83
41.12561,16.86741,2020,1,12,68.66,0.005791,14.4,9.89,11.61,4.51
41.12561,16.86741,2020,1,13,77.16,0.006068,12.26,9.53,10.57,2.72
41.12561,16.86741,2020,1,14,77.53,0.006026,13.63,8.11,10.4,5.53
41.12561,16.86741,2020,1,15,80.53,0.00627,13.12,8.85,10.46,4.27
41.12561,16.86741,2020,1,16,80.45,0.00643,13.41,8.43,10.84,4.98
41.12561,16.86741,2020,1,17,79.32,0.006421,12.91,8.55,11,4.37
41.12561,16.86741,2020,1,18,79.86,0.006009,13.34,6.87,9.86,6.46
41.12561,16.86741,2020,1,19,84.12,0.006399,12.55,7.93,10.03,4.61
41.12561,16.86741,2020,1,20,71.24,0.00542,11.93,9.38,10.22,2.55
41.12561,16.86741,2020,1,21,64.06,0.004698,11.94,8.2,9.73,3.74
41.12561,16.86741,2020,1,22,85.06,0.006024,11.99,7.51,9.12,4.48
41.12561,16.86741,2020,1,23,77.29,0.005897,13.22,8,10.17,5.22
41.12561,16.86741,2020,1,24,72.1,0.005605,13.66,8.5,10.43,5.16
41.12561,16.86741,2020,1,25,83.03,0.007075,15.59,8.53,11.75,7.06
41.12561,16.86741,2020,1,26,85.47,0.007401,14.68,10.11,11.92,4.57
41.12561,16.86741,2020,1,27,84.06,0.006984,13.58,9.43,11.29,4.15
41.12561,16.86741,2020,1,28,80.42,0.006989,15.93,8.69,11.92,7.25
41.12561,16.86741,2020,1,29,79.8,0.007247,15.71,10.36,12.54,5.35
41.12561,16.86741,2020,1,30,78.76,0.0065,13.74,9.19,11.21,4.54
41.12561,16.86741,2020,1,31,78.6,0.006387,15.04,7.57,10.99,7.47
41.12561,16.86741,2020,2,1,84.12,0.007301,15.38,8.85,11.97,6.53
41.12561,16.86741,2020,2,2,85.04,0.007838,16,10.39,12.88,5.61
41.12561,16.86741,2020,2,3,85.51,0.007908,16.44,10.2,12.9,6.24
41.12561,16.86741,2020,2,4,81.23,0.007576,16.63,9.69,12.86,6.94
41.12561,16.86741,2020,2,5,60.07,0.004399,9.76,8.62,9.24,1.14
41.12561,16.86741,2020,2,6,55.07,0.003528,8.47,6.34,7.49,2.14
41.12561,16.86741,2020,2,7,62.38,0.004469,11.85,7.09,9.19,4.76
41.12561,16.86741,2020,2,8,60.92,0.004648,12.95,7.94,10.17,5.01
41.12561,16.86741,2020,2,9,67.11,0.005186,13.8,7.74,10.39,6.06
41.12561,16.86741,2020,2,10,83.47,0.006898,14.82,7.79,11.27,7.03
41.12561,16.86741,2020,2,11,79.72,0.007809,17.82,11.37,13.71,6.45
41.12561,16.86741,2020,2,12,82.61,0.007603,16.15,9.73,12.81,6.42
41.12561,16.86741,2020,2,13,77.35,0.006616,15.69,8.98,11.78,6.71
41.12561,16.86741,2020,2,14,80.52,0.006931,15.13,9.62,11.79,5.51
41.12561,16.86741,2020,2,15,64.83,0.005496,13.53,9.78,11.7,3.75
