LAT,LON,YEAR,MO,DY,RH2M,QV2M,T2M_MAX,T2M_MIN,T2M,T2M_RANGE
39.21531,9.11061,2020,1,1,74.83,0.005308,13.85,5.5,8.96,8.35
39.21531,9.11061,2020,1,2,73.49,0.005513,14.79,7.21,9.8,7.58
39.21531,9.11061,2020,1,3,84.21,0.00609,13.61,6.21,9.23,7.4
39.21531,9.11061,2020,1,4,83.39,0.007003,13.61,9.54,11.4,4.08
39.21531,9.11061,2020,1,5,80.53,0.006481,14.63,7.95,10.77,6.68
39.21531,9.11061,2020,1,6,67.24,0.005506,14.57,8.28,11.07,6.29
39.21531,9.11061,2020,1,7,77.64,0.005838,13.63,5.67,9.77,7.96
39.21531,9.11061,2020,1,8,85.83,0.006996,12.31,9.56,10.94,2.75
39.21531,9.11061,2020,1,9,84.12,0.006934,13.25,9.32,11.15,3.93
39.21531,9.11061,2020,1,10,82.05,0.006975,14.2,10,11.56,4.2
39.21531,9.11061,2020,1,11,82.68,0.006916,14.34,9.42,11.33,4.91
39.21531,9.11061,2020,1,12,81.3,0.006564,13.53,8.48,10.8,5.05
39.21531,9.11061,2020,1,13,75.46,0.005854,13.28,7.92,10.2,5.36
39.21531,9.11061,2020,1,14,72.51,0.005511,13.12,7.53,9.92,5.59
39.21531,9.11061,2020,1,15,78.88,0.006114,13.12,8.15,10.23,4.97
39.21531,9.11061,2020,1,16,68.56,0.005461,13.72,8.49,10.67,5.23
39.21531,9.11061,2020,1,17,74.47,0.005951,13.74,8.26,10.7,5.48
39.21531,9.11061,2020,1,18,80.25,0.006289,12.8,8.77,10.37,4.03
39.21531,9.11061,2020,1,19,81.44,0.006547,12.49,8.18,10.67,4.31
39.21531,9.11061,2020,1,20,87.03,0.00792,13.53,11.69,12.59,1.84
39.21531,9.11061,2020,1,21,87.02,0.00834,14.39,12.79,13.45,1.6
39.21531,9.11061,2020,1,22,82.5,0.007864,14.32,12.82,13.36,1.5
39.21531,9.11061,2020,1,23,84.94,0.007871,14.71,11.21,12.88,3.5
39.21531,9.11061,2020,1,24,89.27,0.008271,14.57,11.02,12.83,3.55
39.21531,9.11061,2020,1,25,82.45,0.007196,15.15,10.07,11.92,5.07
39.21531,9.11061,2020,1,26,76.08,0.006612,15.59,9.49,11.83,6.1
39.21531,9.11061,2020,1,27,84.39,0.007106,15.08,8.48,11.38,6.6
39.21531,9.11061,2020,1,28,84.16,0.007698,14.83,11.34,12.6,3.49
39.21531,9.11061,2020,1,29,81.86,0.007203,15.2,9.71,12.01,5.49
39.21531,9.11061,2020,1,30,86.06,0.007478,16.06,8.35,11.86,7.71
39.21531,9.11061,2020,1,31,89.65,0.008403,16.13,11.26,12.98,4.88
39.21531,9.11061,2020,2,1,86.35,0.007936,16.55,10.57,12.69,5.98
39.21531,9.11061,2020,2,2,87.79,0.008366,17.15,10.89,13.28,6.27
39.21531,9.11061,2020,2,3,84.27,0.008695,18.63,12.53,14.49,6.1
39.21531,9.11061,2020,2,4,77.29,0.00736,17.65,9.37,13.19,8.27
39.21531,9.11061,2020,2,5,62.97,0.00503,14.47,8.02,10.58,6.45
39.21531,9.11061,2020,2,6,58.26,0.004177,12.39,6.61,9.07,5.78
39.21531,9.11061,2020,2,7,61.97,0.004608,13.65,7.28,9.62,6.36
39.21531,9.11061,2020,2,8,78.44,0.005932,12.6,7.33,9.85,5.27
39.21531,9.11061,2020,2,9,85.54,0.007342,15.06,9.61,11.78,5.45
39.21531,9.11061,2020,2,10,85.88,0.007795,15.74,10.2,12.61,5.53
39.21531,9.11061,2020,2,11,83,0.007886,16.69,11.5,13.22,5.2
39.21531,9.11061,2020,2,12,77.46,0.007092,15.4,10.47,12.66,4.93
39.21531,9.11061,2020,2,13,78.63,0.00674,15.5,9.81,11.66,5.69
39.21531,9.11061,2020,2,14,82.11,0.007027,15.75,8.54,11.63,7.21
39.21531,9.11061,2020,2,15,72.85,0.005949,15.61,7.36,11,8.25
39.21531,9.11061,2020,2,16,74.37,0.006244,15.61,8.37,11.45,7.24
39.21531,9.11061,2020,2,17,77.68,0.006296,14.7,8.72,10.9,5.97
