LAT,LON,YEAR,MO,DY,RH2M,QV2M,T2M_MAX,T2M_MIN,T2M,T2M_RANGE
38.11571,13.36241,2020,1,1,70.07,0.005829,13.74,9.45,11.41,4.29
38.11571,13.36241,2020,1,2,67.67,0.005992,14.51,11.14,12.36,3.37
38.11571,13.36241,2020,1,3,74.5,0.006403,13.63,10.83,11.9,2.8
38.11571,13.36241,2020,1,4,76.63,0.006924,14.09,11.29,12.59,2.8
38.11571,13.36241,2020,1,5,69.3,0.006374,15.12,10.62,12.85,4.5
38.11571,13.36241,2020,1,6,59.47,0.004529,11.33,8.79,10.06,2.54
38.11571,13.36241,2020,1,7,65.13,0.005147,12.92,8.19,10.6,4.73
38.11571,13.36241,2020,1,8,68.36,0.005955,13.75,11.12,12.06,2.64
38.11571,13.36241,2020,1,9,62.37,0.005347,14.15,10.52,11.86,3.63
38.11571,13.36241,2020,1,10,67.42,0.005444,13.16,9.76,10.92,3.41
38.11571,13.36241,2020,1,11,71.82,0.006141,14,10.02,11.75,3.99
38.11571,13.36241,2020,1,12,70.45,0.00599,12.8,10.64,11.66,2.16
38.11571,13.36241,2020,1,13,69.92,0.006053,13.64,10.84,11.94,2.8
38.11571,13.36241,2020,1,14,72.78,0.006318,14.27,10.65,12.01,3.62
38.11571,13.36241,2020,1,15,70.67,0.006207,14.61,10.68,12.22,3.93
38.11571,13.36241,2020,1,16,75.62,0.00636,13.61,10.39,11.57,3.22
38.11571,13.36241,2020,1,17,74,0.006339,13.18,10.56,11.83,2.63
38.11571,13.36241,2020,1,18,71.67,0.006432,14.21,11.27,12.5,2.93
38.11571,13.36241,2020,1,19,70.39,0.006141,13.95,10.52,12.03,3.43
38.11571,13.36241,2020,1,20,77.53,0.007188,14.83,11.7,13.04,3.12
38.11571,13.36241,2020,1,21,81.31,0.007813,15.64,11.98,13.66,3.66
38.11571,13.36241,2020,1,22,78.51,0.007215,15.17,11.49,12.96,3.68
38.11571,13.36241,2020,1,23,77.14,0.007039,15.31,11.27,12.79,4.04
38.11571,13.36241,2020,1,24,82.49,0.007552,15.35,10.6,12.8,4.75
38.11571,13.36241,2020,1,25,86.17,0.008446,16.16,11.96,13.8,4.2
38.11571,13.36241,2020,1,26,83.3,0.007997,15.64,12.11,13.43,3.53
38.11571,13.36241,2020,1,27,82.89,0.007604,15.03,11.24,12.78,3.79
38.11571,13.36241,2020,1,28,82.65,0.007791,14.58,12.33,13.18,2.26
38.11571,13.36241,2020,1,29,84.64,0.008346,14.74,13.21,13.83,1.54
