LAT,LON,YEAR,MO,DY,RH2M,QV2M,T2M_MAX,T2M_MIN,T2M,T2M_RANGE
43.76921,11.25591,2020,1,1,88.57,0.004384,9.85,0.27,3.31,9.58
43.76921,11.25591,2020,1,2,82,0.004277,10.28,-0.41,4.06,10.69
43.76921,11.25591,2020,1,3,98.81,0.005391,7.79,1.92,4.64,5.88
43.76921,11.25591,2020,1,4,91.94,0.005705,11.14,2.62,6.44,8.52
43.76921,11.25591,2020,1,5,87.89,0.004532,10.91,0.07,3.85,10.84
43.76921,11.25591,2020,1,6,81.28,0.003553,7.64,-1.89,1.57,9.53
43.76921,11.25591,2020,1,7,84.7,0.003816,7.57,-0.38,1.93,7.94
43.76921,11.25591,2020,1,8,87.9,0.004185,9.57,-1.22,2.74,10.79
43.76921,11.25591,2020,1,9,84.75,0.004181,8.97,0.16,3.22,8.81
43.76921,11.25591,2020,1,10,92.44,0.004904,9.67,-0.65,4.21,10.32
43.76921,11.25591,2020,1,11,96,0.00499,9.47,0.44,3.94,9.03
43.76921,11.25591,2020,1,12,85.97,0.004313,8.89,0.1,3.45,8.8
43.76921,11.25591,2020,1,13,82.76,0.004077,8.57,-0.81,3.16,9.39
43.76921,11.25591,2020,1,14,92.71,0.004645,8.13,0.16,3.4,7.97
43.76921,11.25591,2020,1,15,90.88,0.004828,9.81,1,4.27,8.81
43.76921,11.25591,2020,1,16,88.91,0.004989,9.89,2.54,5.08,7.36
43.76921,11.25591,2020,1,17,99.44,0.005259,8.49,2,4.17,6.49
43.76921,11.25591,2020,1,18,95.19,0.005396,8.74,1.34,5.09,7.4
43.76921,11.25591,2020,1,19,88.19,0.004342,6.5,0.66,3.16,5.84
43.76921,11.25591,2020,1,20,83.09,0.004019,5.71,1.2,3.07,4.51
43.76921,11.25591,2020,1,21,89.44,0.004042,7.21,-0.58,2.14,7.8
43.76921,11.25591,2020,1,22,85.65,0.004731,11.67,-0.42,4.9,12.09
43.76921,11.25591,2020,1,23,96.27,0.00495,10.21,0.2,3.82,10.01
43.76921,11.25591,2020,1,24,99.4,0.005228,8.4,-0.14,4.09,8.54
43.76921,11.25591,2020,1,25,95.79,0.006112,9.53,5.17,6.81,4.36
43.76921,11.25591,2020,1,26,95.36,0.006008,9.63,4.35,6.6,5.28
43.76921,11.25591,2020,1,27,97.13,0.006045,10,4.3,6.41,5.7
43.76921,11.25591,2020,1,28,91.85,0.006731,12.4,6.14,8.68,6.26
43.76921,11.25591,2020,1,29,90.77,0.006287,12.21,4.2,7.87,8.01
43.76921,11.25591,2020,1,30,94.12,0.006124,11.31,5.12,7.06,6.19
43.76921,11.25591,2020,1,31,99,0.007321,11.19,6.32,8.93,4.87
43.76921,11.25591,2020,2,1,95.82,0.0077,12.62,8.59,10.16,4.04
43.76921,11.25591,2020,2,2,96.34,0.00742,12.08,7.92,9.54,4.16
43.76921,11.25591,2020,2,3,97.52,0.008046,14.94,7.3,10.54,7.64
43.76921,11.25591,2020,2,4,81.49,0.005824,14.07,2.03,8.3,12.04
43.76921,11.25591,2020,2,5,65.08,0.003256,8.53,-1.15,3.31,9.67
43.76921,11.25591,2020,2,6,60.59,0.002813,7.85,-2.09,2.39,9.94
43.76921,11.25591,2020,2,7,67.27,0.003485,9.67,0.17,3.91,9.5
43.76921,11.25591,2020,2,8,81.09,0.004372,10.34,-0.49,4.48,10.82
43.76921,11.25591,2020,2,9,89.99,0.005074,10.24,-0.33,5.14,10.57
43.76921,11.25591,2020,2,10,93.9,0.00753,14.22,7.26,10.13,6.97
43.76921,11.25591,2020,2,11,88.83,0.00751,15.49,7.36,10.83,8.13
43.76921,11.25591,2020,2,12,67.1,0.00469,13.2,4.1,8.1,9.1
43.76921,11.25591,2020,2,13,80.85,0.004809,10.83,0.56,5.77,10.27
43.76921,11.25591,2020,2,14,78.75,0.005793,14.15,4.38,8.84,9.77
43.76921,11.25591,2020,2,15,63.57,0.004369,14.25,2.1,7.98,12.16
43.76921,11.25591,2020,2,16,79.17,0.005014,12.62,2.58,6.81,10.04
43.76921,11.25591,2020,2,17,93.57,0.006045,11.42,4.7,7.06,6.72
43.76921,11.25591,2020,2,18,95.25,0.006643,11.66,5.87,8.14,5.79
43.76921,11.25591,2020,2,19,91.35,0.005795,10.96,2.25,6.71,8.71
43.76921,11.25591,2020,2,20,68.02,0.00404,11.79,0.46,5.82,11.33
43.76921,11.25591,2020,2,21,83.56,0.004924,12.69,0.93,5.71,11.76
43.76921,11.25591,2020,2,22,76.18,0.005063,14.91,2.59,7.53,12.32
43.76921,11.25591,2020,2,23,95.22,0.00595,11.23,2.85,6.6,8.39
43.76921,11.25591,2020,2,24,95.31,0.006748,13.28,6.31,8.32,6.97
43.76921,11.25591,2020,2,25,90.34,0.007015,13.88,6.41,9.54,7.47
43.76921,11.25591,2020,2,26,78.42,0.005553,12.54,1.12,8.04,11.42
43.76921,11.25591,2020,2,27,73.02,0.004104,10.12,-1.2,4.82,11.32
43.76921,11.25591,2020,2,28,63,0.003803,11.4,0.8,5.93,10.59
43.76921,11.25591,2020,2,29,83.53,0.004903,11.4,-0.23,5.53,11.63
43.76921,11.25591,2020,3,1,96.72,0.007196,10.77,6.6,8.83,4.17
43.76921,11.25591,2020,3,2,94.74,0.00713,10.93,6.67,8.89,4.26
43.76921,11.25591,2020,3,3,81.95,0.00541,10.56,4.2,6.97,6.36
43.76921,11.25591,2020,3,4,85.02,0.004546,8.78,0.21,4.11,8.57
43.76921,11.25591,2020,3,5,82.27,0.004826,10.77,0.58,5.41,10.2
43.76921,11.25591,2020,3,6,85.74,0.006105,11.49,4.58,8.09,6.91
43.76921,11.25591,2020,3,7,92.35,0.005168,7.36,1.86,4.76,5.5
43.76921,11.25591,2020,3,8,75.13,0.00445,11.05,0.92,5.71,10.13
43.76921,11.25591,2020,3,9,85.35,0.004743,7.82,1.32,4.71,6.51
43.76921,11.25591,2020,3,10,83.46,0.005122,12.23,1.51,6.19,10.72
43.76921,11.25591,2020,3,11,85.11,0.005882,14.81,2.51,7.96,12.3
43.76921,11.25591,2020,3,12,95.91,0.007044,13.25,4.55,8.86,8.71
43.76921,11.25591,2020,3,13,93.83,0.007367,13.56,6.39,9.78,7.17
43.76921,11.25591,2020,3,14,90.9,0.006679,12.11,3.54,8.79,8.56
43.76921,11.25591,2020,3,15,75.83,0.004403,11.16,0.7,5.46,10.46
43.76921,11.25591,2020,3,16,78.78,0.004835,14.2,-0.13,6.31,14.33
43.76921,11.25591,2020,3,17,66.64,0.00489,16.01,2.35,8.98,13.66
43.76921,11.25591,2020,3,18,69.68,0.005325,16.15,3.23,9.55,12.92
