LAT,LON,YEAR,MO,DY,RH2M,QV2M,T2M_MAX,T2M_MIN,T2M,T2M_RANGE
43.10681,12.38821,2020,1,1,92.72,0.004558,10.5,-0.59,3.24,11.09
43.10681,12.38821,2020,1,2,81.23,0.00423,10.64,-0.19,4.07,10.84
43.10681,12.38821,2020,1,3,90.75,0.004811,8.77,1.15,4.27,7.62
43.10681,12.38821,2020,1,4,94.11,0.00558,10.96,2.16,5.81,8.8
43.10681,12.38821,2020,1,5,87.13,0.004324,10.23,-1.31,3.33,11.54
43.10681,12.38821,2020,1,6,77.2,0.00312,6.32,-2.16,0.51,8.49
43.10681,12.38821,2020,1,7,86.28,0.003813,6.72,-1.42,1.69,8.14
43.10681,12.38821,2020,1,8,91.81,0.004517,9.83,-0.25,3.23,10.09
43.10681,12.38821,2020,1,9,78.25,0.004042,10.18,0.75,3.91,9.43
43.10681,12.38821,2020,1,10,87.45,0.004603,9.95,-0.71,4.14,10.66
43.10681,12.38821,2020,1,11,100,0.00501,7.86,0.05,3.24,7.81
43.10681,12.38821,2020,1,12,90.19,0.004368,8.88,-0.5,2.98,9.38
43.10681,12.38821,2020,1,13,89.72,0.004443,9.43,-0.94,3.27,10.37
43.10681,12.38821,2020,1,14,90.46,0.004804,9.01,1.22,4.27,7.79
43.10681,12.38821,2020,1,15,81.86,0.004657,10.6,1.49,5.29,9.11
43.10681,12.38821,2020,1,16,90.76,0.004882,9.61,1.83,4.51,7.78
43.10681,12.38821,2020,1,17,98.15,0.004997,7.93,1.19,3.67,6.74
43.10681,12.38821,2020,1,18,96.47,0.005389,8.66,1.96,4.92,6.71
43.10681,12.38821,2020,1,19,85.84,0.004408,7.32,0.87,3.78,6.45
43.10681,12.38821,2020,1,20,82.05,0.004068,6.18,1.86,3.44,4.32
43.10681,12.38821,2020,1,21,87.99,0.004381,9.09,0.61,3.53,8.48
43.10681,12.38821,2020,1,22,82.16,0.004819,12.33,0.47,5.8,11.86
43.10681,12.38821,2020,1,23,91.36,0.004958,11.06,1.61,4.62,9.45
43.10681,12.38821,2020,1,24,92.5,0.005335,10.73,1.22,5.45,9.51
43.10681,12.38821,2020,1,25,93.54,0.006246,11.74,4.78,7.51,6.96
43.10681,12.38821,2020,1,26,91.95,0.005854,10.2,4.75,6.79,5.45
43.10681,12.38821,2020,1,27,94.59,0.00572,10.58,3.75,6.04,6.83
43.10681,12.38821,2020,1,28,89.73,0.006729,12.66,6.64,9.07,6.02
43.10681,12.38821,2020,1,29,89.66,0.006044,11.94,4.01,7.51,7.94
43.10681,12.38821,2020,1,30,91.58,0.00573,12.15,4.12,6.53,8.03
43.10681,12.38821,2020,1,31,97.48,0.006874,10.4,5.92,8.27,4.48
43.10681,12.38821,2020,2,1,94.97,0.00747,13.23,7.95,9.88,5.28
43.10681,12.38821,2020,2,2,92.74,0.007481,14.15,8.33,10.27,5.83
43.10681,12.38821,2020,2,3,95.92,0.008027,15.75,7.99,10.79,7.76
43.10681,12.38821,2020,2,4,80.68,0.006165,15.8,2.77,9.31,13.04
43.10681,12.38821,2020,2,5,58.11,0.003086,9,-0.68,4.16,9.68
43.10681,12.38821,2020,2,6,53.59,0.002535,7.64,0.11,2.67,7.53
43.10681,12.38821,2020,2,7,57.33,0.003069,10.86,0.11,4.41,10.75
43.10681,12.38821,2020,2,8,63.77,0.003706,12.07,0.63,5.6,11.45
43.10681,12.38821,2020,2,9,81.67,0.004755,11.74,0.12,5.64,11.62
43.10681,12.38821,2020,2,10,91.24,0.007375,13.97,7.67,10.3,6.3
43.10681,12.38821,2020,2,11,85.76,0.007355,16.39,7.72,11.08,8.67
43.10681,12.38821,2020,2,12,69.04,0.00511,13.81,5.3,8.98,8.51
43.10681,12.38821,2020,2,13,72.94,0.004802,13.09,1.99,7.28,11.09
43.10681,12.38821,2020,2,14,78.52,0.00574,14.23,3.42,8.79,10.82
43.10681,12.38821,2020,2,15,70.68,0.004542,14.19,1.42,7.04,12.77
43.10681,12.38821,2020,2,16,64.61,0.004418,14.77,3.51,7.97,11.27
43.10681,12.38821,2020,2,17,83.56,0.005397,14.33,2.13,7.09,12.2
43.10681,12.38821,2020,2,18,93.61,0.006309,11.67,4.58,7.67,7.08
43.10681,12.38821,2020,2,19,94.1,0.00619,10.27,3.24,7.27,7.04
43.10681,12.38821,2020,2,20,69.51,0.004128,11.8,2.15,5.85,9.65
43.10681,12.38821,2020,2,21,70.46,0.004318,13.05,1.32,6.31,11.74
43.10681,12.38821,2020,2,22,71.82,0.004867,15.31,2.3,7.85,13.01
43.10681,12.38821,2020,2,23,85.98,0.005952,14.39,4.27,8.13,10.12
43.10681,12.38821,2020,2,24,90.42,0.006577,14.38,5.73,8.76,8.65
43.10681,12.38821,2020,2,25,85.34,0.006808,14.42,7.48,9.99,6.94
43.10681,12.38821,2020,2,26,76.22,0.005686,13.7,3.24,8.84,10.46
43.10681,12.38821,2020,2,27,65.72,0.003868,11.22,-0.81,5.52,12.03
43.10681,12.38821,2020,2,28,64.15,0.00419,12.3,1.79,7.1,10.51
43.10681,12.38821,2020,2,29,74.72,0.004479,12.19,-0.27,5.88,12.46
43.10681,12.38821,2020,3,1,92.17,0.006997,11.85,6.16,9.18,5.68
43.10681,12.38821,2020,3,2,89.4,0.00705,12.27,7.6,9.65,4.68
43.10681,12.38821,2020,3,3,77.53,0.005261,10.42,4.17,7.42,6.24
43.10681,12.38821,2020,3,4,87.61,0.004823,8.81,0.77,4.55,8.04
43.10681,12.38821,2020,3,5,76.66,0.004664,12.6,0.09,5.99,12.5
43.10681,12.38821,2020,3,6,79.3,0.005942,12.96,3.85,8.89,9.1
43.10681,12.38821,2020,3,7,87.98,0.005278,9.09,3.56,5.78,5.52
43.10681,12.38821,2020,3,8,71.06,0.004253,10.98,2.19,5.89,8.79
43.10681,12.38821,2020,3,9,72.17,0.004298,10.39,1.74,5.75,8.65
43.10681,12.38821,2020,3,10,78.46,0.005068,12.51,2.74,6.97,9.78
43.10681,12.38821,2020,3,11,69.19,0.005108,16.39,3.4,8.97,12.99
43.10681,12.38821,2020,3,12,88.66,0.006899,16.19,4.64,9.75,11.55
43.10681,12.38821,2020,3,13,85.15,0.007375,16.68,7,11.29,9.68
43.10681,12.38821,2020,3,14,87.54,0.007053,13.77,5.69,10.19,8.08
43.10681,12.38821,2020,3,15,69.85,0.004397,12.2,1.91,6.65,10.29
43.10681,12.38821,2020,3,16,72.06,0.004814,15.38,1.43,7.57,13.95
43.10681,12.38821,2020,3,17,65.95,0.005049,16.73,3.96,9.65,12.77
43.10681,12.38821,2020,3,18,69.61,0.00515,15.63,2.82,9.11,12.81
