LAT,LON,YEAR,MO,DY,RH2M,QV2M,T2M_MAX,T2M_MIN,T2M,T2M_RANGE
45.73751,7.32011,2020,1,1,57.31,0.002193,1.46,-6.53,-2.59,7.99
45.73751,7.32011,2020,1,2,76.14,0.002283,-1.22,-8.91,-5.85,7.69
45.73751,7.32011,2020,1,3,78.03,0.002772,1.49,-7.26,-3.64,8.75
45.73751,7.32011,2020,1,4,94.44,0.002909,0.07,-10.09,-5.53,10.16
45.73751,7.32011,2020,1,5,63.95,0.002123,0.95,-9.95,-4.51,10.9
45.73751,7.32011,2020,1,6,68.64,0.002312,0.36,-8.33,-4.33,8.68
45.73751,7.32011,2020,1,7,81.67,0.002487,-0.81,-9.29,-5.69,8.48
45.73751,7.32011,2020,1,8,40.05,0.001569,1.07,-5.73,-2.29,6.79
45.73751,7.32011,2020,1,9,43.2,0.001798,1.66,-5.29,-1.54,6.95
45.73751,7.32011,2020,1,10,82.1,0.002589,-0.73,-8.17,-5.28,7.44
45.73751,7.32011,2020,1,11,58.28,0.001791,0.3,-10.4,-5.55,10.69
45.73751,7.32011,2020,1,12,52.07,0.001831,0.42,-7.69,-3.77,8.11
45.73751,7.32011,2020,1,13,58.74,0.001962,-1.16,-7.56,-4.53,6.4
45.73751,7.32011,2020,1,14,59.74,0.001955,-0.7,-8.1,-4.82,7.41
45.73751,7.32011,2020,1,15,80.57,0.002601,-0.37,-7.35,-4.95,6.98
45.73751,7.32011,2020,1,16,84.28,0.002572,-0.32,-8.85,-5.65,8.52
45.73751,7.32011,2020,1,17,92.71,0.002941,-1.24,-9.27,-5.22,8.03
45.73751,7.32011,2020,1,18,85.95,0.00211,-4.86,-13.13,-8.54,8.27
45.73751,7.32011,2020,1,19,62.57,0.001303,-5.7,-15.06,-10.59,9.36
45.73751,7.32011,2020,1,20,86.81,0.001556,-6.56,-15.07,-12.35,8.51
45.73751,7.32011,2020,1,21,82.99,0.001961,-2.57,-14.37,-8.85,11.8
45.73751,7.32011,2020,1,22,58.29,0.001952,0.54,-9.22,-4.37,9.76
45.73751,7.32011,2020,1,23,68.07,0.002143,-1.09,-8.67,-5.23,7.58
45.73751,7.32011,2020,1,24,80.91,0.00276,-0.46,-7.1,-4.24,6.65
45.73751,7.32011,2020,1,25,87.84,0.00284,-0.46,-8.01,-4.99,7.55
45.73751,7.32011,2020,1,26,92.33,0.003043,-0.44,-8.39,-4.77,7.95
45.73751,7.32011,2020,1,27,90.43,0.003089,-0.85,-7.76,-4.34,6.91
45.73751,7.32011,2020,1,28,87.88,0.003212,-1.37,-5.45,-3.56,4.08
45.73751,7.32011,2020,1,29,88.77,0.002944,-1.7,-9.19,-4.77,7.49
45.73751,7.32011,2020,1,30,78.51,0.002624,-0.32,-10.33,-4.58,10
45.73751,7.32011,2020,1,31,93.26,0.004094,2.04,-3.34,-0.91,5.38
45.73751,7.32011,2020,2,1,94.45,0.003957,1.24,-4.29,-1.56,5.53
45.73751,7.32011,2020,2,2,95.29,0.004358,2.31,-3.83,-0.32,6.14
45.73751,7.32011,2020,2,3,91.27,0.004502,2.6,-2.53,0.73,5.12
45.73751,7.32011,2020,2,4,87.33,0.002858,-0.68,-7.79,-4.93,7.11
45.73751,7.32011,2020,2,5,75.1,0.001881,-4.75,-12.09,-8.25,7.34
45.73751,7.32011,2020,2,6,45.78,0.001527,-1.21,-8.11,-4.48,6.9
45.73751,7.32011,2020,2,7,59.37,0.002014,0.86,-7.6,-4.29,8.46
45.73751,7.32011,2020,2,8,69.58,0.002238,-0.05,-8.12,-4.99,8.07
45.73751,7.32011,2020,2,9,73.75,0.002433,-0.48,-8.7,-4.67,8.22
45.73751,7.32011,2020,2,10,90.53,0.004193,1.72,-2.46,-0.23,4.18
45.73751,7.32011,2020,2,11,87.24,0.003267,-1.05,-7.85,-3.14,6.8
45.73751,7.32011,2020,2,12,84.75,0.002135,-4.54,-11.41,-8.26,6.86
45.73751,7.32011,2020,2,13,77.15,0.002686,-0.16,-9.61,-4.08,9.45
45.73751,7.32011,2020,2,14,81.24,0.002792,-0.7,-6.6,-4.18,5.9
