LAT,LON,YEAR,MO,DY,RH2M,QV2M,T2M_MAX,T2M_MIN,T2M,T2M_RANGE
45.43491,12.33851,2020,1,1,82.5,0.004767,10.12,3.79,6.27,6.33
45.43491,12.33851,2020,1,2,78.53,0.004731,10.2,4.48,6.88,5.72
45.43491,12.33851,2020,1,3,90.08,0.004836,7.47,3.2,5.15,4.27
45.43491,12.33851,2020,1,4,84.19,0.005009,10.5,4.31,6.58,6.19
45.43491,12.33851,2020,1,5,69.61,0.00454,11.92,5.51,8,6.41
45.43491,12.33851,2020,1,6,74.33,0.00411,8.44,3.88,5.64,4.55
45.43491,12.33851,2020,1,7,81.85,0.004165,6.58,2.94,4.39,3.63
45.43491,12.33851,2020,1,8,75.79,0.004448,9.86,4.42,6.48,5.44
45.43491,12.33851,2020,1,9,84.63,0.004742,9.26,3.59,5.76,5.67
45.43491,12.33851,2020,1,10,94.89,0.005099,8.36,2.93,5.12,5.43
45.43491,12.33851,2020,1,11,86.17,0.005234,11.59,4,6.94,7.59
45.43491,12.33851,2020,1,12,79.88,0.004633,9.45,4.13,6.28,5.32
45.43491,12.33851,2020,1,13,80.96,0.004724,9.02,4.29,6.33,4.73
45.43491,12.33851,2020,1,14,89.68,0.004835,7.56,3.2,5.18,4.35
45.43491,12.33851,2020,1,15,92.33,0.005055,6.99,4.47,5.44,2.51
45.43491,12.33851,2020,1,16,88.72,0.005068,8.78,4.18,6.08,4.6
45.43491,12.33851,2020,1,17,84.94,0.005311,9.84,5.73,7.32,4.12
45.43491,12.33851,2020,1,18,92.62,0.005543,7.23,6.22,6.64,1.01
45.43491,12.33851,2020,1,19,76.94,0.004784,9.69,5.97,7.29,3.71
45.43491,12.33851,2020,1,20,71.23,0.004019,8.95,3.84,6.06,5.11
45.43491,12.33851,2020,1,21,72.2,0.003879,8.25,3.29,5.36,4.96
45.43491,12.33851,2020,1,22,76.69,0.003855,7.56,2.31,4.3,5.26
45.43491,12.33851,2020,1,23,80.84,0.004299,8.93,2.34,5.07,6.59
45.43491,12.33851,2020,1,24,74.49,0.004201,8.65,3.68,5.86,4.98
45.43491,12.33851,2020,1,25,87.78,0.00551,9.95,5.34,7.35,4.61
45.43491,12.33851,2020,1,26,92.51,0.005722,9.42,5.52,7.09,3.9
45.43491,12.33851,2020,1,27,95.05,0.005611,8.17,4.92,6.38,3.25
45.43491,12.33851,2020,1,28,92.91,0.006466,12.59,5.25,8.63,7.33
45.43491,12.33851,2020,1,29,76.19,0.004772,11.23,4.9,7.13,6.33
45.43491,12.33851,2020,1,30,83.21,0.005152,10.47,3.86,7.08,6.61
45.43491,12.33851,2020,1,31,91.15,0.005854,11.21,4.38,7.61,6.82
45.43491,12.33851,2020,2,1,94.3,0.006591,11.44,6.87,8.84,4.57
45.43491,12.33851,2020,2,2,93.18,0.006227,10.22,5.64,8.19,4.59
45.43491,12.33851,2020,2,3,96.02,0.006584,11.38,6.87,8.54,4.51
45.43491,12.33851,2020,2,4,79.64,0.005562,12.8,5.97,8.69,6.83
45.43491,12.33851,2020,2,5,57.4,0.003528,11.36,4.39,7.01,6.98
45.43491,12.33851,2020,2,6,53.49,0.003087,10.34,3.99,6.23,6.35
45.43491,12.33851,2020,2,7,67.37,0.003704,9.78,2.14,5.49,7.64
45.43491,12.33851,2020,2,8,75.35,0.004501,10.35,3.51,6.71,6.84
45.43491,12.33851,2020,2,9,79.88,0.004826,10.61,3.67,6.87,6.94
45.43491,12.33851,2020,2,10,96.22,0.006668,12.19,6.34,8.68,5.85
45.43491,12.33851,2020,2,11,83.36,0.00585,13.65,5.97,8.78,7.68
45.43491,12.33851,2020,2,12,74.73,0.005069,12.97,5.62,8.4,7.35
45.43491,12.33851,2020,2,13,78.6,0.005045,11.46,4.78,7.61,6.68
45.43491,12.33851,2020,2,14,71.55,0.005106,13.97,4.83,9.15,9.14
45.43491,12.33851,2020,2,15,78.9,0.005564,13.24,6.13,9.12,7.11
45.43491,12.33851,2020,2,16,84.05,0.005823,12.56,6.4,8.86,6.16
45.43491,12.33851,2020,2,17,93.37,0.006265,11.19,5.56,8.34,5.63
45.43491,12.33851,2020,2,18,91.64,0.006619,12.12,7.39,9.41,4.73
45.43491,12.33851,2020,2,19,84.3,0.006053,12.13,7.1,9.28,5.03
45.43491,12.33851,2020,2,20,66.74,0.004382,11.93,5.12,8.03,6.8
45.43491,12.33851,2020,2,21,72,0.004673,11.88,3.99,7.87,7.89
45.43491,12.33851,2020,2,22,74.95,0.005326,13.18,6.49,9.28,6.69
45.43491,12.33851,2020,2,23,88.38,0.006108,13.38,4.51,8.78,8.86
45.43491,12.33851,2020,2,24,91.9,0.006472,12.64,6.41,8.98,6.24
45.43491,12.33851,2020,2,25,90.32,0.006967,14.26,7.33,10.18,6.93
45.43491,12.33851,2020,2,26,79.41,0.005772,13.85,5.99,9.14,7.86
45.43491,12.33851,2020,2,27,68.68,0.004336,11.72,2.62,7.21,9.1
45.43491,12.33851,2020,2,28,59.52,0.004063,12.9,4.87,8.46,8.03
45.43491,12.33851,2020,2,29,75.65,0.005015,11.2,5.23,8.03,5.97
45.43491,12.33851,2020,3,1,94.74,0.006399,10.16,5.97,8.16,4.19
45.43491,12.33851,2020,3,2,93.41,0.006632,11.66,5.37,8.78,6.28
45.43491,12.33851,2020,3,3,87.75,0.006258,10.32,7.35,8.84,2.97
45.43491,12.33851,2020,3,4,71.11,0.004756,10.97,6.16,8.11,4.81
45.43491,12.33851,2020,3,5,74.81,0.00485,10.48,4.99,7.62,5.48
45.43491,12.33851,2020,3,6,82.31,0.005701,11.62,5.48,8.44,6.14
45.43491,12.33851,2020,3,7,78.72,0.005704,12.44,6.97,9.29,5.47
45.43491,12.33851,2020,3,8,68.78,0.004626,11.9,4.63,8.32,7.26
45.43491,12.33851,2020,3,9,74.9,0.005148,11.25,6.57,8.55,4.68
45.43491,12.33851,2020,3,10,78.66,0.005911,13.06,7.32,9.9,5.74
45.43491,12.33851,2020,3,11,77.33,0.005989,14.79,6.05,10.38,8.74
45.43491,12.33851,2020,3,12,84.02,0.006908,15.3,7.22,11.28,8.08
45.43491,12.33851,2020,3,13,90.41,0.007438,14.21,8.82,11.23,5.38
45.43491,12.33851,2020,3,14,73.56,0.005876,13.56,8.6,10.84,4.96
45.43491,12.33851,2020,3,15,63.88,0.004426,11.66,6.09,8.83,5.57
45.43491,12.33851,2020,3,16,57.76,0.003968,12.77,4.74,8.74,8.03
45.43491,12.33851,2020,3,17,63.27,0.004725,14.19,5.72,10.02,8.47
45.43491,12.33851,2020,3,18,65.57,0.005955,17.97,7.63,12.93,10.34
